/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 104 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.67 | 도달  869 | 차단 1910
Ep 105 | 배송 36/50 | 재적재 5 | 도착  38 | 2홉+ 0.61 | 도달  889 | 차단 1186
Ep 106 | 배송 23/50 | 재적재 3 | 도착  25 | 2홉+ 0.64 | 도달  919 | 차단 1359
Ep 107 | 배송 35/50 | 재적재 4 | 도착  37 | 2홉+ 0.65 | 도달  892 | 차단 1398
Ep 108 | 배송 35/50 | 재적재 6 | 도착  42 | 2홉+ 0.63 | 도달  853 | 차단  744
Ep 109 | 배송 39/50 | 재적재 5 | 도착  42 | 2홉+ 0.64 | 도달  800 | 차단 1271
Ep 110 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.58 | 도달  831 | 차단 1765
Ep 111 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.65 | 도달  900 | 차단 1082
Ep 112 | 배송 40/50 | 재적재 6 | 도착  44 | 2홉+ 0.63 | 도달  953 | 차단 1054
Ep 113 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.57 | 도달  790 | 차단 1190
Ep 114 | 배송 44/50 | 재적재 6 | 도착  49 | 2홉+ 0.66 | 도달  914 | 차단  986
Ep 115 | 배송 40/50 | 재적재 6 | 도착  44 | 2홉+ 0.65 | 도달  824 | 차단 1047
Ep 116 | 배송 41/50 | 재적재 7 | 도착  46 | 2홉+ 0.66 | 도달  943 | 차단 1058
Ep 117 | 배송 34/50 | 재적재 6 | 도착  37 | 2홉+ 0.62 | 도달  833 | 차단  944
Ep 118 | 배송 31/50 | 재적재 4 | 도착  33 | 2홉+ 0.65 | 도달  731 | 차단 1779
Ep 119 | 배송 43/50 | 재적재 7 | 도착  51 | 2홉+ 0.64 | 도달  890 | 차단  901
Ep 120 | 배송 32/50 | 재적재 5 | 도착  38 | 2홉+ 0.66 | 도달  890 | 차단  765
Ep 121 | 배송 41/50 | 재적재 7 | 도착  44 | 2홉+ 0.63 | 도달  922 | 차단  961
Ep 122 | 배송 42/50 | 재적재 7 | 도착  48 | 2홉+ 0.66 | 도달  898 | 차단  520
Ep 123 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.65 | 도달  811 | 차단  830
