/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 134 | 배송 11/50 | 재적재 0 | 도착 125 | 2홉+ 0.13 | 도달  523 | 차단  112
Ep 135 | 배송 13/50 | 재적재 1 | 도착  51 | 2홉+ 0.15 | 도달  538 | 차단    1
Ep 136 | 배송  9/50 | 재적재 0 | 도착  63 | 2홉+ 0.28 | 도달  529 | 차단   38
Ep 137 | 배송  8/50 | 재적재 0 | 도착  49 | 2홉+ 0.09 | 도달  548 | 차단   50
Ep 138 | 배송  7/50 | 재적재 0 | 도착  56 | 2홉+ 0.17 | 도달  506 | 차단  139
Ep 139 | 배송  5/50 | 재적재 0 | 도착 100 | 2홉+ 0.02 | 도달  416 | 차단    1
Ep 140 | 배송  6/50 | 재적재 0 | 도착  59 | 2홉+ 0.01 | 도달  337 | 차단    2
Ep 141 | 배송  7/50 | 재적재 0 | 도착  47 | 2홉+ 0.04 | 도달  480 | 차단   20
Ep 142 | 배송  9/50 | 재적재 0 | 도착  45 | 2홉+ 0.11 | 도달  516 | 차단   24
Ep 143 | 배송  6/50 | 재적재 0 | 도착  46 | 2홉+ 0.01 | 도달  331 | 차단    0
Ep 144 | 배송  6/50 | 재적재 0 | 도착 181 | 2홉+ 0.00 | 도달  294 | 차단    0
Ep 145 | 배송  5/50 | 재적재 0 | 도착 136 | 2홉+ 0.00 | 도달  257 | 차단    0
Ep 146 | 배송  7/50 | 재적재 0 | 도착  92 | 2홉+ 0.03 | 도달  394 | 차단    0
Ep 147 | 배송  5/50 | 재적재 0 | 도착 144 | 2홉+ 0.00 | 도달  281 | 차단    0
Ep 148 | 배송  5/50 | 재적재 0 | 도착  99 | 2홉+ 0.00 | 도달  292 | 차단    0
Ep 149 | 배송  6/50 | 재적재 0 | 도착 116 | 2홉+ 0.08 | 도달  470 | 차단  191
Ep 150 | 배송 11/50 | 재적재 1 | 도착  47 | 2홉+ 0.15 | 도달  502 | 차단   63
  [홀드아웃] 배송 16.6±4.2 재적재 1.5 2홉+ 0.37 | 최고 19.7@ep50 정체 2/15
Ep 151 | 배송  7/50 | 재적재 0 | 도착 258 | 2홉+ 0.04 | 도달  479 | 차단   10
Ep 152 | 배송  7/50 | 재적재 0 | 도착  48 | 2홉+ 0.01 | 도달  333 | 차단    0
Ep 153 | 배송  5/50 | 재적재 0 | 도착 151 | 2홉+ 0.01 | 도달  399 | 차단   14
Ep 154 | 배송  7/50 | 재적재 0 | 도착 276 | 2홉+ 0.01 | 도달  380 | 차단    0
Ep 155 | 배송  6/50 | 재적재 0 | 도착 189 | 2홉+ 0.01 | 도달  347 | 차단    0
Ep 156 | 배송  9/50 | 재적재 0 | 도착 171 | 2홉+ 0.03 | 도달  386 | 차단    0
Ep 157 | 배송  7/50 | 재적재 0 | 도착  73 | 2홉+ 0.03 | 도달  338 | 차단   48
Ep 158 | 배송  7/50 | 재적재 0 | 도착 158 | 2홉+ 0.09 | 도달  510 | 차단   43
Ep 159 | 배송  6/50 | 재적재 0 | 도착 138 | 2홉+ 0.10 | 도달  511 | 차단   64
