/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 154 |  1300스텝 | 배송 24/50 | 재적재  3 | 정지 0.29 교착최장 100 | deadlock
Ep 155 |  2814스텝 | 배송 34/50 | 재적재  6 | 정지 0.10 교착최장  11 | no_progress
Ep 156 |  2211스텝 | 배송 22/50 | 재적재  3 | 정지 0.18 교착최장  22 | no_progress
Ep 157 |  2383스텝 | 배송 35/50 | 재적재  5 | 정지 0.25 교착최장 100 | deadlock
Ep 158 |  3672스텝 | 배송 30/50 | 재적재  6 | 정지 0.06 교착최장   7 | no_progress
Ep 159 |  3256스텝 | 배송 32/50 | 재적재  4 | 정지 0.14 교착최장 100 | deadlock
Ep 160 |  3646스텝 | 배송 34/50 | 재적재  5 | 정지 0.23 교착최장  31 | no_progress
Ep 161 |  4023스텝 | 배송 34/50 | 재적재  6 | 정지 0.12 교착최장   9 | no_progress
Ep 162 |  4298스텝 | 배송 34/50 | 재적재  6 | 정지 0.14 교착최장  36 | no_progress
Ep 163 |  3373스텝 | 배송 30/50 | 재적재  6 | 정지 0.10 교착최장  11 | no_progress
Ep 164 |  3618스텝 | 배송 32/50 | 재적재  6 | 정지 0.09 교착최장  18 | no_progress
Ep 165 |  2155스텝 | 배송 20/50 | 재적재  4 | 정지 0.02 교착최장   2 | no_progress
Ep 166 |  4299스텝 | 배송 29/50 | 재적재  4 | 정지 0.21 교착최장 100 | deadlock
Ep 167 |  4125스텝 | 배송 30/50 | 재적재  6 | 정지 0.21 교착최장  45 | no_progress
Ep 168 |  3254스텝 | 배송 33/50 | 재적재  6 | 정지 0.24 교착최장  53 | no_progress
Ep 169 |  2208스텝 | 배송 26/50 | 재적재  5 | 정지 0.05 교착최장   6 | no_progress
Ep 170 |  1468스텝 | 배송  8/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 171 |  3594스텝 | 배송 37/50 | 재적재  6 | 정지 0.23 교착최장 100 | deadlock
Ep 172 |  3081스텝 | 배송 30/50 | 재적재  6 | 정지 0.15 교착최장  37 | no_progress
Ep 173 |  5139스텝 | 배송 36/50 | 재적재  6 | 정지 0.14 교착최장  34 | no_progress
Ep 174 |  1166스텝 | 배송  6/50 | 재적재  0 | 정지 0.06 교착최장   2 | no_progress
Ep 175 |  4566스텝 | 배송 27/50 | 재적재  5 | 정지 0.22 교착최장 100 | deadlock
Ep 176 |  1039스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 177 |  1042스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 178 |  1064스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 179 |  1141스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 180 |  1160스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 181 |  1041스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 182 |  2265스텝 | 배송 27/50 | 재적재  4 | 정지 0.21 교착최장 100 | deadlock
Ep 183 |  4420스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장 100 | deadlock
Ep 184 |  4565스텝 | 배송 43/50 | 재적재  8 | 정지 0.23 교착최장  14 | no_progress
Ep 185 |  3211스텝 | 배송 33/50 | 재적재  6 | 정지 0.27 교착최장 100 | deadlock
Ep 186 |  2578스텝 | 배송 29/50 | 재적재  5 | 정지 0.13 교착최장 100 | deadlock
Ep 187 |  2141스텝 | 배송 27/50 | 재적재  3 | 정지 0.36 교착최장 100 | deadlock
Ep 188 |  4086스텝 | 배송 30/50 | 재적재  5 | 정지 0.26 교착최장 100 | deadlock
Ep 189 |  1002스텝 | 배송 16/50 | 재적재  3 | 정지 0.21 교착최장 100 | deadlock
Ep 190 |  4365스텝 | 배송 43/50 | 재적재  7 | 정지 0.29 교착최장  60 | no_progress
Ep 191 |  4489스텝 | 배송 39/50 | 재적재  7 | 정지 0.23 교착최장  84 | no_progress
Ep 192 |  3373스텝 | 배송 37/50 | 재적재  5 | 정지 0.19 교착최장 100 | deadlock
Ep 193 |  7320스텝 | 배송 39/50 | 재적재  7 | 정지 0.22 교착최장  27 | no_progress
Ep 194 |  3098스텝 | 배송 30/50 | 재적재  6 | 정지 0.07 교착최장   5 | no_progress
Ep 195 |  1215스텝 | 배송 18/50 | 재적재  1 | 정지 0.28 교착최장 100 | deadlock
Ep 196 |  3107스텝 | 배송 36/50 | 재적재  6 | 정지 0.33 교착최장  67 | no_progress
Ep 197 |  4050스텝 | 배송 40/50 | 재적재  6 | 정지 0.18 교착최장 100 | deadlock
Ep 198 |  3895스텝 | 배송 35/50 | 재적재  5 | 정지 0.29 교착최장 100 | deadlock
Ep 199 |  4638스텝 | 배송 40/50 | 재적재  6 | 정지 0.30 교착최장 100 | deadlock
Ep 200 |  2945스텝 | 배송 24/50 | 재적재  3 | 정지 0.16 교착최장  18 | no_progress
  [홀드아웃] 배송 4.4±3.8 재적재 0.2 2홉+ 0.14 | 최고 23.8@ep50 정체 3/15
Ep 201 |  4532스텝 | 배송 40/50 | 재적재  6 | 정지 0.32 교착최장 100 | deadlock
Ep 202 |  1406스텝 | 배송 22/50 | 재적재  1 | 정지 0.42 교착최장 100 | deadlock
Ep 203 |  5082스텝 | 배송 35/50 | 재적재  6 | 정지 0.23 교착최장  86 | no_progress
Ep 204 |  3997스텝 | 배송 30/50 | 재적재  5 | 정지 0.30 교착최장  34 | no_progress
Ep 205 |  4483스텝 | 배송 31/50 | 재적재  5 | 정지 0.20 교착최장  62 | no_progress
Ep 206 |  2812스텝 | 배송 22/50 | 재적재  4 | 정지 0.27 교착최장  51 | no_progress
Ep 207 |  4932스텝 | 배송 35/50 | 재적재  6 | 정지 0.21 교착최장  92 | no_progress
Ep 208 |  1046스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 209 |  2565스텝 | 배송  7/50 | 재적재  0 | 정지 0.01 교착최장   2 | no_progress
Ep 210 |  1107스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 211 |  2900스텝 | 배송 14/50 | 재적재  0 | 정지 0.09 교착최장 100 | deadlock
Ep 212 |  1078스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 213 |  1048스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 214 |  1147스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 215 |  1043스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 216 |  1661스텝 | 배송  5/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 217 |  1184스텝 | 배송  5/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 218 |  1073스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 219 |  1125스텝 | 배송  5/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 220 |  1049스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 221 |  2516스텝 | 배송 18/50 | 재적재  3 | 정지 0.06 교착최장   4 | no_progress
Ep 222 |  1060스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 223 |  1071스텝 | 배송  4/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 224 |  4145스텝 | 배송 30/50 | 재적재  4 | 정지 0.24 교착최장 100 | deadlock
Ep 225 |  3816스텝 | 배송 29/50 | 재적재  4 | 정지 0.24 교착최장 100 | deadlock
Ep 226 |  2538스텝 | 배송 19/50 | 재적재  3 | 정지 0.19 교착최장  13 | no_progress
Ep 227 |  2715스텝 | 배송 19/50 | 재적재  2 | 정지 0.10 교착최장   8 | no_progress
Ep 228 |  1930스텝 | 배송  8/50 | 재적재  1 | 정지 0.02 교착최장   0 | no_progress
Ep 229 |  2253스텝 | 배송 14/50 | 재적재  2 | 정지 0.04 교착최장   9 | no_progress
Ep 230 |  2254스텝 | 배송 17/50 | 재적재  3 | 정지 0.19 교착최장  45 | no_progress
Ep 231 |  4109스텝 | 배송 29/50 | 재적재  5 | 정지 0.16 교착최장  38 | no_progress
