episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
92,1000,310.0,-37.46,26,,971,0,3,30,2386,0.6478,752.9,,,0,92000,672.7
93,1000,480.0,10.392,37,,997,0,5,44,763,0.5815,803.4,,,0,93000,680.6
94,1000,330.0,-19.184,28,,740,0,3,31,1735,0.6078,715.8,,,0,94000,688.3
95,1000,290.0,-28.506,24,,547,0,3,28,1922,0.6198,859.9,,,0,95000,696.0
96,1000,310.0,-28.911,26,,997,0,3,29,1883,0.6482,730.3,,,0,96000,703.7
97,1000,460.0,1.258,38,,985,0,4,42,1150,0.6342,866.2,,,0,97000,711.3
98,1000,400.0,2.18,32,,963,0,4,36,877,0.6022,828.4,,,0,98000,719.3
99,1000,310.0,-26.294,23,,386,0,4,30,1832,0.621,656.1,,,0,99000,727.1
100,1000,430.0,-4.503,35,,963,0,4,39,1114,0.6078,760.0,,,0,100000,734.6
101,1000,510.0,8.757,37,,927,0,6,44,901,0.6235,867.0,,,0,101000,759.8
102,1000,320.0,-26.448,27,,577,0,3,28,2051,0.6795,770.0,,,0,102000,767.6
103,1000,320.0,-13.925,27,,976,0,3,29,1269,0.543,719.5,,,0,103000,775.0
104,1000,520.0,13.069,38,,980,0,6,44,682,0.621,851.5,,,0,104000,782.4
105,1000,480.0,0.677,34,,813,0,6,41,1152,0.5877,835.8,,,0,105000,789.6
106,1000,420.0,-4.827,34,,925,0,4,37,1326,0.6567,796.3,,,0,106000,797.2
107,1000,570.0,20.257,40,,945,0,7,48,574,0.5883,1016.2,,,0,107000,804.6
108,1000,390.0,2.57,31,,941,0,4,35,995,0.5915,758.8,,,0,108000,812.4
109,1000,400.0,3.624,29,,990,0,5,32,707,0.5212,738.2,,,0,109000,819.6
110,1000,260.0,-11.629,21,,330,0,3,25,882,0.4422,570.4,,,0,110000,826.9
111,1000,430.0,-3.309,35,,983,0,4,39,1256,0.6607,852.6,,,0,111000,834.4
112,1000,400.0,-5.089,29,,952,0,5,34,1170,0.5635,732.4,,,0,112000,842.0
113,1000,530.0,9.347,39,,944,0,6,47,1117,0.6365,900.7,,,0,113000,850.0
114,1000,350.0,-10.446,30,,992,0,3,34,1435,0.6667,750.8,,,0,114000,857.4
115,1000,490.0,9.928,35,,994,0,6,40,818,0.5617,759.5,,,0,115000,864.8
116,1000,410.0,-5.898,33,,830,0,4,38,1035,0.65,817.0,,,0,116000,872.2
117,1000,480.0,10.667,37,,999,0,5,42,624,0.589,879.6,,,0,117000,880.0
118,1000,410.0,-3.154,33,,695,0,4,38,1225,0.6088,880.6,,,0,118000,887.6
119,1000,290.0,-12.976,24,,951,0,3,27,1132,0.5958,635.6,,,0,119000,895.5
120,1000,390.0,5.921,31,,999,0,4,38,725,0.654,788.3,,,0,120000,903.2
121,1000,400.0,-2.376,32,,980,0,4,37,1069,0.6288,829.7,,,0,121000,910.8
122,1000,530.0,11.952,39,,920,0,6,46,810,0.6282,884.2,,,0,122000,918.2
123,1000,480.0,3.043,34,,995,0,6,40,1080,0.561,801.6,,,0,123000,925.5
124,1000,570.0,21.542,40,,971,0,7,48,595,0.6192,842.2,,,0,124000,933.0
125,1000,400.0,-18.332,32,,898,0,4,34,1705,0.6723,864.5,,,0,125000,940.4
126,1000,370.0,-15.063,29,,987,0,4,33,1471,0.5763,827.1,,,0,126000,948.5
127,1000,500.0,11.273,39,,995,0,5,46,935,0.6315,912.1,,,0,127000,955.9
128,1000,390.0,-3.259,31,,673,0,4,36,1197,0.59,749.2,,,0,128000,963.4
129,1000,350.0,-17.112,27,,732,0,4,32,1584,0.4938,684.1,,,0,129000,971.1
130,1000,460.0,6.798,35,,819,0,5,40,953,0.5447,839.6,,,0,130000,979.0
131,1000,430.0,2.348,35,,945,0,4,39,1003,0.6633,770.6,,,0,131000,986.3
132,1000,390.0,3.232,28,,911,0,5,33,832,0.4868,700.8,,,0,132000,993.6
133,1000,480.0,12.804,37,,918,0,5,42,688,0.5477,825.2,,,0,133000,1000.8
134,1000,490.0,12.155,35,,999,0,6,41,706,0.6325,852.8,,,0,134000,1007.9
