/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 61 | 배송 34/50 | 재적재 5 | 도착  41 | 2홉+ 0.60 | 도달  846 | 차단 1208 | 정지 0.47 최장   7
Ep 62 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.66 | 도달  856 | 차단 1830 | 정지 0.89 최장  19
Ep 63 | 배송 28/50 | 재적재 4 | 도착  36 | 2홉+ 0.63 | 도달  748 | 차단 1614 | 정지 0.52 최장  17
Ep 64 | 배송 26/50 | 재적재 3 | 도착  31 | 2홉+ 0.58 | 도달  680 | 차단 1706 | 정지 0.76 최장   7
Ep 65 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.58 | 도달  774 | 차단 1306 | 정지 0.36 최장   8
Ep 66 | 배송 27/50 | 재적재 3 | 도착  32 | 2홉+ 0.65 | 도달  798 | 차단 1706 | 정지 0.23 최장   9
Ep 67 | 배송 26/50 | 재적재 4 | 도착  30 | 2홉+ 0.54 | 도달  700 | 차단 1770 | 정지 0.19 최장   7
Ep 68 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  845 | 차단 1257 | 정지 0.27 최장   7
Ep 69 | 배송 36/50 | 재적재 4 | 도착  42 | 2홉+ 0.68 | 도달  833 | 차단 1153 | 정지 0.70 최장   2
Ep 70 | 배송 37/50 | 재적재 6 | 도착  43 | 2홉+ 0.62 | 도달  890 | 차단 1396 | 정지 0.65 최장  10
Ep 71 | 배송 27/50 | 재적재 3 | 도착  35 | 2홉+ 0.51 | 도달  720 | 차단  875 | 정지 0.26 최장   4
Ep 72 | 배송 26/50 | 재적재 3 | 도착  29 | 2홉+ 0.66 | 도달  757 | 차단 1468 | 정지 0.60 최장  13
