/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
  [홀드아웃] 배송 23.2±8.7 재적재 2.4 2홉+ 0.61 | 최고 23.4@ep300 정체 1/15
Ep 351 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.60 | 도달 1027 | 차단 1082 | 정지 0.82 최장   4
Ep 352 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.59 | 도달  804 | 차단  499 | 정지 0.43 최장   3
Ep 353 | 배송 41/50 | 재적재 6 | 도착  46 | 2홉+ 0.58 | 도달  992 | 차단  648 | 정지 0.18 최장   3
Ep 354 | 배송 35/50 | 재적재 4 | 도착  42 | 2홉+ 0.56 | 도달  790 | 차단 1056 | 정지 0.13 최장   2
Ep 355 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.62 | 도달  838 | 차단  757 | 정지 0.03 최장   3
Ep 356 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.61 | 도달  987 | 차단  963 | 정지 0.30 최장   5
Ep 357 | 배송 36/50 | 재적재 4 | 도착  40 | 2홉+ 0.57 | 도달  870 | 차단  664 | 정지 0.43 최장   2
Ep 358 | 배송 36/50 | 재적재 4 | 도착  42 | 2홉+ 0.60 | 도달  938 | 차단  381 | 정지 0.60 최장   2
Ep 359 | 배송 36/50 | 재적재 5 | 도착  41 | 2홉+ 0.64 | 도달  769 | 차단  532 | 정지 0.01 최장   4
Ep 360 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.61 | 도달  888 | 차단  719 | 정지 0.55 최장   3
Ep 361 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.61 | 도달  943 | 차단  655 | 정지 0.03 최장   6
Ep 362 | 배송 35/50 | 재적재 4 | 도착  37 | 2홉+ 0.63 | 도달  808 | 차단  747 | 정지 0.61 최장   6
Ep 363 | 배송 34/50 | 재적재 6 | 도착  39 | 2홉+ 0.61 | 도달  861 | 차단  610 | 정지 0.56 최장   2
Ep 364 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.64 | 도달  821 | 차단 1148 | 정지 0.84 최장   6
Ep 365 | 배송 36/50 | 재적재 4 | 도착  39 | 2홉+ 0.63 | 도달  875 | 차단  684 | 정지 0.51 최장   8
Ep 366 | 배송 38/50 | 재적재 5 | 도착  42 | 2홉+ 0.62 | 도달  905 | 차단  669 | 정지 0.39 최장   1
Ep 367 | 배송 32/50 | 재적재 4 | 도착  38 | 2홉+ 0.61 | 도달  727 | 차단  753 | 정지 0.01 최장   2
Ep 368 | 배송 30/50 | 재적재 3 | 도착  32 | 2홉+ 0.63 | 도달  868 | 차단  600 | 정지 0.05 최장   2
Ep 369 | 배송 35/50 | 재적재 6 | 도착  43 | 2홉+ 0.60 | 도달  828 | 차단  453 | 정지 0.13 최장   4
Ep 370 | 배송 32/50 | 재적재 5 | 도착  36 | 2홉+ 0.53 | 도달  873 | 차단  574 | 정지 0.25 최장   2
Ep 371 | 배송 26/50 | 재적재 3 | 도착  26 | 2홉+ 0.61 | 도달  751 | 차단  874 | 정지 0.01 최장   4
Ep 372 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.60 | 도달  822 | 차단  828 | 정지 0.01 최장   7
Ep 373 | 배송 32/50 | 재적재 4 | 도착  39 | 2홉+ 0.61 | 도달  972 | 차단 1223 | 정지 0.16 최장  10
Ep 374 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.66 | 도달  785 | 차단 1139 | 정지 0.06 최장   6
Ep 375 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.54 | 도달  887 | 차단  541 | 정지 0.19 최장   4
Ep 376 | 배송 38/50 | 재적재 6 | 도착  47 | 2홉+ 0.55 | 도달  782 | 차단  413 | 정지 0.37 최장   2
Ep 377 | 배송 33/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  912 | 차단  908 | 정지 0.74 최장   5
Ep 378 | 배송 30/50 | 재적재 4 | 도착  40 | 2홉+ 0.55 | 도달  863 | 차단  772 | 정지 0.65 최장   2
Ep 379 | 배송 25/50 | 재적재 3 | 도착  30 | 2홉+ 0.63 | 도달  838 | 차단 1088 | 정지 0.59 최장   1
Ep 380 | 배송 33/50 | 재적재 4 | 도착  38 | 2홉+ 0.64 | 도달  894 | 차단  535 | 정지 0.52 최장   3
Ep 381 | 배송 37/50 | 재적재 5 | 도착  43 | 2홉+ 0.60 | 도달 1047 | 차단  422 | 정지 0.00 최장   3
Ep 382 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.63 | 도달  824 | 차단  548 | 정지 0.03 최장   8
Ep 383 | 배송 33/50 | 재적재 5 | 도착  37 | 2홉+ 0.58 | 도달  817 | 차단  792 | 정지 0.73 최장   3
Ep 384 | 배송 35/50 | 재적재 6 | 도착  43 | 2홉+ 0.55 | 도달  788 | 차단  795 | 정지 0.05 최장   3
Ep 385 | 배송 22/50 | 재적재 4 | 도착  24 | 2홉+ 0.56 | 도달  784 | 차단  802 | 정지 0.23 최장  10
Ep 386 | 배송 32/50 | 재적재 3 | 도착  35 | 2홉+ 0.61 | 도달  940 | 차단 1931 | 정지 0.99 최장 225
Ep 387 | 배송 27/50 | 재적재 5 | 도착  30 | 2홉+ 0.55 | 도달  650 | 차단  776 | 정지 0.10 최장  12
Ep 388 | 배송 35/50 | 재적재 5 | 도착  41 | 2홉+ 0.62 | 도달  845 | 차단  495 | 정지 0.50 최장   4
Ep 389 | 배송 35/50 | 재적재 6 | 도착  42 | 2홉+ 0.57 | 도달  775 | 차단  459 | 정지 0.03 최장   3
Ep 390 | 배송 32/50 | 재적재 4 | 도착  39 | 2홉+ 0.63 | 도달  783 | 차단  844 | 정지 0.00 최장   2
Ep 391 | 배송 27/50 | 재적재 3 | 도착  27 | 2홉+ 0.54 | 도달  728 | 차단  790 | 정지 0.03 최장   7
Ep 392 | 배송 33/50 | 재적재 4 | 도착  35 | 2홉+ 0.57 | 도달  779 | 차단  431 | 정지 0.14 최장   1
Ep 393 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.63 | 도달  864 | 차단  604 | 정지 0.36 최장   6
Ep 394 | 배송 37/50 | 재적재 7 | 도착  46 | 2홉+ 0.57 | 도달  855 | 차단  294 | 정지 0.09 최장   2
Ep 395 | 배송 33/50 | 재적재 5 | 도착  38 | 2홉+ 0.58 | 도달  791 | 차단  526 | 정지 0.26 최장   1
Ep 396 | 배송 36/50 | 재적재 6 | 도착  42 | 2홉+ 0.58 | 도달  860 | 차단  715 | 정지 0.33 최장   3
Ep 397 | 배송 34/50 | 재적재 4 | 도착  40 | 2홉+ 0.61 | 도달  810 | 차단  792 | 정지 0.78 최장  11
Ep 398 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.61 | 도달  826 | 차단  624 | 정지 0.27 최장   4
Ep 399 | 배송 39/50 | 재적재 6 | 도착  44 | 2홉+ 0.57 | 도달  889 | 차단  521 | 정지 0.18 최장   2
Ep 400 | 배송 36/50 | 재적재 7 | 도착  44 | 2홉+ 0.55 | 도달  814 | 차단  349 | 정지 0.00 최장   2
  [홀드아웃] 배송 14.5±7.0 재적재 0.9 2홉+ 0.58 | 최고 23.4@ep300 정체 2/15
Ep 401 | 배송 31/50 | 재적재 5 | 도착  37 | 2홉+ 0.60 | 도달  794 | 차단  744 | 정지 0.58 최장   5
Ep 402 | 배송 28/50 | 재적재 3 | 도착  32 | 2홉+ 0.64 | 도달  964 | 차단 1357 | 정지 0.58 최장   7
Ep 403 | 배송 31/50 | 재적재 5 | 도착  35 | 2홉+ 0.62 | 도달  789 | 차단  591 | 정지 0.17 최장   1
Ep 404 | 배송 37/50 | 재적재 6 | 도착  40 | 2홉+ 0.58 | 도달  927 | 차단  604 | 정지 0.64 최장   4
Ep 405 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.60 | 도달  824 | 차단  551 | 정지 0.31 최장   4
Ep 406 | 배송 30/50 | 재적재 3 | 도착  34 | 2홉+ 0.66 | 도달  953 | 차단 1196 | 정지 0.02 최장   7
Ep 407 | 배송 32/50 | 재적재 4 | 도착  35 | 2홉+ 0.58 | 도달  757 | 차단  537 | 정지 0.01 최장   2
Ep 408 | 배송 34/50 | 재적재 4 | 도착  37 | 2홉+ 0.63 | 도달  766 | 차단  425 | 정지 0.02 최장   2
Ep 409 | 배송 36/50 | 재적재 4 | 도착  39 | 2홉+ 0.59 | 도달  882 | 차단  496 | 정지 0.09 최장   4
Ep 410 | 배송 37/50 | 재적재 6 | 도착  43 | 2홉+ 0.61 | 도달  875 | 차단  534 | 정지 0.09 최장   4
Ep 411 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.55 | 도달  909 | 차단  672 | 정지 0.03 최장   5
Ep 412 | 배송 31/50 | 재적재 5 | 도착  37 | 2홉+ 0.58 | 도달  812 | 차단  723 | 정지 0.29 최장   3
Ep 413 | 배송 30/50 | 재적재 5 | 도착  37 | 2홉+ 0.61 | 도달  704 | 차단  700 | 정지 0.02 최장   3
Ep 414 | 배송 36/50 | 재적재 5 | 도착  43 | 2홉+ 0.58 | 도달  786 | 차단  763 | 정지 0.32 최장   8
Ep 415 | 배송 31/50 | 재적재 4 | 도착  33 | 2홉+ 0.57 | 도달  735 | 차단  348 | 정지 0.45 최장   1
Ep 416 | 배송 31/50 | 재적재 3 | 도착  35 | 2홉+ 0.60 | 도달  832 | 차단  543 | 정지 0.27 최장   3
Ep 417 | 배송 33/50 | 재적재 4 | 도착  39 | 2홉+ 0.60 | 도달  967 | 차단  536 | 정지 0.07 최장   8
Ep 418 | 배송 33/50 | 재적재 6 | 도착  38 | 2홉+ 0.59 | 도달  956 | 차단  464 | 정지 0.04 최장   4
Ep 419 | 배송 27/50 | 재적재 4 | 도착  31 | 2홉+ 0.53 | 도달  739 | 차단  377 | 정지 0.00 최장   3
Ep 420 | 배송 22/50 | 재적재 2 | 도착  24 | 2홉+ 0.65 | 도달  704 | 차단  232 | 정지 0.09 최장   1
Ep 421 | 배송 26/50 | 재적재 3 | 도착  28 | 2홉+ 0.55 | 도달  701 | 차단  531 | 정지 0.25 최장   1
Ep 422 | 배송 39/50 | 재적재 7 | 도착  47 | 2홉+ 0.59 | 도달  807 | 차단  511 | 정지 0.18 최장   4
Ep 423 | 배송 26/50 | 재적재 2 | 도착  30 | 2홉+ 0.63 | 도달  950 | 차단 1858 | 정지 0.81 최장   6
Ep 424 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.66 | 도달  844 | 차단 1128 | 정지 0.61 최장   3
Ep 425 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.53 | 도달  677 | 차단  793 | 정지 0.16 최장   3
Ep 426 | 배송 32/50 | 재적재 6 | 도착  41 | 2홉+ 0.60 | 도달  738 | 차단  456 | 정지 0.12 최장   3
Ep 427 | 배송 35/50 | 재적재 7 | 도착  39 | 2홉+ 0.58 | 도달  902 | 차단  510 | 정지 0.00 최장   2
Ep 428 | 배송 36/50 | 재적재 4 | 도착  41 | 2홉+ 0.60 | 도달  784 | 차단  473 | 정지 0.25 최장   4
Ep 429 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.60 | 도달  772 | 차단 1018 | 정지 0.27 최장   3
Ep 430 | 배송 29/50 | 재적재 3 | 도착  32 | 2홉+ 0.52 | 도달  750 | 차단  320 | 정지 0.02 최장   2
Ep 431 | 배송 36/50 | 재적재 5 | 도착  38 | 2홉+ 0.58 | 도달  785 | 차단  494 | 정지 0.00 최장   2
Ep 432 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.61 | 도달  888 | 차단  858 | 정지 0.76 최장   4
Ep 433 | 배송 36/50 | 재적재 7 | 도착  42 | 2홉+ 0.58 | 도달  852 | 차단  471 | 정지 0.12 최장   2
Ep 434 | 배송 30/50 | 재적재 5 | 도착  38 | 2홉+ 0.54 | 도달  764 | 차단  585 | 정지 0.14 최장   6
Ep 435 | 배송 29/50 | 재적재 3 | 도착  31 | 2홉+ 0.63 | 도달  729 | 차단  510 | 정지 0.30 최장   2
Ep 436 | 배송 35/50 | 재적재 5 | 도착  35 | 2홉+ 0.60 | 도달  789 | 차단  538 | 정지 0.06 최장  11
Ep 437 | 배송 32/50 | 재적재 6 | 도착  37 | 2홉+ 0.59 | 도달  754 | 차단  637 | 정지 0.27 최장   7
Ep 438 | 배송 28/50 | 재적재 4 | 도착  33 | 2홉+ 0.61 | 도달  687 | 차단  727 | 정지 0.12 최장   3
Ep 439 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.56 | 도달  845 | 차단  665 | 정지 0.55 최장   9
Ep 440 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.48 | 도달  770 | 차단  369 | 정지 0.00 최장   3
Ep 441 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.59 | 도달  785 | 차단  433 | 정지 0.08 최장   3
Ep 442 | 배송 30/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  890 | 차단  844 | 정지 0.20 최장   7
Ep 443 | 배송 35/50 | 재적재 5 | 도착  43 | 2홉+ 0.61 | 도달  866 | 차단  647 | 정지 0.60 최장   3
Ep 444 | 배송 30/50 | 재적재 5 | 도착  35 | 2홉+ 0.61 | 도달  724 | 차단  461 | 정지 0.15 최장   4
Ep 445 | 배송 29/50 | 재적재 4 | 도착  36 | 2홉+ 0.57 | 도달  808 | 차단  237 | 정지 0.17 최장   2
Ep 446 | 배송 39/50 | 재적재 6 | 도착  49 | 2홉+ 0.59 | 도달  851 | 차단  512 | 정지 0.29 최장   1
Ep 447 | 배송 37/50 | 재적재 5 | 도착  43 | 2홉+ 0.59 | 도달  888 | 차단  368 | 정지 0.14 최장   3
Ep 448 | 배송 32/50 | 재적재 4 | 도착  38 | 2홉+ 0.61 | 도달  935 | 차단  676 | 정지 0.68 최장   2
Ep 449 | 배송 37/50 | 재적재 6 | 도착  40 | 2홉+ 0.54 | 도달  857 | 차단  613 | 정지 0.01 최장   3
Ep 450 | 배송 37/50 | 재적재 5 | 도착  40 | 2홉+ 0.61 | 도달  882 | 차단  516 | 정지 0.36 최장   3
  [홀드아웃] 배송 21.8±10.9 재적재 2.1 2홉+ 0.59 | 최고 23.4@ep300 정체 3/15
Ep 451 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.59 | 도달  774 | 차단  872 | 정지 0.03 최장   8
Ep 452 | 배송 28/50 | 재적재 3 | 도착  33 | 2홉+ 0.65 | 도달  800 | 차단  583 | 정지 0.00 최장   6
Ep 453 | 배송 30/50 | 재적재 5 | 도착  35 | 2홉+ 0.62 | 도달  769 | 차단  732 | 정지 0.12 최장   3
Ep 454 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.59 | 도달  803 | 차단  429 | 정지 0.29 최장   2
Ep 455 | 배송 32/50 | 재적재 6 | 도착  39 | 2홉+ 0.55 | 도달  788 | 차단  391 | 정지 0.06 최장   2
Ep 456 | 배송 35/50 | 재적재 5 | 도착  43 | 2홉+ 0.61 | 도달  855 | 차단  390 | 정지 0.09 최장   3
Ep 457 | 배송 34/50 | 재적재 5 | 도착  35 | 2홉+ 0.59 | 도달  799 | 차단  589 | 정지 0.16 최장   3
Ep 458 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.62 | 도달  781 | 차단  498 | 정지 0.20 최장   4
Ep 459 | 배송 32/50 | 재적재 4 | 도착  39 | 2홉+ 0.62 | 도달  799 | 차단  769 | 정지 0.26 최장   3
Ep 460 | 배송 25/50 | 재적재 3 | 도착  28 | 2홉+ 0.54 | 도달  843 | 차단  276 | 정지 0.03 최장   1
Ep 461 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.60 | 도달  829 | 차단  243 | 정지 0.00 최장   2
Ep 462 | 배송 25/50 | 재적재 3 | 도착  27 | 2홉+ 0.65 | 도달  804 | 차단  916 | 정지 0.31 최장   6
Ep 463 | 배송 28/50 | 재적재 3 | 도착  32 | 2홉+ 0.63 | 도달  716 | 차단  699 | 정지 0.29 최장   2
Ep 464 | 배송 28/50 | 재적재 4 | 도착  35 | 2홉+ 0.55 | 도달  671 | 차단  254 | 정지 0.15 최장   1
Ep 465 | 배송 25/50 | 재적재 2 | 도착  26 | 2홉+ 0.61 | 도달  804 | 차단  805 | 정지 0.02 최장   3
Ep 466 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.58 | 도달  771 | 차단  547 | 정지 0.10 최장   3
Ep 467 | 배송 29/50 | 재적재 3 | 도착  30 | 2홉+ 0.60 | 도달  793 | 차단  681 | 정지 0.00 최장   4
Ep 468 | 배송 27/50 | 재적재 4 | 도착  32 | 2홉+ 0.57 | 도달  766 | 차단 1057 | 정지 0.14 최장   3
Ep 469 | 배송 32/50 | 재적재 3 | 도착  33 | 2홉+ 0.57 | 도달  852 | 차단  381 | 정지 0.01 최장   7
Ep 470 | 배송 23/50 | 재적재 4 | 도착  28 | 2홉+ 0.58 | 도달  758 | 차단  504 | 정지 0.40 최장   8
Ep 471 | 배송 26/50 | 재적재 4 | 도착  33 | 2홉+ 0.56 | 도달  698 | 차단  448 | 정지 0.19 최장   1
Ep 472 | 배송 33/50 | 재적재 5 | 도착  38 | 2홉+ 0.59 | 도달  726 | 차단  516 | 정지 0.22 최장   3
Ep 473 | 배송 27/50 | 재적재 3 | 도착  27 | 2홉+ 0.52 | 도달  760 | 차단 1460 | 정지 0.06 최장  15
Ep 474 | 배송 26/50 | 재적재 3 | 도착  27 | 2홉+ 0.59 | 도달  762 | 차단  593 | 정지 0.24 최장   3
Ep 475 | 배송 36/50 | 재적재 4 | 도착  42 | 2홉+ 0.62 | 도달  775 | 차단  417 | 정지 0.00 최장   3
Ep 476 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.62 | 도달  802 | 차단  331 | 정지 0.10 최장   3
Ep 477 | 배송 30/50 | 재적재 3 | 도착  32 | 2홉+ 0.59 | 도달  799 | 차단  361 | 정지 0.19 최장   3
Ep 478 | 배송 34/50 | 재적재 6 | 도착  40 | 2홉+ 0.60 | 도달  835 | 차단  314 | 정지 0.39 최장   2
Ep 479 | 배송 31/50 | 재적재 5 | 도착  33 | 2홉+ 0.63 | 도달  898 | 차단 1020 | 정지 0.09 최장  15
Ep 480 | 배송 31/50 | 재적재 5 | 도착  34 | 2홉+ 0.61 | 도달  716 | 차단  379 | 정지 0.07 최장   3
Ep 481 | 배송 30/50 | 재적재 5 | 도착  36 | 2홉+ 0.56 | 도달  794 | 차단  552 | 정지 0.05 최장   4
Ep 482 | 배송 32/50 | 재적재 5 | 도착  37 | 2홉+ 0.63 | 도달  753 | 차단  465 | 정지 0.09 최장   2
Ep 483 | 배송 31/50 | 재적재 3 | 도착  34 | 2홉+ 0.60 | 도달  762 | 차단 1067 | 정지 0.24 최장  11
Ep 484 | 배송 26/50 | 재적재 3 | 도착  31 | 2홉+ 0.66 | 도달  815 | 차단 1530 | 정지 0.82 최장   8
Ep 485 | 배송 27/50 | 재적재 2 | 도착  28 | 2홉+ 0.62 | 도달  704 | 차단  322 | 정지 0.01 최장   0
Ep 486 | 배송 31/50 | 재적재 3 | 도착  34 | 2홉+ 0.64 | 도달  868 | 차단  690 | 정지 0.34 최장   3
Ep 487 | 배송 32/50 | 재적재 6 | 도착  39 | 2홉+ 0.63 | 도달  806 | 차단  466 | 정지 0.01 최장   1
Ep 488 | 배송 28/50 | 재적재 4 | 도착  32 | 2홉+ 0.49 | 도달  797 | 차단  659 | 정지 0.00 최장   4
Ep 489 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.62 | 도달  806 | 차단  357 | 정지 0.03 최장   2
Ep 490 | 배송 34/50 | 재적재 6 | 도착  39 | 2홉+ 0.61 | 도달  849 | 차단  774 | 정지 0.28 최장   4
Ep 491 | 배송 26/50 | 재적재 4 | 도착  29 | 2홉+ 0.59 | 도달  971 | 차단  814 | 정지 0.19 최장  25
Ep 492 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.66 | 도달  832 | 차단  794 | 정지 0.17 최장   3
Ep 493 | 배송 30/50 | 재적재 3 | 도착  30 | 2홉+ 0.66 | 도달  791 | 차단  553 | 정지 0.47 최장   2
Ep 494 | 배송 30/50 | 재적재 5 | 도착  37 | 2홉+ 0.61 | 도달  790 | 차단  525 | 정지 0.02 최장   3
Ep 495 | 배송 32/50 | 재적재 6 | 도착  36 | 2홉+ 0.61 | 도달 1067 | 차단  707 | 정지 0.68 최장   3
Ep 496 | 배송 28/50 | 재적재 5 | 도착  32 | 2홉+ 0.60 | 도달  826 | 차단  353 | 정지 0.07 최장   2
Ep 497 | 배송 35/50 | 재적재 5 | 도착  43 | 2홉+ 0.62 | 도달  863 | 차단  726 | 정지 0.51 최장   8
Ep 498 | 배송 29/50 | 재적재 4 | 도착  32 | 2홉+ 0.56 | 도달  785 | 차단  347 | 정지 0.10 최장   8
Ep 499 | 배송 27/50 | 재적재 3 | 도착  28 | 2홉+ 0.64 | 도달  694 | 차단  640 | 정지 0.20 최장   8
Ep 500 | 배송 26/50 | 재적재 2 | 도착  27 | 2홉+ 0.47 | 도달  608 | 차단  243 | 정지 0.30 최장   2
  [홀드아웃] 배송 16.6±6.4 재적재 1.3 2홉+ 0.60 | 최고 23.4@ep300 정체 4/15
Ep 501 | 배송 30/50 | 재적재 4 | 도착  32 | 2홉+ 0.62 | 도달  707 | 차단  449 | 정지 0.47 최장   3
Ep 502 | 배송 24/50 | 재적재 3 | 도착  26 | 2홉+ 0.58 | 도달  774 | 차단  810 | 정지 0.44 최장   2
Ep 503 | 배송 30/50 | 재적재 4 | 도착  32 | 2홉+ 0.55 | 도달  744 | 차단  533 | 정지 0.25 최장   2
Ep 504 | 배송 32/50 | 재적재 5 | 도착  36 | 2홉+ 0.65 | 도달  794 | 차단  692 | 정지 0.02 최장   3
Ep 505 | 배송 30/50 | 재적재 4 | 도착  34 | 2홉+ 0.58 | 도달  803 | 차단  497 | 정지 0.12 최장   3
Ep 506 | 배송 31/50 | 재적재 6 | 도착  38 | 2홉+ 0.60 | 도달  793 | 차단  613 | 정지 0.28 최장   8
Ep 507 | 배송 31/50 | 재적재 5 | 도착  36 | 2홉+ 0.57 | 도달  737 | 차단  600 | 정지 0.05 최장   3
Ep 508 | 배송 23/50 | 재적재 4 | 도착  25 | 2홉+ 0.58 | 도달  650 | 차단  465 | 정지 0.04 최장   4
Ep 509 | 배송 26/50 | 재적재 2 | 도착  27 | 2홉+ 0.62 | 도달  740 | 차단  703 | 정지 0.20 최장   3
Ep 510 | 배송 30/50 | 재적재 5 | 도착  34 | 2홉+ 0.53 | 도달  785 | 차단  383 | 정지 0.01 최장   9
Ep 511 | 배송 32/50 | 재적재 5 | 도착  35 | 2홉+ 0.62 | 도달  881 | 차단  413 | 정지 0.05 최장   2
Ep 512 | 배송 32/50 | 재적재 4 | 도착  36 | 2홉+ 0.62 | 도달  748 | 차단  387 | 정지 0.01 최장   1
Ep 513 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.63 | 도달  950 | 차단  748 | 정지 0.49 최장  10
Ep 514 | 배송 28/50 | 재적재 4 | 도착  33 | 2홉+ 0.63 | 도달  720 | 차단  437 | 정지 0.21 최장   2
Ep 515 | 배송 29/50 | 재적재 4 | 도착  33 | 2홉+ 0.60 | 도달  758 | 차단  720 | 정지 0.24 최장   6
Ep 516 | 배송 30/50 | 재적재 3 | 도착  30 | 2홉+ 0.66 | 도달  829 | 차단  546 | 정지 0.06 최장   0
Ep 517 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.65 | 도달  895 | 차단 1101 | 정지 0.13 최장  33
Ep 518 | 배송 26/50 | 재적재 3 | 도착  30 | 2홉+ 0.63 | 도달  844 | 차단  591 | 정지 0.36 최장   1
Ep 519 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.60 | 도달  805 | 차단  465 | 정지 0.03 최장   2
Ep 520 | 배송 24/50 | 재적재 3 | 도착  29 | 2홉+ 0.63 | 도달  702 | 차단  365 | 정지 0.22 최장   2
Ep 521 | 배송 28/50 | 재적재 2 | 도착  30 | 2홉+ 0.64 | 도달  701 | 차단  617 | 정지 0.28 최장   2
Ep 522 | 배송 26/50 | 재적재 4 | 도착  30 | 2홉+ 0.63 | 도달  747 | 차단  441 | 정지 0.21 최장   1
Ep 523 | 배송 27/50 | 재적재 3 | 도착  31 | 2홉+ 0.62 | 도달  753 | 차단  820 | 정지 0.80 최장  11
Ep 524 | 배송 26/50 | 재적재 2 | 도착  26 | 2홉+ 0.65 | 도달  808 | 차단  640 | 정지 0.22 최장   3
Ep 525 | 배송 28/50 | 재적재 3 | 도착  29 | 2홉+ 0.60 | 도달  746 | 차단  583 | 정지 0.09 최장   4
Ep 526 | 배송 18/50 | 재적재 0 | 도착  17 | 2홉+ 0.66 | 도달  578 | 차단  320 | 정지 0.00 최장   3
Ep 527 | 배송 31/50 | 재적재 3 | 도착  38 | 2홉+ 0.62 | 도달  816 | 차단  648 | 정지 0.09 최장   3
Ep 528 | 배송 28/50 | 재적재 3 | 도착  34 | 2홉+ 0.59 | 도달  753 | 차단  511 | 정지 0.33 최장   2
Ep 529 | 배송 31/50 | 재적재 3 | 도착  36 | 2홉+ 0.64 | 도달  722 | 차단  577 | 정지 0.26 최장   1
Ep 530 | 배송 32/50 | 재적재 3 | 도착  33 | 2홉+ 0.57 | 도달  860 | 차단  462 | 정지 0.00 최장   5
Ep 531 | 배송 21/50 | 재적재 3 | 도착  23 | 2홉+ 0.42 | 도달  654 | 차단  146 | 정지 0.00 최장   2
Ep 532 | 배송 25/50 | 재적재 3 | 도착  30 | 2홉+ 0.62 | 도달  746 | 차단 1641 | 정지 0.53 최장  67
Ep 533 | 배송 20/50 | 재적재 2 | 도착  22 | 2홉+ 0.55 | 도달  608 | 차단  354 | 정지 0.24 최장   3
Ep 534 | 배송 21/50 | 재적재 3 | 도착  22 | 2홉+ 0.48 | 도달  704 | 차단  438 | 정지 0.27 최장   2
Ep 535 | 배송 19/50 | 재적재 1 | 도착  17 | 2홉+ 0.61 | 도달  674 | 차단  458 | 정지 0.00 최장   2
Ep 536 | 배송 27/50 | 재적재 3 | 도착  30 | 2홉+ 0.63 | 도달  759 | 차단  571 | 정지 0.38 최장   5
Ep 537 | 배송 16/50 | 재적재 1 | 도착  20 | 2홉+ 0.68 | 도달  593 | 차단  552 | 정지 0.00 최장   1
Ep 538 | 배송 26/50 | 재적재 3 | 도착  30 | 2홉+ 0.61 | 도달  894 | 차단  396 | 정지 0.38 최장   1
Ep 539 | 배송 27/50 | 재적재 3 | 도착  30 | 2홉+ 0.63 | 도달  758 | 차단  721 | 정지 0.09 최장  10
Ep 540 | 배송 20/50 | 재적재 1 | 도착  17 | 2홉+ 0.63 | 도달  715 | 차단  787 | 정지 0.21 최장   9
Ep 541 | 배송 22/50 | 재적재 2 | 도착  28 | 2홉+ 0.66 | 도달  621 | 차단  551 | 정지 0.27 최장   3
