/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 56 | 드론5 목적지61 |  756스텝 | 배송 61/61 | 재적재 10 | 중계율 0.18 | alpha 1.252 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 48/53 | 재적재  7 | 중계율 0.27 | alpha 1.330 | step_limit
Ep 58 | 드론6 목적지57 |  462스텝 | 배송 57/57 | 재적재  9 | 중계율 0.19 | alpha 1.367 | complete
Ep 59 | 드론3 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.25 | alpha 1.448 | step_limit
Ep 60 | 드론4 목적지21 |  322스텝 | 배송 21/21 | 재적재  3 | 중계율 0.27 | alpha 1.474 | complete
Ep 61 | 드론5 목적지26 |  316스텝 | 배송 26/26 | 재적재  2 | 중계율 0.13 | alpha 1.499 | complete
Ep 62 | 드론5 목적지55 |  629스텝 | 배송 55/55 | 재적재  9 | 중계율 0.22 | alpha 1.552 | complete
Ep 63 | 드론6 목적지68 |  589스텝 | 배송 68/68 | 재적재 12 | 중계율 0.17 | alpha 1.602 | complete
Ep 64 | 드론3 목적지41 |  895스텝 | 배송 25/41 | 재적재  3 | 중계율 0.27 | alpha 1.677 | no_progress
Ep 65 | 드론5 목적지68 |  527스텝 | 배송 68/68 | 재적재 12 | 중계율 0.08 | alpha 1.721 | complete
