/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 91 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.14 | alpha 1.333 | step_limit
Ep 92 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.15 | alpha 1.356 | step_limit
Ep 93 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  6 | 중계율 0.11 | alpha 1.370 | step_limit
Ep 94 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.11 | alpha 1.387 | step_limit
Ep 95 | 드론4 목적지50 |  888스텝 | 배송 50/50 | 재적재  9 | 중계율 0.15 | alpha 1.390 | complete
Ep 96 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.12 | alpha 1.388 | step_limit
Ep 97 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  6 | 중계율 0.09 | alpha 1.389 | step_limit
Ep 98 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.14 | alpha 1.388 | step_limit
Ep 99 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  6 | 중계율 0.08 | alpha 1.387 | step_limit
Ep 100 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.13 | alpha 1.390 | step_limit
  [홀드아웃] 배송 46.1±3.8 완주 0.42 재적재 7.7 2홉+ 0.61 | 최고 46.1@ep100 정체 0/15  ← 갱신
Ep 101 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.12 | alpha 1.392 | step_limit
Ep 102 | 드론4 목적지50 |  927스텝 | 배송 50/50 | 재적재  9 | 중계율 0.11 | alpha 1.382 | complete
Ep 103 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.15 | alpha 1.386 | step_limit
Ep 104 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.13 | alpha 1.399 | step_limit
Ep 105 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  9 | 중계율 0.15 | alpha 1.418 | step_limit
Ep 106 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.13 | alpha 1.426 | step_limit
Ep 107 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.15 | alpha 1.440 | step_limit
Ep 108 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  8 | 중계율 0.11 | alpha 1.462 | step_limit
Ep 109 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  8 | 중계율 0.14 | alpha 1.494 | step_limit
Ep 110 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.17 | alpha 1.548 | step_limit
Ep 111 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.12 | alpha 1.577 | step_limit
Ep 112 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.09 | alpha 1.583 | step_limit
Ep 113 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.14 | alpha 1.598 | step_limit
Ep 114 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.12 | alpha 1.599 | step_limit
Ep 115 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.13 | alpha 1.616 | step_limit
Ep 116 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.08 | alpha 1.617 | step_limit
Ep 117 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  7 | 중계율 0.07 | alpha 1.602 | step_limit
Ep 118 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.11 | alpha 1.616 | step_limit
Ep 119 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.14 | alpha 1.619 | step_limit
Ep 120 | 드론4 목적지50 |  975스텝 | 배송 50/50 | 재적재  8 | 중계율 0.08 | alpha 1.611 | complete
Ep 121 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.11 | alpha 1.619 | step_limit
Ep 122 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  7 | 중계율 0.13 | alpha 1.611 | step_limit
Ep 123 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  7 | 중계율 0.12 | alpha 1.616 | step_limit
Ep 124 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.15 | alpha 1.619 | step_limit
Ep 125 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  7 | 중계율 0.11 | alpha 1.613 | step_limit
Ep 126 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.15 | alpha 1.628 | step_limit
Ep 127 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.13 | alpha 1.646 | step_limit
Ep 128 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.11 | alpha 1.680 | step_limit
Ep 129 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  7 | 중계율 0.08 | alpha 1.671 | step_limit
Ep 130 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.07 | alpha 1.674 | step_limit
Ep 131 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.10 | alpha 1.685 | step_limit
Ep 132 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.12 | alpha 1.702 | step_limit
Ep 133 | 드론4 목적지50 |  916스텝 | 배송 50/50 | 재적재  9 | 중계율 0.10 | alpha 1.726 | complete
Ep 134 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  8 | 중계율 0.12 | alpha 1.706 | step_limit
Ep 135 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.15 | alpha 1.693 | step_limit
Ep 136 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  6 | 중계율 0.11 | alpha 1.674 | step_limit
Ep 137 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.13 | alpha 1.677 | step_limit
Ep 138 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  9 | 중계율 0.14 | alpha 1.656 | step_limit
Ep 139 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.12 | alpha 1.637 | step_limit
Ep 140 | 드론4 목적지50 |  950스텝 | 배송 50/50 | 재적재  8 | 중계율 0.13 | alpha 1.644 | complete
Ep 141 | 드론4 목적지50 |  842스텝 | 배송 50/50 | 재적재  8 | 중계율 0.09 | alpha 1.634 | complete
Ep 142 | 드론4 목적지50 |  966스텝 | 배송 50/50 | 재적재  8 | 중계율 0.09 | alpha 1.630 | complete
Ep 143 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.09 | alpha 1.673 | step_limit
Ep 144 | 드론4 목적지50 |  928스텝 | 배송 50/50 | 재적재  9 | 중계율 0.09 | alpha 1.699 | complete
Ep 145 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.07 | alpha 1.742 | step_limit
Ep 146 | 드론4 목적지50 | 1000스텝 | 배송 32/50 | 재적재  5 | 중계율 0.11 | alpha 1.754 | step_limit
Ep 147 | 드론4 목적지50 |  872스텝 | 배송 50/50 | 재적재  8 | 중계율 0.12 | alpha 1.763 | complete
Ep 148 | 드론4 목적지50 |  969스텝 | 배송 50/50 | 재적재  8 | 중계율 0.12 | alpha 1.769 | complete
Ep 149 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.12 | alpha 1.769 | step_limit
Ep 150 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.11 | alpha 1.782 | step_limit
  [홀드아웃] 배송 43.8±4.0 완주 0.00 재적재 7.0 2홉+ 0.59 | 최고 46.1@ep100 정체 1/15
Ep 151 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.14 | alpha 1.769 | step_limit
Ep 152 | 드론4 목적지50 |  822스텝 | 배송 50/50 | 재적재  9 | 중계율 0.08 | alpha 1.776 | complete
Ep 153 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.11 | alpha 1.778 | step_limit
Ep 154 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.08 | alpha 1.779 | step_limit
Ep 155 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.09 | alpha 1.756 | step_limit
Ep 156 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  9 | 중계율 0.09 | alpha 1.759 | step_limit
Ep 157 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.13 | alpha 1.767 | step_limit
Ep 158 | 드론4 목적지50 | 1000스텝 | 배송 44/50 | 재적재  8 | 중계율 0.09 | alpha 1.791 | step_limit
Ep 159 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.10 | alpha 1.799 | step_limit
Ep 160 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  8 | 중계율 0.13 | alpha 1.780 | step_limit
Ep 161 | 드론4 목적지50 |  891스텝 | 배송 50/50 | 재적재  8 | 중계율 0.13 | alpha 1.752 | complete
Ep 162 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.09 | alpha 1.740 | step_limit
Ep 163 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  9 | 중계율 0.09 | alpha 1.765 | step_limit
Ep 164 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.11 | alpha 1.771 | step_limit
Ep 165 | 드론4 목적지50 |  943스텝 | 배송 50/50 | 재적재  8 | 중계율 0.08 | alpha 1.789 | complete
Ep 166 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.12 | alpha 1.793 | step_limit
Ep 167 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  7 | 중계율 0.15 | alpha 1.778 | step_limit
Ep 168 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.08 | alpha 1.791 | step_limit
Ep 169 | 드론4 목적지50 |  974스텝 | 배송 50/50 | 재적재  8 | 중계율 0.08 | alpha 1.812 | complete
Ep 170 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.12 | alpha 1.842 | step_limit
Ep 171 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.12 | alpha 1.825 | step_limit
Ep 172 | 드론4 목적지50 | 1000스텝 | 배송 45/50 | 재적재  7 | 중계율 0.06 | alpha 1.816 | step_limit
Ep 173 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.14 | alpha 1.805 | step_limit
Ep 174 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  8 | 중계율 0.09 | alpha 1.807 | step_limit
Ep 175 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  7 | 중계율 0.09 | alpha 1.799 | step_limit
Ep 176 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  6 | 중계율 0.10 | alpha 1.814 | step_limit
