/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4][3.0, 1.0] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan/속도가중치=40.0
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:354: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 52 | 드론3 목적지40 |  755스텝 | 배송 40/40 | 재적재  7 | 중계율 0.25 | alpha 1.860 | complete
Ep 53 | 드론3 목적지62 | 1000스텝 | 배송 54/62 | 재적재  9 | 중계율 0.23 | alpha 1.960 | step_limit
Ep 54 | 드론3 목적지53 | 1000스텝 | 배송 52/53 | 재적재  9 | 중계율 0.30 | alpha 2.063 | step_limit
Ep 55 | 드론3 목적지30 |  865스텝 | 배송 30/30 | 재적재  4 | 중계율 0.31 | alpha 2.147 | complete
Ep 56 | 드론3 목적지59 | 1000스텝 | 배송 53/59 | 재적재  8 | 중계율 0.27 | alpha 2.240 | step_limit
Ep 57 | 드론3 목적지75 | 1000스텝 | 배송 50/75 | 재적재  9 | 중계율 0.26 | alpha 2.326 | step_limit
Ep 58 | 드론3 목적지77 | 1000스텝 | 배송 66/77 | 재적재 12 | 중계율 0.20 | alpha 2.402 | step_limit
Ep 59 | 드론3 목적지20 |  493스텝 | 배송 20/20 | 재적재  3 | 중계율 0.20 | alpha 2.440 | complete
Ep 60 | 드론3 목적지69 | 1000스텝 | 배송 54/69 | 재적재 10 | 중계율 0.19 | alpha 2.519 | step_limit
Ep 61 | 드론3 목적지59 | 1000스텝 | 배송 45/59 | 재적재  8 | 중계율 0.18 | alpha 2.588 | step_limit
Ep 62 | 드론3 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.30 | alpha 2.629 | step_limit
Ep 63 | 드론3 목적지33 |  841스텝 | 배송 33/33 | 재적재  5 | 중계율 0.27 | alpha 2.653 | complete
Ep 64 | 드론3 목적지52 | 1000스텝 | 배송 38/52 | 재적재  6 | 중계율 0.15 | alpha 2.672 | step_limit
Ep 65 | 드론3 목적지21 |  418스텝 | 배송 21/21 | 재적재  2 | 중계율 0.14 | alpha 2.681 | complete
Ep 66 | 드론3 목적지38 | 1000스텝 | 배송 36/38 | 재적재  5 | 중계율 0.21 | alpha 2.691 | step_limit
Ep 67 | 드론3 목적지41 |  873스텝 | 배송 41/41 | 재적재  6 | 중계율 0.18 | alpha 2.690 | complete
Ep 68 | 드론3 목적지79 | 1000스텝 | 배송 60/79 | 재적재  9 | 중계율 0.27 | alpha 2.681 | step_limit
Ep 69 | 드론3 목적지69 | 1000스텝 | 배송 54/69 | 재적재 10 | 중계율 0.23 | alpha 2.676 | step_limit
Ep 70 | 드론3 목적지39 |  703스텝 | 배송 39/39 | 재적재  6 | 중계율 0.20 | alpha 2.667 | complete
Ep 71 | 드론3 목적지44 |  876스텝 | 배송 44/44 | 재적재  7 | 중계율 0.27 | alpha 2.659 | complete
Ep 72 | 드론3 목적지74 | 1000스텝 | 배송 62/74 | 재적재 10 | 중계율 0.23 | alpha 2.657 | step_limit
Ep 73 | 드론3 목적지72 | 1000스텝 | 배송 63/72 | 재적재 10 | 중계율 0.23 | alpha 2.640 | step_limit
Ep 74 | 드론3 목적지70 | 1000스텝 | 배송 41/70 | 재적재  6 | 중계율 0.21 | alpha 2.616 | step_limit
Ep 75 | 드론3 목적지40 |  895스텝 | 배송 40/40 | 재적재  6 | 중계율 0.26 | alpha 2.620 | complete
Ep 76 | 드론3 목적지77 | 1000스텝 | 배송 60/77 | 재적재 10 | 중계율 0.28 | alpha 2.616 | step_limit
Ep 77 | 드론3 목적지77 | 1000스텝 | 배송 57/77 | 재적재 10 | 중계율 0.17 | alpha 2.628 | step_limit
Ep 78 | 드론3 목적지27 |  985스텝 | 배송 27/27 | 재적재  3 | 중계율 0.35 | alpha 2.615 | complete
Ep 79 | 드론3 목적지52 | 1000스텝 | 배송 50/52 | 재적재  8 | 중계율 0.23 | alpha 2.611 | step_limit
Ep 80 | 드론3 목적지70 | 1000스텝 | 배송 57/70 | 재적재 10 | 중계율 0.26 | alpha 2.608 | step_limit
Ep 81 | 드론3 목적지55 | 1000스텝 | 배송 50/55 | 재적재  8 | 중계율 0.22 | alpha 2.639 | step_limit
Ep 82 | 드론3 목적지27 |  925스텝 | 배송 27/27 | 재적재  5 | 중계율 0.25 | alpha 2.644 | complete
Ep 83 | 드론3 목적지55 | 1000스텝 | 배송 47/55 | 재적재  7 | 중계율 0.29 | alpha 2.668 | step_limit
Ep 84 | 드론3 목적지46 | 1000스텝 | 배송 45/46 | 재적재  8 | 중계율 0.23 | alpha 2.668 | step_limit
