/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 3] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.25@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 50 | 드론3 목적지41 |  842스텝 | 배송 41/41 | 재적재  6 | 중계율 0.33 | alpha 1.689 | complete
  [홀드아웃] 배송 50.0±0.1 완주 0.99 스텝 1050 점수 105.2 재적재 7.7 2홉+ 0.60 | 최고 105.2@ep50 정체 0/15  ← 갱신
Ep 51 | 드론3 목적지33 |  598스텝 | 배송 33/33 | 재적재  6 | 중계율 0.23 | alpha 1.747 | complete
Ep 52 | 드론3 목적지47 |  800스텝 | 배송 47/47 | 재적재  9 | 중계율 0.22 | alpha 1.825 | complete
Ep 53 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  9 | 중계율 0.28 | alpha 1.925 | step_limit
Ep 54 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  9 | 중계율 0.27 | alpha 2.031 | step_limit
Ep 55 | 드론3 목적지45 | 1000스텝 | 배송 43/45 | 재적재  7 | 중계율 0.31 | alpha 2.141 | step_limit
Ep 56 | 드론3 목적지64 | 1000스텝 | 배송 50/64 | 재적재  8 | 중계율 0.26 | alpha 2.252 | step_limit
Ep 57 | 드론3 목적지63 | 1000스텝 | 배송 57/63 | 재적재 10 | 중계율 0.30 | alpha 2.371 | step_limit
Ep 58 | 드론3 목적지54 |  991스텝 | 배송 54/54 | 재적재 10 | 중계율 0.27 | alpha 2.489 | complete
Ep 59 | 드론3 목적지52 |  880스텝 | 배송 52/52 | 재적재  9 | 중계율 0.26 | alpha 2.590 | complete
Ep 60 | 드론3 목적지56 | 1000스텝 | 배송 50/56 | 재적재  9 | 중계율 0.26 | alpha 2.703 | step_limit
Ep 61 | 드론3 목적지78 | 1000스텝 | 배송 57/78 | 재적재 10 | 중계율 0.12 | alpha 2.806 | step_limit
Ep 62 | 드론3 목적지55 | 1000스텝 | 배송 54/55 | 재적재 10 | 중계율 0.26 | alpha 2.900 | step_limit
