/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 80 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.40 교착최장  44 | step_limit
Ep 81 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.45 교착최장 157 | step_limit
Ep 82 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.43 교착최장  38 | step_limit
Ep 83 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.30 교착최장  43 | step_limit
Ep 84 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.42 교착최장  42 | step_limit
Ep 85 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.32 교착최장  28 | step_limit
Ep 86 |   902스텝 | 배송 30/50 | 재적재  4 | 정지 0.60 교착최장 230 | no_progress
Ep 87 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.27 교착최장  64 | step_limit
Ep 88 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.62 교착최장 251 | step_limit
Ep 89 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.58 교착최장 117 | step_limit
Ep 90 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.51 교착최장  64 | step_limit
Ep 91 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.44 교착최장  71 | step_limit
Ep 92 |  1000스텝 | 배송 46/50 | 재적재  7 | 정지 0.28 교착최장  49 | step_limit
Ep 93 |  1000스텝 | 배송 45/50 | 재적재  6 | 정지 0.39 교착최장  34 | step_limit
Ep 94 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.29 교착최장  26 | step_limit
Ep 95 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.24 교착최장  40 | step_limit
Ep 96 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.32 교착최장  47 | step_limit
Ep 97 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.53 교착최장  93 | step_limit
Ep 98 |  1000스텝 | 배송 44/50 | 재적재  8 | 정지 0.37 교착최장  38 | step_limit
Ep 99 |   929스텝 | 배송 50/50 | 재적재  8 | 정지 0.32 교착최장  22 | complete
Ep 100 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.48 교착최장 186 | step_limit
  [홀드아웃] 배송 36.6±6.2 재적재 5.5 2홉+ 0.59 | 최고 36.6@ep100 정체 0/15  ← 갱신
Ep 101 |  1000스텝 | 배송 39/50 | 재적재  5 | 정지 0.48 교착최장  44 | step_limit
Ep 102 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.46 교착최장 293 | step_limit
Ep 103 |  1000스텝 | 배송 40/50 | 재적재  7 | 정지 0.42 교착최장  19 | step_limit
Ep 104 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.59 교착최장 313 | step_limit
Ep 105 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.50 교착최장 162 | step_limit
Ep 106 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.29 교착최장  20 | step_limit
Ep 107 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.24 교착최장  20 | step_limit
Ep 108 |  1000스텝 | 배송 39/50 | 재적재  7 | 정지 0.42 교착최장  64 | step_limit
Ep 109 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.46 교착최장  93 | step_limit
Ep 110 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.57 교착최장 406 | step_limit
Ep 111 |  1000스텝 | 배송 32/50 | 재적재  6 | 정지 0.45 교착최장 199 | step_limit
Ep 112 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.47 교착최장 122 | step_limit
Ep 113 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.43 교착최장  45 | step_limit
Ep 114 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.46 교착최장  59 | step_limit
Ep 115 |  1000스텝 | 배송 37/50 | 재적재  4 | 정지 0.37 교착최장  66 | step_limit
Ep 116 |   941스텝 | 배송 22/50 | 재적재  2 | 정지 0.71 교착최장 490 | no_progress
Ep 117 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.36 교착최장 117 | step_limit
Ep 118 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.26 교착최장  38 | step_limit
Ep 119 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.32 교착최장  31 | step_limit
Ep 120 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.41 교착최장 110 | step_limit
Ep 121 |  1000스텝 | 배송 41/50 | 재적재  5 | 정지 0.44 교착최장  44 | step_limit
Ep 122 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.40 교착최장  89 | step_limit
Ep 123 |  1000스텝 | 배송 39/50 | 재적재  7 | 정지 0.38 교착최장 147 | step_limit
Ep 124 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.48 교착최장 226 | step_limit
Ep 125 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.52 교착최장 177 | step_limit
Ep 126 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.42 교착최장  67 | step_limit
Ep 127 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.41 교착최장  53 | step_limit
Ep 128 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.64 교착최장 441 | step_limit
Ep 129 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.51 교착최장  75 | step_limit
Ep 130 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.57 교착최장 239 | step_limit
Ep 131 |   967스텝 | 배송 26/50 | 재적재  4 | 정지 0.64 교착최장 459 | no_progress
Ep 132 |  1000스텝 | 배송 43/50 | 재적재  8 | 정지 0.32 교착최장  34 | step_limit
Ep 133 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.29 교착최장  14 | step_limit
Ep 134 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.35 교착최장  26 | step_limit
Ep 135 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.38 교착최장  29 | step_limit
Ep 136 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.27 교착최장  30 | step_limit
Ep 137 |   766스텝 | 배송 22/50 | 재적재  4 | 정지 0.75 교착최장 498 | no_progress
Ep 138 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.39 교착최장  77 | step_limit
Ep 139 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.45 교착최장  75 | step_limit
Ep 140 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.42 교착최장  60 | step_limit
Ep 141 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.57 교착최장  94 | step_limit
Ep 142 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.39 교착최장  45 | step_limit
Ep 143 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.57 교착최장 180 | step_limit
Ep 144 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.48 교착최장  58 | step_limit
Ep 145 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.47 교착최장  59 | step_limit
Ep 146 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.54 교착최장 239 | step_limit
Ep 147 |  1000스텝 | 배송 38/50 | 재적재  7 | 정지 0.42 교착최장 106 | step_limit
Ep 148 |  1000스텝 | 배송 42/50 | 재적재  5 | 정지 0.41 교착최장  39 | step_limit
Ep 149 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.54 교착최장 196 | step_limit
Ep 150 |  1000스텝 | 배송 42/50 | 재적재  5 | 정지 0.47 교착최장 164 | step_limit
  [홀드아웃] 배송 38.2±9.9 재적재 5.8 2홉+ 0.58 | 최고 38.2@ep150 정체 0/15  ← 갱신
Ep 151 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.70 교착최장 336 | step_limit
Ep 152 |  1000스텝 | 배송 39/50 | 재적재  5 | 정지 0.60 교착최장 191 | step_limit
Ep 153 |   706스텝 | 배송 18/50 | 재적재  2 | 정지 0.65 교착최장 404 | no_progress
Ep 154 |   620스텝 | 배송 12/50 | 재적재  0 | 정지 0.88 교착최장 497 | no_progress
Ep 155 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.50 교착최장 314 | step_limit
Ep 156 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.56 교착최장 137 | step_limit
Ep 157 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.48 교착최장  93 | step_limit
Ep 158 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.72 교착최장 446 | step_limit
Ep 159 |  1000스텝 | 배송 39/50 | 재적재  5 | 정지 0.38 교착최장  56 | step_limit
Ep 160 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.50 교착최장  55 | step_limit
Ep 161 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.58 교착최장 148 | step_limit
Ep 162 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.45 교착최장  67 | step_limit
Ep 163 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.42 교착최장  87 | step_limit
Ep 164 |   997스텝 | 배송 27/50 | 재적재  4 | 정지 0.46 교착최장  14 | no_progress
Ep 165 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.53 교착최장  68 | step_limit
Ep 166 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.42 교착최장  83 | step_limit
Ep 167 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.49 교착최장 150 | step_limit
Ep 168 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.65 교착최장 453 | step_limit
Ep 169 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.44 교착최장  38 | step_limit
Ep 170 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.40 교착최장  51 | step_limit
Ep 171 |  1000스텝 | 배송 44/50 | 재적재  8 | 정지 0.44 교착최장  81 | step_limit
Ep 172 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.44 교착최장  92 | step_limit
Ep 173 |  1000스텝 | 배송 40/50 | 재적재  7 | 정지 0.52 교착최장 155 | step_limit
Ep 174 |  1000스텝 | 배송 46/50 | 재적재  8 | 정지 0.41 교착최장  56 | step_limit
Ep 175 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.38 교착최장  79 | step_limit
Ep 176 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.56 교착최장 302 | step_limit
Ep 177 |  1000스텝 | 배송 44/50 | 재적재  6 | 정지 0.42 교착최장  27 | step_limit
Ep 178 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.52 교착최장 221 | step_limit
Ep 179 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.48 교착최장 125 | step_limit
Ep 180 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.46 교착최장  56 | step_limit
Ep 181 |   830스텝 | 배송 25/50 | 재적재  4 | 정지 0.51 교착최장  10 | no_progress
Ep 182 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.54 교착최장 257 | step_limit
Ep 183 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.33 교착최장  39 | step_limit
Ep 184 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.43 교착최장  38 | step_limit
Ep 185 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.37 교착최장  72 | step_limit
Ep 186 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.54 교착최장 331 | step_limit
Ep 187 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.66 교착최장 293 | step_limit
Ep 188 |  1000스텝 | 배송 38/50 | 재적재  7 | 정지 0.44 교착최장 213 | step_limit
Ep 189 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.65 교착최장 365 | step_limit
Ep 190 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.44 교착최장  49 | step_limit
Ep 191 |   774스텝 | 배송 23/50 | 재적재  3 | 정지 0.71 교착최장 472 | no_progress
Ep 192 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.58 교착최장 415 | step_limit
Ep 193 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.40 교착최장  25 | step_limit
Ep 194 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.57 교착최장 198 | step_limit
Ep 195 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.53 교착최장 128 | step_limit
Ep 196 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.51 교착최장 332 | step_limit
Ep 197 |   786스텝 | 배송 24/50 | 재적재  4 | 정지 0.72 교착최장 486 | no_progress
Ep 198 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.47 교착최장  77 | step_limit
Ep 199 |   946스텝 | 배송 32/50 | 재적재  5 | 정지 0.63 교착최장 425 | no_progress
Ep 200 |   912스텝 | 배송 25/50 | 재적재  4 | 정지 0.67 교착최장 229 | no_progress
  [홀드아웃] 배송 36.5±7.9 재적재 5.2 2홉+ 0.58 | 최고 38.2@ep150 정체 1/15
Ep 201 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.59 교착최장 152 | step_limit
Ep 202 |   976스텝 | 배송 32/50 | 재적재  5 | 정지 0.64 교착최장 336 | no_progress
Ep 203 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.52 교착최장 120 | step_limit
Ep 204 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.58 교착최장 288 | step_limit
Ep 205 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.59 교착최장 180 | step_limit
Ep 206 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.52 교착최장 122 | step_limit
Ep 207 |   978스텝 | 배송 32/50 | 재적재  4 | 정지 0.66 교착최장 487 | no_progress
Ep 208 |   780스텝 | 배송 23/50 | 재적재  3 | 정지 0.68 교착최장 217 | no_progress
Ep 209 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.70 교착최장 230 | step_limit
Ep 210 |   962스텝 | 배송 50/50 | 재적재  8 | 정지 0.34 교착최장  31 | complete
Ep 211 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.52 교착최장 128 | step_limit
Ep 212 |   851스텝 | 배송 22/50 | 재적재  2 | 정지 0.74 교착최장 445 | no_progress
Ep 213 |   888스텝 | 배송 30/50 | 재적재  4 | 정지 0.69 교착최장 448 | no_progress
Ep 214 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.50 교착최장  98 | step_limit
Ep 215 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.55 교착최장 115 | step_limit
Ep 216 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.44 교착최장  73 | step_limit
Ep 217 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.51 교착최장  40 | step_limit
