/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 138 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.56 교착최장 227 | step_limit
Ep 139 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.40 교착최장  76 | step_limit
Ep 140 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.56 교착최장 299 | step_limit
Ep 141 |  1000스텝 | 배송 45/50 | 재적재  8 | 정지 0.35 교착최장 112 | step_limit
Ep 142 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.67 교착최장 121 | step_limit
Ep 143 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.54 교착최장 163 | step_limit
Ep 144 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.70 교착최장 297 | step_limit
Ep 145 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.58 교착최장 387 | step_limit
Ep 146 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.63 교착최장 162 | step_limit
Ep 147 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.75 교착최장 141 | step_limit
Ep 148 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.49 교착최장 231 | step_limit
Ep 149 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.52 교착최장  61 | step_limit
Ep 150 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.58 교착최장 318 | step_limit
  [홀드아웃] 배송 38.2±7.0 재적재 5.7 2홉+ 0.60 | 최고 40.8@ep100 정체 1/15
Ep 151 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.60 교착최장 378 | step_limit
Ep 152 |   882스텝 | 배송 25/50 | 재적재  3 | 정지 0.71 교착최장 404 | no_progress
Ep 153 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.33 교착최장  18 | step_limit
Ep 154 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.43 교착최장  64 | step_limit
Ep 155 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.65 교착최장 177 | step_limit
Ep 156 |   991스텝 | 배송 33/50 | 재적재  4 | 정지 0.69 교착최장 495 | no_progress
Ep 157 |  1000스텝 | 배송 45/50 | 재적재  9 | 정지 0.35 교착최장  52 | step_limit
Ep 158 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.37 교착최장  53 | step_limit
Ep 159 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.39 교착최장 139 | step_limit
Ep 160 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.46 교착최장 150 | step_limit
Ep 161 |  1000스텝 | 배송 40/50 | 재적재  5 | 정지 0.45 교착최장  36 | step_limit
Ep 162 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.61 교착최장 385 | step_limit
Ep 163 |   870스텝 | 배송 23/50 | 재적재  3 | 정지 0.69 교착최장 349 | no_progress
Ep 164 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.49 교착최장 212 | step_limit
Ep 165 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.49 교착최장  82 | step_limit
Ep 166 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.65 교착최장 333 | step_limit
Ep 167 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.64 교착최장 496 | step_limit
Ep 168 |   911스텝 | 배송 34/50 | 재적재  5 | 정지 0.66 교착최장 470 | no_progress
Ep 169 |  1000스텝 | 배송 44/50 | 재적재  7 | 정지 0.35 교착최장  47 | step_limit
Ep 170 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.47 교착최장 168 | step_limit
Ep 171 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.51 교착최장 108 | step_limit
Ep 172 |  1000스텝 | 배송 41/50 | 재적재  8 | 정지 0.36 교착최장  87 | step_limit
Ep 173 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.36 교착최장  40 | step_limit
Ep 174 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.38 교착최장  32 | step_limit
Ep 175 |   789스텝 | 배송 21/50 | 재적재  3 | 정지 0.66 교착최장 445 | no_progress
Ep 176 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.40 교착최장 244 | step_limit
Ep 177 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.44 교착최장 157 | step_limit
Ep 178 |  1000스텝 | 배송 44/50 | 재적재  8 | 정지 0.38 교착최장  38 | step_limit
Ep 179 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.43 교착최장 120 | step_limit
Ep 180 |   914스텝 | 배송 18/50 | 재적재  1 | 정지 0.75 교착최장 440 | no_progress
Ep 181 |  1000스텝 | 배송 46/50 | 재적재  8 | 정지 0.25 교착최장  23 | step_limit
Ep 182 |  1000스텝 | 배송 45/50 | 재적재  9 | 정지 0.27 교착최장  20 | step_limit
Ep 183 |   929스텝 | 배송 22/50 | 재적재  3 | 정지 0.71 교착최장 431 | no_progress
Ep 184 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.47 교착최장 131 | step_limit
Ep 185 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.44 교착최장  79 | step_limit
Ep 186 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.50 교착최장 112 | step_limit
Ep 187 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.46 교착최장  33 | step_limit
Ep 188 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.54 교착최장  70 | step_limit
Ep 189 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.54 교착최장 173 | step_limit
Ep 190 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.49 교착최장  70 | step_limit
Ep 191 |   727스텝 | 배송 15/50 | 재적재  0 | 정지 0.79 교착최장 221 | no_progress
Ep 192 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.54 교착최장 314 | step_limit
Ep 193 |  1000스텝 | 배송 48/50 | 재적재  8 | 정지 0.34 교착최장  22 | step_limit
Ep 194 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.63 교착최장 456 | step_limit
Ep 195 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.46 교착최장 112 | step_limit
