/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 4] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.2@400 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:347: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 56 | 드론4 목적지61 |  938스텝 | 배송 61/61 | 재적재 11 | 중계율 0.25 | alpha 1.859 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 48/53 | 재적재  8 | 중계율 0.27 | alpha 1.972 | step_limit
Ep 58 | 드론4 목적지57 |  888스텝 | 배송 57/57 | 재적재  9 | 중계율 0.25 | alpha 2.071 | complete
Ep 59 | 드론3 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.23 | alpha 2.182 | step_limit
Ep 60 | 드론3 목적지21 |  491스텝 | 배송 21/21 | 재적재  3 | 중계율 0.35 | alpha 2.237 | complete
Ep 61 | 드론4 목적지26 |  441스텝 | 배송 26/26 | 재적재  4 | 중계율 0.25 | alpha 2.285 | complete
Ep 62 | 드론4 목적지55 |  976스텝 | 배송 55/55 | 재적재  9 | 중계율 0.31 | alpha 2.390 | complete
Ep 63 | 드론4 목적지68 | 1000스텝 | 배송 57/68 | 재적재  9 | 중계율 0.22 | alpha 2.492 | step_limit
Ep 64 | 드론3 목적지41 | 1000스텝 | 배송 38/41 | 재적재  6 | 중계율 0.30 | alpha 2.589 | step_limit
Ep 65 | 드론4 목적지68 |  890스텝 | 배송 68/68 | 재적재 11 | 중계율 0.17 | alpha 2.672 | complete
Ep 66 | 드론3 목적지61 |  812스텝 | 배송 61/61 | 재적재 11 | 중계율 0.15 | alpha 2.745 | complete
Ep 67 | 드론3 목적지53 | 1000스텝 | 배송 45/53 | 재적재  7 | 중계율 0.28 | alpha 2.826 | step_limit
Ep 68 | 드론3 목적지44 |  844스텝 | 배송 44/44 | 재적재  7 | 중계율 0.23 | alpha 2.884 | complete
Ep 69 | 드론3 목적지34 |  743스텝 | 배송 34/34 | 재적재  5 | 중계율 0.21 | alpha 2.916 | complete
Ep 70 | 드론3 목적지31 | 1000스텝 | 배송 29/31 | 재적재  4 | 중계율 0.26 | alpha 2.953 | step_limit
Ep 71 | 드론4 목적지71 | 1000스텝 | 배송 69/71 | 재적재 12 | 중계율 0.21 | alpha 2.967 | step_limit
Ep 72 | 드론3 목적지53 | 1000스텝 | 배송 42/53 | 재적재  7 | 중계율 0.24 | alpha 2.958 | step_limit
Ep 73 | 드론3 목적지21 |  952스텝 | 배송 21/21 | 재적재  3 | 중계율 0.25 | alpha 2.943 | complete
Ep 74 | 드론4 목적지45 |  521스텝 | 배송 45/45 | 재적재  7 | 중계율 0.19 | alpha 2.936 | complete
Ep 75 | 드론4 목적지40 |  804스텝 | 배송 40/40 | 재적재  7 | 중계율 0.23 | alpha 2.930 | complete
Ep 76 | 드론3 목적지75 | 1000스텝 | 배송 59/75 | 재적재  9 | 중계율 0.26 | alpha 2.907 | step_limit
Ep 77 | 드론4 목적지24 |  488스텝 | 배송 24/24 | 재적재  2 | 중계율 0.30 | alpha 2.899 | complete
Ep 78 | 드론3 목적지64 | 1000스텝 | 배송 53/64 | 재적재  9 | 중계율 0.22 | alpha 2.863 | step_limit
Ep 79 | 드론3 목적지41 | 1000스텝 | 배송 38/41 | 재적재  6 | 중계율 0.27 | alpha 2.829 | step_limit
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 54/69 | 재적재  9 | 중계율 0.23 | alpha 2.786 | step_limit
Ep 81 | 드론4 목적지47 |  781스텝 | 배송 47/47 | 재적재  8 | 중계율 0.23 | alpha 2.771 | complete
Ep 82 | 드론4 목적지69 | 1000스텝 | 배송 62/69 | 재적재 12 | 중계율 0.26 | alpha 2.743 | step_limit
Ep 83 | 드론4 목적지31 |  728스텝 | 배송 31/31 | 재적재  6 | 중계율 0.31 | alpha 2.737 | complete
Ep 84 | 드론3 목적지33 |  723스텝 | 배송 33/33 | 재적재  5 | 중계율 0.26 | alpha 2.728 | complete
Ep 85 | 드론3 목적지38 |  741스텝 | 배송 38/38 | 재적재  7 | 중계율 0.17 | alpha 2.727 | complete
Ep 86 | 드론4 목적지24 |  460스텝 | 배송 24/24 | 재적재  3 | 중계율 0.27 | alpha 2.729 | complete
Ep 87 | 드론3 목적지30 |  811스텝 | 배송 30/30 | 재적재  4 | 중계율 0.29 | alpha 2.765 | complete
Ep 88 | 드론3 목적지38 |  757스텝 | 배송 38/38 | 재적재  6 | 중계율 0.22 | alpha 2.790 | complete
Ep 89 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  8 | 중계율 0.23 | alpha 2.772 | step_limit
Ep 90 | 드론4 목적지21 |  556스텝 | 배송 21/21 | 재적재  2 | 중계율 0.25 | alpha 2.770 | complete
Ep 91 | 드론4 목적지77 | 1000스텝 | 배송 64/77 | 재적재 11 | 중계율 0.24 | alpha 2.749 | step_limit
Ep 92 | 드론3 목적지69 | 1000스텝 | 배송 57/69 | 재적재 10 | 중계율 0.26 | alpha 2.688 | step_limit
Ep 93 | 드론4 목적지60 |  989스텝 | 배송 60/60 | 재적재 11 | 중계율 0.18 | alpha 2.654 | complete
Ep 94 | 드론4 목적지45 |  820스텝 | 배송 45/45 | 재적재  8 | 중계율 0.25 | alpha 2.663 | complete
Ep 95 | 드론3 목적지71 | 1000스텝 | 배송 62/71 | 재적재 11 | 중계율 0.18 | alpha 2.644 | step_limit
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 56/74 | 재적재 10 | 중계율 0.19 | alpha 2.643 | step_limit
Ep 97 | 드론4 목적지47 |  712스텝 | 배송 47/47 | 재적재  7 | 중계율 0.20 | alpha 2.655 | complete
Ep 98 | 드론4 목적지50 | 1000스텝 | 배송 47/50 | 재적재  7 | 중계율 0.28 | alpha 2.602 | step_limit
Ep 99 | 드론4 목적지35 | 1000스텝 | 배송 33/35 | 재적재  6 | 중계율 0.27 | alpha 2.567 | step_limit
Ep 100 | 드론3 목적지40 | 1000스텝 | 배송 37/40 | 재적재  6 | 중계율 0.24 | alpha 2.525 | step_limit
  [홀드아웃] 배송 50.0±0.0 완주 1.00 스텝 1080 점수 106.4 재적재 7.8 2홉+ 0.61 | 최고 106.4@ep100 정체 0/15  ← 갱신
Ep 101 | 드론3 목적지23 |  418스텝 | 배송 23/23 | 재적재  3 | 중계율 0.23 | alpha 2.522 | complete
Ep 102 | 드론3 목적지21 |  532스텝 | 배송 21/21 | 재적재  4 | 중계율 0.27 | alpha 2.514 | complete
Ep 103 | 드론4 목적지72 |  942스텝 | 배송 72/72 | 재적재 13 | 중계율 0.16 | alpha 2.480 | complete
Ep 104 | 드론3 목적지27 |  742스텝 | 배송 27/27 | 재적재  3 | 중계율 0.23 | alpha 2.455 | complete
Ep 105 | 드론3 목적지63 | 1000스텝 | 배송 52/63 | 재적재  9 | 중계율 0.14 | alpha 2.437 | step_limit
Ep 106 | 드론4 목적지58 |  709스텝 | 배송 58/58 | 재적재 10 | 중계율 0.15 | alpha 2.417 | complete
Ep 107 | 드론4 목적지75 | 1000스텝 | 배송 52/75 | 재적재  7 | 중계율 0.35 | alpha 2.402 | step_limit
Ep 108 | 드론3 목적지55 |  962스텝 | 배송 55/55 | 재적재 10 | 중계율 0.23 | alpha 2.408 | complete
Ep 109 | 드론4 목적지64 | 1000스텝 | 배송 61/64 | 재적재 11 | 중계율 0.27 | alpha 2.409 | step_limit
Ep 110 | 드론3 목적지55 |  892스텝 | 배송 55/55 | 재적재  9 | 중계율 0.19 | alpha 2.401 | complete
Ep 111 | 드론4 목적지67 | 1000스텝 | 배송 62/67 | 재적재 11 | 중계율 0.29 | alpha 2.370 | step_limit
Ep 112 | 드론3 목적지46 |  703스텝 | 배송 46/46 | 재적재  8 | 중계율 0.19 | alpha 2.366 | complete
Ep 113 | 드론4 목적지43 |  593스텝 | 배송 43/43 | 재적재  6 | 중계율 0.17 | alpha 2.360 | complete
Ep 114 | 드론3 목적지80 | 1000스텝 | 배송 65/80 | 재적재 11 | 중계율 0.19 | alpha 2.348 | step_limit
Ep 115 | 드론4 목적지78 |  915스텝 | 배송 78/78 | 재적재 12 | 중계율 0.15 | alpha 2.333 | complete
Ep 116 | 드론4 목적지72 | 1000스텝 | 배송 69/72 | 재적재 12 | 중계율 0.24 | alpha 2.282 | step_limit
Ep 117 | 드론3 목적지54 | 1000스텝 | 배송 48/54 | 재적재  9 | 중계율 0.22 | alpha 2.236 | step_limit
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 53/63 | 재적재  9 | 중계율 0.21 | alpha 2.200 | step_limit
