/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 90 |  1000스텝 | 배송 45/50 | 재적재  7 | 정지 0.53 교착최장  48 | step_limit
Ep 91 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.78 교착최장 277 | step_limit
Ep 92 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.69 교착최장 117 | step_limit
Ep 93 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.64 교착최장  61 | step_limit
Ep 94 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.60 교착최장  71 | step_limit
Ep 95 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.78 교착최장 214 | step_limit
Ep 96 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.80 교착최장 400 | step_limit
Ep 97 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.81 교착최장 438 | step_limit
Ep 98 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.74 교착최장 187 | step_limit
Ep 99 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.75 교착최장 473 | step_limit
Ep 100 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.68 교착최장  98 | step_limit
  [홀드아웃] 배송 34.6±6.0 재적재 4.8 2홉+ 0.63 | 최고 34.6@ep100 정체 0/15  ← 갱신
Ep 101 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.60 교착최장 223 | step_limit
Ep 102 |  1000스텝 | 배송 19/50 | 재적재  2 | 정지 0.83 교착최장 478 | step_limit
Ep 103 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.71 교착최장 214 | step_limit
Ep 104 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.81 교착최장 237 | step_limit
Ep 105 |  1000스텝 | 배송 31/50 | 재적재  3 | 정지 0.69 교착최장 134 | step_limit
Ep 106 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.81 교착최장 620 | step_limit
Ep 107 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.62 교착최장 136 | step_limit
Ep 108 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.76 교착최장 159 | step_limit
Ep 109 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.66 교착최장 128 | step_limit
Ep 110 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.76 교착최장 166 | step_limit
Ep 111 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.78 교착최장 545 | step_limit
Ep 112 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.60 교착최장 178 | step_limit
Ep 113 |  1000스텝 | 배송 34/50 | 재적재  6 | 정지 0.61 교착최장 158 | step_limit
Ep 114 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.76 교착최장 115 | step_limit
Ep 115 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.76 교착최장 278 | step_limit
Ep 116 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.75 교착최장 561 | step_limit
Ep 117 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.63 교착최장 113 | step_limit
Ep 118 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.73 교착최장 186 | step_limit
