/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 40 | 드론6 목적지56 |  505스텝 | 배송 56/56 | 재적재  9 | 중계율 0.16 | alpha 0.070 | complete
Ep 41 | 드론6 목적지21 |  202스텝 | 배송 21/21 | 재적재  0 | 중계율 0.19 | alpha 0.068 | complete
Ep 42 | 드론3 목적지24 |  500스텝 | 배송 24/24 | 재적재  2 | 중계율 0.24 | alpha 0.065 | complete
Ep 43 | 드론4 목적지52 |  549스텝 | 배송 52/52 | 재적재  9 | 중계율 0.21 | alpha 0.061 | complete
Ep 44 | 드론4 목적지72 | 1000스텝 | 배송 57/72 | 재적재  9 | 중계율 0.12 | alpha 0.056 | step_limit
Ep 45 | 드론4 목적지52 | 1000스텝 | 배송 46/52 | 재적재  6 | 중계율 0.38 | alpha 0.051 | step_limit
Ep 46 | 드론6 목적지72 |  673스텝 | 배송 72/72 | 재적재 13 | 중계율 0.15 | alpha 0.048 | complete
Ep 47 | 드론4 목적지69 |  712스텝 | 배송 69/69 | 재적재 11 | 중계율 0.15 | alpha 0.046 | complete
Ep 48 | 드론4 목적지56 |  564스텝 | 배송 56/56 | 재적재  9 | 중계율 0.18 | alpha 0.044 | complete
Ep 49 | 드론6 목적지78 |  683스텝 | 배송 78/78 | 재적재 14 | 중계율 0.24 | alpha 0.042 | complete
Ep 50 | 드론5 목적지40 | 1000스텝 | 배송 38/40 | 재적재  5 | 중계율 0.38 | alpha 0.039 | step_limit
  [홀드아웃] 배송 48.8±3.6 완주 0.81 스텝 1011 점수 87.9 재적재 7.2 2홉+ 0.63 | 최고 87.9@ep50 정체 0/15  ← 갱신
Ep 51 | 드론6 목적지51 |  340스텝 | 배송 51/51 | 재적재  6 | 중계율 0.12 | alpha 0.038 | complete
Ep 52 | 드론3 목적지42 |  800스텝 | 배송 42/42 | 재적재  7 | 중계율 0.23 | alpha 0.035 | complete
Ep 53 | 드론6 목적지60 |  470스텝 | 배송 60/60 | 재적재 10 | 중계율 0.16 | alpha 0.034 | complete
Ep 54 | 드론4 목적지49 |  834스텝 | 배송 49/49 | 재적재  8 | 중계율 0.20 | alpha 0.032 | complete
Ep 55 | 드론4 목적지40 |  531스텝 | 배송 40/40 | 재적재  6 | 중계율 0.17 | alpha 0.030 | complete
Ep 56 | 드론5 목적지61 |  562스텝 | 배송 61/61 | 재적재 10 | 중계율 0.21 | alpha 0.029 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 50/53 | 재적재  7 | 중계율 0.27 | alpha 0.027 | step_limit
Ep 58 | 드론6 목적지57 |  529스텝 | 배송 57/57 | 재적재  9 | 중계율 0.25 | alpha 0.026 | complete
Ep 59 | 드론3 목적지50 |  789스텝 | 배송 50/50 | 재적재  7 | 중계율 0.29 | alpha 0.024 | complete
Ep 60 | 드론4 목적지21 |  298스텝 | 배송 21/21 | 재적재  2 | 중계율 0.20 | alpha 0.024 | complete
Ep 61 | 드론5 목적지26 |  309스텝 | 배송 26/26 | 재적재  2 | 중계율 0.21 | alpha 0.023 | complete
Ep 62 | 드론5 목적지55 |  562스텝 | 배송 55/55 | 재적재  9 | 중계율 0.26 | alpha 0.022 | complete
