/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:311: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 114 | 드론6 목적지64 |  589스텝 | 배송 64/64 | 재적재 11 | 중계율 0.16 | alpha 1.525 | complete
Ep 115 | 드론5 목적지57 |  857스텝 | 배송 57/57 | 재적재  9 | 중계율 0.13 | alpha 1.492 | complete
Ep 116 | 드론3 목적지78 | 1000스텝 | 배송 60/78 | 재적재 12 | 중계율 0.13 | alpha 1.490 | step_limit
Ep 117 | 드론6 목적지76 |  830스텝 | 배송 76/76 | 재적재 13 | 중계율 0.16 | alpha 1.534 | complete
Ep 118 | 드론3 목적지59 | 1000스텝 | 배송 48/59 | 재적재  9 | 중계율 0.16 | alpha 1.525 | step_limit
Ep 119 | 드론4 목적지73 | 1000스텝 | 배송 56/73 | 재적재 10 | 중계율 0.18 | alpha 1.506 | step_limit
Ep 120 | 드론4 목적지68 | 1000스텝 | 배송 60/68 | 재적재 11 | 중계율 0.21 | alpha 1.448 | step_limit
Ep 121 | 드론6 목적지59 |  711스텝 | 배송 59/59 | 재적재 10 | 중계율 0.16 | alpha 1.446 | complete
Ep 122 | 드론6 목적지55 |  662스텝 | 배송 55/55 | 재적재  9 | 중계율 0.08 | alpha 1.433 | complete
Ep 123 | 드론4 목적지22 |  413스텝 | 배송 22/22 | 재적재  3 | 중계율 0.14 | alpha 1.436 | complete
Ep 124 | 드론3 목적지57 | 1000스텝 | 배송 43/57 | 재적재  7 | 중계율 0.16 | alpha 1.454 | step_limit
Ep 125 | 드론3 목적지29 | 1000스텝 | 배송 28/29 | 재적재  5 | 중계율 0.17 | alpha 1.499 | step_limit
Ep 126 | 드론6 목적지80 |  654스텝 | 배송 80/80 | 재적재 12 | 중계율 0.09 | alpha 1.507 | complete
Ep 127 | 드론6 목적지23 |  239스텝 | 배송 23/23 | 재적재  1 | 중계율 0.11 | alpha 1.505 | complete
Ep 128 | 드론4 목적지75 | 1000스텝 | 배송 60/75 | 재적재 11 | 중계율 0.16 | alpha 1.507 | step_limit
Ep 129 | 드론5 목적지31 |  858스텝 | 배송 31/31 | 재적재  3 | 중계율 0.26 | alpha 1.497 | complete
Ep 130 | 드론5 목적지26 |  255스텝 | 배송 26/26 | 재적재  3 | 중계율 0.06 | alpha 1.496 | complete
