/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.47 교착최장  37 | step_limit
Ep 19 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.60 교착최장 226 | step_limit
Ep 20 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.70 교착최장 258 | step_limit
Ep 21 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.44 교착최장  39 | step_limit
Ep 22 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.62 교착최장 254 | step_limit
Ep 23 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.45 교착최장  46 | step_limit
Ep 24 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.54 교착최장  89 | step_limit
Ep 25 |  1000스텝 | 배송 28/50 | 재적재  2 | 정지 0.68 교착최장 278 | step_limit
Ep 26 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.80 교착최장 300 | step_limit
Ep 27 |  1000스텝 | 배송 33/50 | 재적재  6 | 정지 0.55 교착최장 131 | step_limit
Ep 28 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.57 교착최장 160 | step_limit
Ep 29 |  1000스텝 | 배송 38/50 | 재적재  7 | 정지 0.48 교착최장  79 | step_limit
Ep 30 |  1000스텝 | 배송 34/50 | 재적재  3 | 정지 0.62 교착최장  65 | step_limit
Ep 31 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.62 교착최장 182 | step_limit
Ep 32 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.50 교착최장 124 | step_limit
Ep 33 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.77 교착최장 292 | step_limit
Ep 34 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.57 교착최장  41 | step_limit
Ep 35 |  1000스텝 | 배송 41/50 | 재적재  5 | 정지 0.54 교착최장  77 | step_limit
Ep 36 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.47 교착최장  54 | step_limit
Ep 37 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.50 교착최장  65 | step_limit
Ep 38 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.58 교착최장  53 | step_limit
Ep 39 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.49 교착최장  58 | step_limit
Ep 40 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.50 교착최장  99 | step_limit
Ep 41 |  1000스텝 | 배송 31/50 | 재적재  6 | 정지 0.68 교착최장 166 | step_limit
Ep 42 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.53 교착최장 126 | step_limit
Ep 43 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.60 교착최장  77 | step_limit
