/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 66 | 배송 30/50 | 재적재 3 | 도착  13 | 2홉+ 0.64 | 도달  926 | 차단  519
Ep 67 | 배송 29/50 | 재적재 4 | 도착  20 | 2홉+ 0.61 | 도달  722 | 차단  333
Ep 68 | 배송 27/50 | 재적재 4 | 도착  16 | 2홉+ 0.61 | 도달  801 | 차단  246
Ep 69 | 배송 24/50 | 재적재 2 | 도착  12 | 2홉+ 0.59 | 도달  746 | 차단  559
Ep 70 | 배송 25/50 | 재적재 3 | 도착  10 | 2홉+ 0.55 | 도달  796 | 차단  377
Ep 71 | 배송 29/50 | 재적재 2 | 도착  15 | 2홉+ 0.65 | 도달  856 | 차단  487
Ep 72 | 배송 30/50 | 재적재 3 | 도착  15 | 2홉+ 0.65 | 도달  896 | 차단  541
Ep 73 | 배송 29/50 | 재적재 4 | 도착  14 | 2홉+ 0.63 | 도달  868 | 차단  412
Ep 74 | 배송 29/50 | 재적재 3 | 도착  13 | 2홉+ 0.66 | 도달  948 | 차단  626
Ep 75 | 배송 29/50 | 재적재 4 | 도착  16 | 2홉+ 0.60 | 도달  781 | 차단  584
Ep 76 | 배송 26/50 | 재적재 4 | 도착  20 | 2홉+ 0.55 | 도달  886 | 차단  378
Ep 77 | 배송 30/50 | 재적재 5 | 도착  16 | 2홉+ 0.60 | 도달  749 | 차단  416
Ep 78 | 배송 25/50 | 재적재 2 | 도착  13 | 2홉+ 0.57 | 도달  886 | 차단  551
Ep 79 | 배송 25/50 | 재적재 3 | 도착   9 | 2홉+ 0.67 | 도달 1053 | 차단 1002
Ep 80 | 배송 26/50 | 재적재 4 | 도착  14 | 2홉+ 0.59 | 도달  984 | 차단  879
Ep 81 | 배송 27/50 | 재적재 3 | 도착  15 | 2홉+ 0.61 | 도달  775 | 차단  298
Ep 82 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.62 | 도달  794 | 차단  589
Ep 83 | 배송 32/50 | 재적재 4 | 도착  21 | 2홉+ 0.62 | 도달  841 | 차단  868
