/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 90 |  3393스텝 | 배송 31/50 | 재적재  5 | 정지 0.13 교착최장  11 | no_progress
Ep 91 |  6007스텝 | 배송 46/50 | 재적재  7 | 정지 0.16 교착최장  37 | no_progress
Ep 92 |  4228스텝 | 배송 37/50 | 재적재  5 | 정지 0.17 교착최장  17 | no_progress
Ep 93 |  2858스텝 | 배송 34/50 | 재적재  5 | 정지 0.16 교착최장  13 | no_progress
Ep 94 |  6197스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  18 | no_progress
Ep 95 |  4056스텝 | 배송 41/50 | 재적재  6 | 정지 0.15 교착최장  43 | no_progress
Ep 96 |  6435스텝 | 배송 43/50 | 재적재  8 | 정지 0.14 교착최장  26 | no_progress
Ep 97 |  4759스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  24 | no_progress
Ep 98 |  3820스텝 | 배송 40/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 99 |  5541스텝 | 배송 45/50 | 재적재  8 | 정지 0.16 교착최장  14 | no_progress
Ep 100 |  5314스텝 | 배송 44/50 | 재적재  7 | 정지 0.24 교착최장 100 | deadlock
  [홀드아웃] 배송 11.0±7.4 재적재 0.6 2홉+ 0.36 | 최고 16.8@ep50 정체 1/15
Ep 101 |  3776스텝 | 배송 33/50 | 재적재  5 | 정지 0.13 교착최장  15 | no_progress
Ep 102 |  5054스텝 | 배송 43/50 | 재적재  8 | 정지 0.09 교착최장  10 | no_progress
Ep 103 |  5371스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  47 | no_progress
Ep 104 |  5476스텝 | 배송 46/50 | 재적재  8 | 정지 0.15 교착최장  20 | no_progress
Ep 105 |  4198스텝 | 배송 34/50 | 재적재  6 | 정지 0.11 교착최장  11 | no_progress
Ep 106 |  4029스텝 | 배송 41/50 | 재적재  8 | 정지 0.20 교착최장  10 | no_progress
Ep 107 |  3609스텝 | 배송 33/50 | 재적재  5 | 정지 0.14 교착최장  17 | no_progress
Ep 108 |  4601스텝 | 배송 43/50 | 재적재  7 | 정지 0.20 교착최장  19 | no_progress
Ep 109 |  4840스텝 | 배송 44/50 | 재적재  8 | 정지 0.20 교착최장  36 | no_progress
Ep 110 |  3416스텝 | 배송 36/50 | 재적재  5 | 정지 0.12 교착최장   7 | no_progress
Ep 111 |  5471스텝 | 배송 42/50 | 재적재  8 | 정지 0.14 교착최장  10 | no_progress
Ep 112 |  5904스텝 | 배송 46/50 | 재적재  8 | 정지 0.22 교착최장  69 | no_progress
Ep 113 |  5376스텝 | 배송 43/50 | 재적재  8 | 정지 0.11 교착최장   9 | no_progress
Ep 114 |  4796스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  16 | no_progress
Ep 115 |  5267스텝 | 배송 43/50 | 재적재  7 | 정지 0.09 교착최장   8 | no_progress
Ep 116 |  2521스텝 | 배송 33/50 | 재적재  4 | 정지 0.15 교착최장  23 | no_progress
Ep 117 |  5112스텝 | 배송 42/50 | 재적재  8 | 정지 0.20 교착최장  24 | no_progress
Ep 118 |  3347스텝 | 배송 40/50 | 재적재  7 | 정지 0.14 교착최장   6 | no_progress
Ep 119 |  4726스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  15 | no_progress
Ep 120 |  3450스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장   8 | no_progress
Ep 121 |  2937스텝 | 배송 32/50 | 재적재  5 | 정지 0.11 교착최장   8 | no_progress
Ep 122 |  6114스텝 | 배송 41/50 | 재적재  6 | 정지 0.24 교착최장  31 | no_progress
Ep 123 |  2961스텝 | 배송 34/50 | 재적재  6 | 정지 0.10 교착최장   5 | no_progress
Ep 124 |  5095스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  47 | no_progress
Ep 125 |  4800스텝 | 배송 37/50 | 재적재  5 | 정지 0.14 교착최장  13 | no_progress
Ep 126 |  5059스텝 | 배송 42/50 | 재적재  6 | 정지 0.20 교착최장  15 | no_progress
Ep 127 |  4673스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  15 | no_progress
Ep 128 |  3496스텝 | 배송 40/50 | 재적재  6 | 정지 0.13 교착최장  12 | no_progress
Ep 129 |  6571스텝 | 배송 44/50 | 재적재  7 | 정지 0.16 교착최장  20 | no_progress
Ep 130 |  2426스텝 | 배송 40/50 | 재적재  7 | 정지 0.17 교착최장  10 | no_progress
Ep 131 |  5855스텝 | 배송 46/50 | 재적재  8 | 정지 0.19 교착최장  23 | no_progress
