/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 81 | Step 1000 | R    92.05 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 3037
Ep 82 | Step 1000 | R    64.78 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  960 | 차단 2580
Ep 83 | Step 1000 | R   136.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.58 | 도달  715 | 차단 2120
Ep 84 | Step 1000 | R   128.64 | 배송 19/50 | 미활동 0 | 2홉+ 0.72 | 도달  955 | 차단 2530
Ep 85 | Step 1000 | R   173.76 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  953 | 차단 2193
Ep 86 | Step 1000 | R   131.11 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달  687 | 차단 1981
Ep 87 | Step 1000 | R   119.90 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달 1035 | 차단 2257
Ep 88 | Step 1000 | R   134.21 | 배송 16/50 | 미활동 1 | 2홉+ 0.61 | 도달  856 | 차단 2339
Ep 89 | Step 1000 | R    96.23 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1006 | 차단 2430
Ep 90 | Step 1000 | R   187.19 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달 1022 | 차단 1486
Ep 91 | Step 1000 | R    86.22 | 배송 15/50 | 미활동 1 | 2홉+ 0.73 | 도달  980 | 차단 2341
Ep 92 | Step 1000 | R    79.56 | 배송 14/50 | 미활동 1 | 2홉+ 0.48 | 도달  897 | 차단 2596
Ep 93 | Step 1000 | R    73.51 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 2782
Ep 94 | Step 1000 | R    61.84 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  967 | 차단 2627
Ep 95 | Step 1000 | R   106.85 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1039 | 차단 2005
Ep 96 | Step 1000 | R   156.39 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1008 | 차단 1559
Ep 97 | Step 1000 | R    89.73 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  979 | 차단 2564
Ep 98 | Step 1000 | R    86.42 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달 1016 | 차단 2246
Ep 99 | Step 1000 | R   117.57 | 배송 18/50 | 미활동 0 | 2홉+ 0.73 | 도달  912 | 차단 2065
Ep 100 | Step 1000 | R   136.55 | 배송 18/50 | 미활동 0 | 2홉+ 0.59 | 도달  759 | 차단 1978
  [홀드아웃] 배송 8.7±3.4 미활동 0.33 2홉+ 0.69 도달 663 | 최고 8.7@ep100 | 정체 0/15  ← 최고 갱신
Ep 101 | Step 1000 | R    56.41 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  774 | 차단 2975
Ep 102 | Step 1000 | R   250.23 | 배송 22/50 | 미활동 0 | 2홉+ 0.59 | 도달  781 | 차단 1513
Ep 103 | Step 1000 | R   207.00 | 배송 21/50 | 미활동 0 | 2홉+ 0.68 | 도달  980 | 차단 1265
Ep 104 | Step 1000 | R   209.00 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달 1054 | 차단 1517
Ep 105 | Step 1000 | R    48.38 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1021 | 차단 3106
Ep 106 | Step 1000 | R   207.61 | 배송 21/50 | 미활동 0 | 2홉+ 0.61 | 도달  833 | 차단 1610
Ep 107 | Step 1000 | R    89.62 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 2293
Ep 108 | Step 1000 | R   146.78 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  971 | 차단 2069
Ep 109 | Step 1000 | R   133.40 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달  679 | 차단 1998
Ep 110 | Step 1000 | R   106.02 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  691 | 차단 2522
Ep 111 | Step 1000 | R   202.14 | 배송 21/50 | 미활동 0 | 2홉+ 0.61 | 도달  755 | 차단 2177
Ep 112 | Step 1000 | R   232.20 | 배송 24/50 | 미활동 0 | 2홉+ 0.67 | 도달  781 | 차단 1518
Ep 113 | Step 1000 | R   240.50 | 배송 21/50 | 미활동 0 | 2홉+ 0.66 | 도달  797 | 차단 1720
Ep 114 | Step 1000 | R   146.30 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달  783 | 차단 1436
Ep 115 | Step 1000 | R   190.53 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  773 | 차단 1578
Ep 116 | Step 1000 | R   217.68 | 배송 22/50 | 미활동 0 | 2홉+ 0.61 | 도달  787 | 차단 1472
Ep 117 | Step 1000 | R   209.59 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달  853 | 차단 1222
Ep 118 | Step 1000 | R   223.51 | 배송 22/50 | 미활동 0 | 2홉+ 0.63 | 도달  912 | 차단  999
Ep 119 | Step 1000 | R   129.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  855 | 차단 2387
Ep 120 | Step 1000 | R   161.93 | 배송 18/50 | 미활동 0 | 2홉+ 0.54 | 도달  772 | 차단 1208
