/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 94 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  954 | 차단  527 | 정지 0.30 최장   4
Ep 95 | 배송 31/50 | 재적재 3 | 도착  18 | 2홉+ 0.66 | 도달  904 | 차단  650 | 정지 0.06 최장   2
Ep 96 | 배송 27/50 | 재적재 2 | 도착  17 | 2홉+ 0.60 | 도달  807 | 차단  434 | 정지 0.25 최장   1
Ep 97 | 배송 27/50 | 재적재 5 | 도착  18 | 2홉+ 0.47 | 도달  795 | 차단  338 | 정지 0.00 최장   4
Ep 98 | 배송 30/50 | 재적재 3 | 도착  13 | 2홉+ 0.65 | 도달  851 | 차단  722 | 정지 0.30 최장   3
Ep 99 | 배송 28/50 | 재적재 4 | 도착  16 | 2홉+ 0.61 | 도달  834 | 차단  713 | 정지 0.08 최장   6
Ep 100 | 배송 34/50 | 재적재 6 | 도착  22 | 2홉+ 0.60 | 도달  796 | 차단  388 | 정지 0.35 최장   4
  [홀드아웃] 배송 26.1±7.4 재적재 2.5 2홉+ 0.61 | 최고 30.6@ep50 정체 1/15
Ep 101 | 배송 32/50 | 재적재 4 | 도착  22 | 2홉+ 0.66 | 도달  856 | 차단  394 | 정지 0.16 최장   1
Ep 102 | 배송 24/50 | 재적재 4 | 도착  18 | 2홉+ 0.67 | 도달  835 | 차단  676 | 정지 0.06 최장   2
Ep 103 | 배송 28/50 | 재적재 3 | 도착  16 | 2홉+ 0.65 | 도달  905 | 차단  845 | 정지 0.26 최장   4
Ep 104 | 배송 31/50 | 재적재 5 | 도착  20 | 2홉+ 0.64 | 도달  867 | 차단  552 | 정지 0.17 최장   3
Ep 105 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.64 | 도달  792 | 차단  545 | 정지 0.04 최장   4
Ep 106 | 배송 32/50 | 재적재 4 | 도착  22 | 2홉+ 0.63 | 도달  831 | 차단  385 | 정지 0.01 최장   1
Ep 107 | 배송 30/50 | 재적재 3 | 도착  40 | 2홉+ 0.55 | 도달  796 | 차단  318 | 정지 0.28 최장   2
Ep 108 | 배송 32/50 | 재적재 4 | 도착  34 | 2홉+ 0.60 | 도달  772 | 차단  477 | 정지 0.06 최장   4
Ep 109 | 배송 30/50 | 재적재 5 | 도착  21 | 2홉+ 0.60 | 도달  851 | 차단  508 | 정지 0.02 최장   2
Ep 110 | 배송 24/50 | 재적재 3 | 도착  15 | 2홉+ 0.56 | 도달  753 | 차단  448 | 정지 0.21 최장  12
Ep 111 | 배송 31/50 | 재적재 4 | 도착  18 | 2홉+ 0.60 | 도달  761 | 차단  415 | 정지 0.05 최장   4
Ep 112 | 배송 34/50 | 재적재 5 | 도착  36 | 2홉+ 0.59 | 도달  884 | 차단  550 | 정지 0.08 최장   5
