episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
105,1000,330.0,1.436,28,,897,0,3,13,545,0.6368,791.9,,,0,105000,1268.4
106,1000,400.0,17.229,32,,951,0,4,22,385,0.6342,831.2,,,0,106000,1281.0
107,1000,350.0,22.576,30,,891,0,3,40,318,0.5473,796.5,,,0,107000,1292.6
108,1000,400.0,12.599,32,,785,0,4,34,477,0.6022,771.9,,,0,108000,1304.3
109,1000,410.0,5.645,30,,862,0,5,21,508,0.5968,850.5,,,0,109000,1317.8
110,1000,290.0,1.753,24,,984,0,3,15,448,0.5637,752.5,,,0,110000,1329.6
111,1000,390.0,7.727,31,,985,0,4,18,415,0.596,761.2,,,0,111000,1341.3
112,1000,450.0,16.029,34,,997,0,5,36,550,0.587,884.1,,,0,112000,1353.6
113,1000,430.0,3.943,32,,986,0,5,19,533,0.5747,907.9,,,0,113000,1365.8
114,1000,380.0,14.216,30,,998,0,4,24,265,0.6182,812.2,,,0,114000,1379.4
115,1000,360.0,3.766,31,,791,0,3,16,514,0.6215,868.3,,,0,115000,1391.3
116,1000,320.0,5.511,27,,890,0,3,14,502,0.6172,870.9,,,0,116000,1402.8
117,1000,360.0,-0.526,31,,993,0,3,18,716,0.6022,797.3,,,0,117000,1415.9
118,1000,320.0,-7.084,27,,863,0,3,16,930,0.6438,844.0,,,0,118000,1427.4
119,1000,460.0,5.157,35,,996,0,5,17,600,0.5843,956.6,,,0,119000,1439.0
120,1000,290.0,-0.065,27,,928,0,2,18,508,0.5917,790.3,,,0,120000,1451.9
121,1000,380.0,3.763,33,,931,0,3,20,650,0.6458,901.1,,,0,121000,1463.4
122,1000,320.0,4.99,27,,1000,0,3,15,460,0.598,903.1,,,0,122000,1475.2
123,1000,330.0,2.159,28,,878,0,3,18,606,0.6165,971.9,,,0,123000,1488.8
124,1000,440.0,3.502,33,,940,0,5,20,677,0.6252,922.1,,,0,124000,1501.2
125,1000,320.0,-5.182,27,,852,0,3,13,834,0.6542,770.4,,,0,125000,1514.2
126,1000,470.0,8.442,33,,787,0,6,24,427,0.539,871.9,,,0,126000,1526.2
127,1000,360.0,-4.86,28,,919,0,4,17,819,0.64,912.9,,,0,127000,1537.9
128,1000,350.0,-0.101,30,,849,0,3,19,623,0.6498,893.7,,,0,128000,1550.9
129,1000,420.0,9.126,31,,999,0,5,18,388,0.6268,861.8,,,0,129000,1562.6
130,1000,400.0,-2.472,32,,943,0,4,15,694,0.631,952.1,,,0,130000,1574.0
131,1000,400.0,7.016,32,,957,0,4,22,510,0.6235,810.2,,,0,131000,1587.3
132,1000,300.0,-11.367,25,,945,0,3,17,966,0.59,722.4,,,0,132000,1599.3
133,1000,340.0,0.298,29,,819,0,3,23,603,0.656,840.1,,,0,133000,1610.9
134,1000,370.0,10.124,29,,965,0,4,17,385,0.6365,801.4,,,0,134000,1624.1
