/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 80 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.09 교착최장   6 | step_limit
Ep 81 |  1000스텝 | 배송 20/50 | 재적재  3 | 정지 0.12 교착최장   5 | step_limit
Ep 82 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.07 교착최장  10 | step_limit
Ep 83 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.12 교착최장  12 | step_limit
Ep 84 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.09 교착최장  10 | step_limit
Ep 85 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.12 교착최장   8 | step_limit
Ep 86 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.06 교착최장   4 | step_limit
Ep 87 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.10 교착최장   5 | step_limit
Ep 88 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.08 교착최장   5 | step_limit
Ep 89 |  1000스텝 | 배송 19/50 | 재적재  1 | 정지 0.14 교착최장  11 | step_limit
Ep 90 |  1000스텝 | 배송 20/50 | 재적재  3 | 정지 0.08 교착최장   4 | step_limit
Ep 91 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.05 교착최장   4 | step_limit
Ep 92 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.06 교착최장   6 | step_limit
Ep 93 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.10 교착최장   3 | step_limit
Ep 94 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.07 교착최장  12 | step_limit
Ep 95 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.03 교착최장   4 | step_limit
Ep 96 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.07 교착최장   5 | step_limit
Ep 97 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.06 교착최장   3 | step_limit
Ep 98 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.09 교착최장   7 | step_limit
Ep 99 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.17 교착최장  13 | step_limit
Ep 100 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.07 교착최장   6 | step_limit
  [홀드아웃] 배송 17.5±5.9 재적재 1.1 2홉+ 0.47 | 최고 19.2@ep50 정체 1/15
Ep 101 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.10 교착최장  22 | step_limit
Ep 102 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.08 교착최장   5 | step_limit
Ep 103 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.10 교착최장   5 | step_limit
Ep 104 |  1000스텝 | 배송 19/50 | 재적재  1 | 정지 0.13 교착최장   5 | step_limit
Ep 105 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.17 교착최장  13 | step_limit
Ep 106 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.07 교착최장   2 | step_limit
Ep 107 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.06 교착최장   4 | step_limit
Ep 108 |  1000스텝 | 배송 24/50 | 재적재  4 | 정지 0.09 교착최장   5 | step_limit
Ep 109 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.06 교착최장   7 | step_limit
Ep 110 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.08 교착최장   4 | step_limit
Ep 111 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.11 교착최장   9 | step_limit
Ep 112 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.11 교착최장  11 | step_limit
Ep 113 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.05 교착최장   4 | step_limit
Ep 114 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.11 교착최장   9 | step_limit
Ep 115 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.13 교착최장   7 | step_limit
Ep 116 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.11 교착최장  18 | step_limit
