/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v1_26_08_25_04  relay_w=2.0
obs_dim=19, state_dim=66, total_act_dim=8
Ep 56 | Step 1000 | R   153.11 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.59 | 도달  956 | 차단 1395
Ep 57 | Step 1000 | R   132.16 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.59 | 도달 1025 | 차단 1078
Ep 58 | Step 1000 | R   111.47 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.46 | 도달  830 | 차단 1829
Ep 59 | Step 1000 | R   161.38 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  412
Ep 60 | Step 1000 | R   171.57 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1020 | 차단 1005
Ep 61 | Step 1000 | R   146.24 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1064 | 차단 1247
Ep 62 | Step 1000 | R   127.07 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달  970 | 차단  791
Ep 63 | Step 1000 | R   163.61 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1061 | 차단  810
Ep 64 | Step 1000 | R    60.84 | 배송 10/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.68 | 도달  956 | 차단 1464
Ep 65 | Step 1000 | R   129.22 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.60 | 도달 1017 | 차단  304
Ep 66 | Step 1000 | R   110.66 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.51 | 도달  954 | 차단 1027
Ep 67 | Step 1000 | R   133.43 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.56 | 도달 1074 | 차단  494
Ep 68 | Step 1000 | R   148.37 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1062 | 차단 1185
Ep 69 | Step 1000 | R   160.19 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1056 | 차단  954
Ep 70 | Step 1000 | R   107.39 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  878 | 차단 1161
Ep 71 | Step 1000 | R   152.70 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1052 | 차단  812
Ep 72 | Step 1000 | R    60.97 | 배송 11/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달  990 | 차단 1260
Ep 73 | Step 1000 | R   128.19 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달  952 | 차단  460
Ep 74 | Step 1000 | R   172.87 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.48 | 도달  984 | 차단 1293
Ep 75 | Step 1000 | R   150.68 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.62 | 도달  990 | 차단  623
Ep 76 | Step 1000 | R   132.39 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.60 | 도달  991 | 차단 1019
Ep 77 | Step 1000 | R   170.10 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1073 | 차단  492
Ep 78 | Step 1000 | R   175.15 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  974 | 차단  290
Ep 79 | Step 1000 | R   165.28 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.62 | 도달  969 | 차단  267
Ep 80 | Step 1000 | R   101.19 | 배송 12/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1045 | 차단  562
Ep 81 | Step 1000 | R   165.78 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.60 | 도달  922 | 차단  853
Ep 82 | Step 1000 | R   154.87 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1074 | 차단  674
Ep 83 | Step 1000 | R   129.92 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1016 | 차단  963
Ep 84 | Step 1000 | R   128.21 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  966
Ep 85 | Step 1000 | R   185.21 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1074 | 차단  326
