episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
75,1000,150.6809,18,0.36,,0,4,5,0.5,0,623,0.6165,989.5,347,0,0.04971,1.437984,-29.279633,75000,606.8
76,1000,132.3909,15,0.3,,1,0,5,2.1651,0,1019,0.597,991.4,910,0,0.04976,1.677489,-29.144199,76000,614.9
77,1000,170.0991,19,0.38,,0,4,5,0.433,0,492,0.6355,1073.3,936,0,0.049207,1.752137,-27.106565,77000,623.1
78,1000,175.1506,20,0.4,,0,5,5,0.0,0,290,0.6485,974.1,288,0,0.049038,1.601291,-29.045872,78000,631.3
79,1000,165.2809,19,0.38,,0,4,5,0.433,0,267,0.6195,969.2,907,0,0.048132,1.368015,-25.727272,79000,639.6
80,1000,101.19,12,0.24,,0,1,5,2.0,0,562,0.6887,1045.5,618,0,0.047388,1.224334,-26.714001,80000,647.7
81,1000,165.777,20,0.4,,0,5,5,0.0,0,853,0.5952,921.5,451,0,0.047179,2.224267,-27.757217,81000,655.6
82,1000,154.8677,17,0.34,,0,2,5,1.299,0,674,0.6505,1073.5,241,0,0.045727,1.5965,-28.59116,82000,664.1
83,1000,129.9159,16,0.32,,0,3,5,1.0,0,963,0.6673,1015.6,956,0,0.045102,1.247855,-27.895771,83000,672.8
84,1000,128.209,17,0.34,,0,3,5,0.8292,0,966,0.6687,1073.5,803,0,0.045413,1.460232,-27.55493,84000,680.8
85,1000,185.2117,20,0.4,,0,5,5,0.0,0,326,0.6637,1073.5,964,0,0.044982,1.515827,-27.386992,85000,689.2
86,1000,105.327,13,0.26,,0,1,5,1.7854,0,857,0.6372,1073.5,708,0,0.044391,1.567916,-27.823135,86000,697.7
87,1000,155.1407,19,0.38,,0,4,5,0.433,0,1345,0.6528,918.7,946,0,0.044127,1.865309,-28.471581,87000,706.0
88,1000,175.6786,19,0.38,,0,4,5,0.433,0,546,0.6867,1048.5,807,0,0.043482,1.65894,-27.017878,88000,714.3
89,1000,133.8503,17,0.34,,0,2,5,1.299,0,1087,0.652,1073.5,601,0,0.042783,1.442221,-27.601871,89000,722.5
90,1000,120.2661,15,0.3,,0,2,5,1.299,0,1074,0.654,1021.1,748,0,0.041633,1.746935,-28.832085,90000,730.8
91,1000,139.5066,17,0.34,,0,3,5,0.8292,0,1025,0.6535,1073.5,363,0,0.040402,1.668932,-28.905649,91000,739.1
92,1000,142.4581,18,0.36,,0,3,5,0.866,0,946,0.6823,1011.4,616,0,0.040152,1.587051,-29.45891,92000,747.3
93,1000,179.0655,20,0.4,,0,5,5,0.0,0,664,0.68,1073.5,795,0,0.039751,1.326488,-26.904079,93000,756.0
94,1000,124.2032,14,0.28,,0,1,5,1.6583,0,296,0.67,1073.5,752,0,0.039746,2.547775,-30.033651,94000,764.6
95,1000,99.5255,13,0.26,,0,2,5,1.0897,0,853,0.6743,1046.0,380,0,0.038766,1.060158,-28.388878,95000,772.9
96,1000,149.1708,18,0.36,,0,3,5,0.866,0,603,0.6703,1049.6,798,0,0.038908,1.041377,-27.880566,96000,781.0
97,1000,131.5625,15,0.3,,1,0,5,2.1651,0,296,0.674,1073.5,456,0,0.037868,1.685462,-29.228825,97000,789.1
98,1000,158.9741,18,0.36,,0,3,5,0.866,0,428,0.6603,1073.5,690,0,0.036442,1.493113,-28.033676,98000,797.4
99,1000,135.6026,15,0.3,,1,0,5,2.1651,0,439,0.6765,1064.8,858,0,0.036057,1.6436,-29.579433,99000,805.9
100,1000,143.9597,17,0.34,,0,3,5,0.8292,0,729,0.6402,1073.5,706,0,0.036197,1.286285,-27.407364,100000,814.0
101,1000,123.4366,15,0.3,,0,2,5,1.0897,0,716,0.6873,1025.1,407,0,0.03596,1.478975,-26.826565,101000,822.0
102,1000,119.4516,15,0.3,,0,2,5,1.299,0,679,0.6817,1073.5,260,0,0.035786,1.698285,-29.162891,102000,830.2
103,1000,159.0632,18,0.36,,0,3,5,0.866,0,982,0.682,1073.5,632,0,0.035086,1.624452,-28.002975,103000,838.6
104,1000,170.2528,20,0.4,,0,5,5,0.0,0,524,0.6737,1073.5,389,0,0.034633,1.602938,-27.543156,104000,846.8
105,1000,147.562,16,0.32,,0,2,5,1.2247,0,372,0.684,1073.5,620,0,0.034035,1.865696,-28.953762,105000,855.1
106,1000,83.0198,11,0.22,,0,2,4,0.8292,0,453,0.6947,956.9,926,0,0.033031,1.698744,-28.373842,106000,863.3
107,1000,152.9253,17,0.34,,0,3,5,0.8292,0,338,0.6372,990.0,925,0,0.032563,1.65732,-28.717434,107000,871.5
108,1000,180.1899,20,0.4,,0,5,5,0.0,0,403,0.677,1014.7,536,0,0.031946,1.754137,-26.960907,108000,879.5
109,1000,149.4309,18,0.36,,0,3,5,0.866,0,634,0.6532,1073.5,631,0,0.031623,1.645689,-28.045868,109000,887.4
110,1000,168.5237,20,0.4,,0,5,5,0.0,0,473,0.6072,1073.5,662,0,0.031192,1.170877,-26.778067,110000,895.6
111,1000,151.4938,18,0.36,,0,3,5,0.866,0,604,0.6412,1073.1,792,0,0.030568,1.458168,-28.637726,111000,903.8
112,1000,156.9125,18,0.36,,0,3,5,0.866,0,345,0.4595,1055.4,656,0,0.030955,1.214545,-26.050974,112000,912.1
113,1000,185.3801,20,0.4,,0,5,5,0.0,0,593,0.691,1026.5,884,0,0.03059,1.288382,-25.983101,113000,920.1
114,1000,165.8108,18,0.36,,0,3,5,0.866,0,189,0.6727,1073.3,817,0,0.030197,1.462658,-25.942696,114000,928.2
115,1000,104.8943,14,0.28,,0,2,4,0.866,0,894,0.6673,972.2,450,0,0.029571,1.604977,-26.068501,115000,936.4
