/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 67 |  9173스텝 | 배송 45/50 | 재적재  8 | 정지 0.22 교착최장  24 | no_progress
Ep 68 |  6157스텝 | 배송 48/50 | 재적재  7 | 정지 0.12 교착최장  19 | no_progress
Ep 69 |  7822스텝 | 배송 45/50 | 재적재  8 | 정지 0.19 교착최장  42 | no_progress
Ep 70 |  7077스텝 | 배송 48/50 | 재적재  8 | 정지 0.22 교착최장  70 | no_progress
Ep 71 |  6807스텝 | 배송 47/50 | 재적재  8 | 정지 0.11 교착최장  33 | no_progress
Ep 72 |  6095스텝 | 배송 46/50 | 재적재  8 | 정지 0.17 교착최장  35 | no_progress
Ep 73 |  4632스텝 | 배송 42/50 | 재적재  6 | 정지 0.12 교착최장  14 | no_progress
Ep 74 |  6644스텝 | 배송 46/50 | 재적재  8 | 정지 0.25 교착최장  38 | no_progress
Ep 75 |  3754스텝 | 배송 39/50 | 재적재  6 | 정지 0.21 교착최장  13 | no_progress
Ep 76 |  7412스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  17 | no_progress
Ep 77 |  6270스텝 | 배송 44/50 | 재적재  6 | 정지 0.15 교착최장  23 | no_progress
Ep 78 |  5488스텝 | 배송 46/50 | 재적재  7 | 정지 0.15 교착최장  22 | no_progress
Ep 79 |  7214스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  14 | no_progress
Ep 80 |  4546스텝 | 배송 42/50 | 재적재  8 | 정지 0.16 교착최장  16 | no_progress
Ep 81 |  9233스텝 | 배송 45/50 | 재적재  8 | 정지 0.21 교착최장  77 | no_progress
Ep 82 |  8588스텝 | 배송 47/50 | 재적재  8 | 정지 0.15 교착최장  27 | no_progress
Ep 83 |  8175스텝 | 배송 42/50 | 재적재  7 | 정지 0.19 교착최장  14 | no_progress
Ep 84 |  7265스텝 | 배송 47/50 | 재적재  8 | 정지 0.14 교착최장  22 | no_progress
Ep 85 |  6748스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  24 | no_progress
Ep 86 |  8792스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  13 | no_progress
Ep 87 |  9559스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  63 | no_progress
Ep 88 |  7653스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  25 | no_progress
Ep 89 |  6774스텝 | 배송 41/50 | 재적재  5 | 정지 0.16 교착최장  19 | no_progress
Ep 90 |  9312스텝 | 배송 45/50 | 재적재  8 | 정지 0.20 교착최장  62 | no_progress
Ep 91 |  6580스텝 | 배송 47/50 | 재적재  8 | 정지 0.13 교착최장  13 | no_progress
Ep 92 |  7001스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  31 | no_progress
