/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_both
설정: relay_w=2.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 107 | Step 1000 | R    93.59 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달  967 | 차단 1656
Ep 108 | Step 1000 | R   141.86 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1070 | 차단  603
Ep 109 | Step 1000 | R   165.57 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  923 | 차단 1239
Ep 110 | Step 1000 | R    98.17 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  964 | 차단 1967
Ep 111 | Step 1000 | R    65.79 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  953 | 차단 2187
Ep 112 | Step 1000 | R   123.71 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  909 | 차단 1243
Ep 113 | Step 1000 | R   122.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달 1069 | 차단  921
Ep 114 | Step 1000 | R   110.68 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  998 | 차단 1493
Ep 115 | Step 1000 | R    75.38 | 배송 11/50 | 미활동 1 | 2홉+ 0.72 | 도달  981 | 차단 1113
Ep 116 | Step 1000 | R   175.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  993 | 차단  744
Ep 117 | Step 1000 | R   131.40 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  978 | 차단 1180
Ep 118 | Step 1000 | R    83.81 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  869 | 차단 1776
Ep 119 | Step 1000 | R   142.04 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  848 | 차단 1646
Ep 120 | Step 1000 | R   108.11 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  920 | 차단 1612
Ep 121 | Step 1000 | R    91.19 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  799 | 차단 1335
Ep 122 | Step 1000 | R    95.03 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  751 | 차단 2099
Ep 123 | Step 1000 | R   141.67 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  995 | 차단 1258
Ep 124 | Step 1000 | R   122.87 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  810 | 차단 1573
Ep 125 | Step 1000 | R   130.37 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  835 | 차단 1454
Ep 126 | Step 1000 | R   103.06 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  897 | 차단 1460
Ep 127 | Step 1000 | R   132.16 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  952 | 차단  919
Ep 128 | Step 1000 | R   143.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  875 | 차단 1206
Ep 129 | Step 1000 | R   158.25 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  846 | 차단  652
Ep 130 | Step 1000 | R    76.58 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달 1066 | 차단 1780
Ep 131 | Step 1000 | R     4.20 | 배송  4/50 | 미활동 1 | 2홉+ 0.71 | 도달  672 | 차단 1722
Ep 132 | Step 1000 | R    65.70 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  756 | 차단 2291
Ep 133 | Step 1000 | R   112.51 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  975 | 차단 1370
Ep 134 | Step 1000 | R   158.80 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  780 | 차단 1536
Ep 135 | Step 1000 | R   110.65 | 배송 15/50 | 미활동 0 | 2홉+ 0.64 | 도달  908 | 차단 1443
Ep 136 | Step 1000 | R   110.07 | 배송 14/50 | 미활동 0 | 2홉+ 0.64 | 도달  812 | 차단 1085
Ep 137 | Step 1000 | R   121.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  977 | 차단 1167
Ep 138 | Step 1000 | R    91.60 | 배송 13/50 | 미활동 1 | 2홉+ 0.70 | 도달  649 | 차단 2091
Ep 139 | Step 1000 | R   110.57 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  775 | 차단 1769
Ep 140 | Step 1000 | R   180.23 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  970 | 차단  664
Ep 141 | Step 1000 | R   155.21 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  894 | 차단 1380
Ep 142 | Step 1000 | R    47.15 | 배송 10/50 | 미활동 0 | 2홉+ 0.68 | 도달  659 | 차단 2815
Ep 143 | Step 1000 | R   137.50 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  815 | 차단  812
Ep 144 | Step 1000 | R    80.09 | 배송 11/50 | 미활동 0 | 2홉+ 0.70 | 도달  766 | 차단 1281
Ep 145 | Step 1000 | R    96.74 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  786 | 차단 1780
Ep 146 | Step 1000 | R   160.86 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  930 | 차단 1192
Ep 147 | Step 1000 | R    87.83 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  853 | 차단 1679
Ep 148 | Step 1000 | R   130.36 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  770 | 차단 1057
Ep 149 | Step 1000 | R   106.27 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  941 | 차단 1421
Ep 150 | Step 1000 | R    55.89 | 배송  9/50 | 미활동 1 | 2홉+ 0.69 | 도달  597 | 차단 1692
  [홀드아웃] 배송 7.8±3.3 미활동 1.17 2홉+ 0.58 도달 582 | 최고 12.0@ep50 | 정체 2/15
Ep 151 | Step 1000 | R   120.10 | 배송 15/50 | 미활동 0 | 2홉+ 0.65 | 도달  694 | 차단 1369
Ep 152 | Step 1000 | R   105.54 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  727 | 차단 1422
Ep 153 | Step 1000 | R   145.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  800 | 차단  633
Ep 154 | Step 1000 | R   145.97 | 배송 13/50 | 미활동 1 | 2홉+ 0.62 | 도달  710 | 차단  734
Ep 155 | Step 1000 | R   121.25 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  900 | 차단 1529
Ep 156 | Step 1000 | R   188.41 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달  916 | 차단  558
Ep 157 | Step 1000 | R   189.11 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  800 | 차단 1038
Ep 158 | Step 1000 | R   107.09 | 배송 14/50 | 미활동 0 | 2홉+ 0.56 | 도달  649 | 차단 1911
Ep 159 | Step 1000 | R   176.75 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달 1062 | 차단  701
Ep 160 | Step 1000 | R   133.66 | 배송 13/50 | 미활동 1 | 2홉+ 0.69 | 도달  601 | 차단 1628
Ep 161 | Step 1000 | R   131.52 | 배송 15/50 | 미활동 0 | 2홉+ 0.61 | 도달  690 | 차단  814
Ep 162 | Step 1000 | R    82.96 | 배송 13/50 | 미활동 0 | 2홉+ 0.70 | 도달  915 | 차단 1946
Ep 163 | Step 1000 | R   139.75 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달  824 | 차단 1699
Ep 164 | Step 1000 | R   126.14 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  908 | 차단  611
Ep 165 | Step 1000 | R   149.84 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  770 | 차단 1575
Ep 166 | Step 1000 | R    71.39 | 배송 10/50 | 미활동 1 | 2홉+ 0.70 | 도달  680 | 차단 2089
Ep 167 | Step 1000 | R    89.44 | 배송 13/50 | 미활동 1 | 2홉+ 0.69 | 도달  575 | 차단 1742
Ep 168 | Step 1000 | R   100.49 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  714 | 차단 1865
Ep 169 | Step 1000 | R   133.99 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  969 | 차단  760
Ep 170 | Step 1000 | R   153.32 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  925 | 차단 1444
Ep 171 | Step 1000 | R   143.88 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  916 | 차단 1000
Ep 172 | Step 1000 | R   162.24 | 배송 18/50 | 미활동 0 | 2홉+ 0.64 | 도달  769 | 차단  521
Ep 173 | Step 1000 | R   166.24 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  738 | 차단  935
Ep 174 | Step 1000 | R   145.40 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  588 | 차단  470
Ep 175 | Step 1000 | R    67.58 | 배송  9/50 | 미활동 0 | 2홉+ 0.58 | 도달  734 | 차단 1559
Ep 176 | Step 1000 | R   144.27 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  972 | 차단 1078
Ep 177 | Step 1000 | R   127.78 | 배송 15/50 | 미활동 0 | 2홉+ 0.64 | 도달  699 | 차단  914
Ep 178 | Step 1000 | R   148.21 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  820 | 차단 1255
Ep 179 | Step 1000 | R   115.50 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  753 | 차단 1303
Ep 180 | Step 1000 | R   133.31 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  876 | 차단  410
Ep 181 | Step 1000 | R    90.11 | 배송 12/50 | 미활동 1 | 2홉+ 0.71 | 도달  769 | 차단 1048
Ep 182 | Step 1000 | R   123.26 | 배송 15/50 | 미활동 0 | 2홉+ 0.64 | 도달  709 | 차단  693
Ep 183 | Step 1000 | R    85.57 | 배송 11/50 | 미활동 0 | 2홉+ 0.66 | 도달  619 | 차단  630
Ep 184 | Step 1000 | R   157.72 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  754 | 차단  549
Ep 185 | Step 1000 | R   107.79 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  849 | 차단  729
Ep 186 | Step 1000 | R   130.26 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달  699 | 차단  317
Ep 187 | Step 1000 | R   128.27 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  881 | 차단  345
Ep 188 | Step 1000 | R   116.86 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  986 | 차단  615
Ep 189 | Step 1000 | R   112.72 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  978 | 차단  875
Ep 190 | Step 1000 | R   138.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달  832 | 차단  801
Ep 191 | Step 1000 | R   134.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.69 | 도달  863 | 차단  923
Ep 192 | Step 1000 | R   130.82 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  767 | 차단  263
Ep 193 | Step 1000 | R   120.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.69 | 도달 1011 | 차단 1990
Ep 194 | Step 1000 | R    97.51 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  953 | 차단 1884
Ep 195 | Step 1000 | R   150.47 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  799 | 차단  602
