episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
92,1000,270.0,2.128,25,,969,0,2,15,478,0.65,729.3,0,92000,1757.2
93,1000,370.0,9.265,32,,969,0,3,13,398,0.624,896.7,0,93000,1776.6
94,1000,370.0,-5.177,32,,982,0,3,15,814,0.6318,874.6,0,94000,1796.2
95,1000,340.0,-10.848,29,,905,0,3,15,954,0.6335,941.0,0,95000,1816.0
96,1000,430.0,4.423,32,,798,0,5,16,599,0.6535,877.4,0,96000,1836.6
97,1000,320.0,2.537,27,,834,0,3,11,366,0.6098,725.5,0,97000,1856.1
98,1000,350.0,1.257,30,,886,0,3,14,588,0.6325,843.0,0,98000,1877.2
99,1000,270.0,-3.4,25,,778,0,2,8,592,0.6155,733.4,0,99000,1898.0
100,1000,380.0,14.008,27,,673,0,5,19,354,0.5893,794.3,0,100000,1921.9
101,1000,350.0,12.91,27,,958,0,4,20,304,0.5743,781.9,0,101000,1989.2
102,1000,280.0,-23.176,26,,893,0,2,10,1047,0.6078,970.5,0,102000,2009.2
103,1000,320.0,7.215,24,,830,0,4,16,429,0.5895,753.1,0,103000,2029.4
104,1000,370.0,-3.841,32,,1000,0,3,12,588,0.6345,950.5,0,104000,2048.7
105,1000,330.0,12.37,25,,772,0,4,16,348,0.5455,726.5,0,105000,2068.5
106,1000,360.0,5.493,28,,982,0,4,17,419,0.6583,814.3,0,106000,2088.7
107,1000,330.0,-1.051,25,,923,0,4,15,478,0.597,784.3,0,107000,2108.5
108,1000,290.0,-2.893,24,,858,0,3,11,650,0.6095,847.6,0,108000,2128.7
109,1000,300.0,1.996,28,,983,0,2,12,533,0.6248,1020.1,0,109000,2148.4
110,1000,300.0,5.559,25,,904,0,3,11,410,0.6258,750.4,0,110000,2168.6
111,1000,400.0,5.157,32,,943,0,4,22,433,0.6315,971.9,0,111000,2188.9
112,1000,130.0,-50.473,17,,611,0,0,6,2029,0.7097,1019.5,0,112000,2210.2
113,1000,360.0,0.315,28,,777,0,4,8,504,0.5823,938.8,0,113000,2229.9
114,1000,360.0,11.395,28,,990,0,4,18,538,0.6095,911.2,0,114000,2249.9
115,1000,400.0,3.028,29,,953,0,5,12,627,0.6028,933.0,0,115000,2270.2
116,1000,380.0,0.886,30,,998,0,4,13,600,0.5978,872.3,0,116000,2289.6
117,1000,340.0,1.327,29,,877,0,3,17,621,0.6288,772.9,0,117000,2310.7
118,1000,400.0,16.959,32,,948,0,4,19,414,0.5917,807.4,0,118000,2330.6
119,1000,320.0,3.097,27,,990,0,3,14,374,0.6175,904.7,0,119000,2350.4
120,1000,500.0,14.595,39,,997,0,5,19,372,0.6042,998.0,0,120000,2370.4
121,1000,370.0,7.323,32,,993,0,3,12,440,0.6088,960.5,0,121000,2390.0
122,1000,260.0,6.932,24,,999,0,2,9,284,0.6285,787.9,0,122000,2410.2
123,1000,340.0,14.739,26,,904,0,4,14,307,0.5308,747.9,0,123000,2429.3
124,1000,320.0,4.596,27,,970,0,3,20,583,0.6065,754.2,0,124000,2448.9
125,1000,330.0,14.407,28,,853,0,3,19,230,0.5437,887.8,0,125000,2468.2
126,1000,260.0,0.692,24,,980,0,2,11,513,0.6018,767.8,0,126000,2488.2
127,1000,290.0,0.389,24,,964,0,3,14,741,0.662,773.7,0,127000,2508.9
128,1000,460.0,15.51,32,,936,0,6,23,358,0.5825,859.7,0,128000,2528.4
129,1000,340.0,3.716,29,,839,0,3,10,645,0.6405,1044.3,0,129000,2548.0
130,1000,290.0,-2.212,27,,919,0,2,9,699,0.6338,810.3,0,130000,2567.3
131,1000,470.0,7.976,36,,836,0,5,22,720,0.5857,1001.4,0,131000,2586.9
132,1000,370.0,10.543,29,,925,0,4,17,403,0.5995,792.5,0,132000,2606.4
133,1000,370.0,7.533,29,,947,0,4,16,548,0.6292,985.4,0,133000,2626.1
134,1000,330.0,2.788,25,,875,0,4,11,490,0.589,748.0,0,134000,2645.3
135,1000,290.0,2.476,27,,989,0,2,17,472,0.6018,799.3,0,135000,2664.5
136,1000,310.0,5.311,26,,820,0,3,17,447,0.576,710.5,0,136000,2685.3
137,1000,320.0,-9.024,27,,956,0,3,17,947,0.6575,832.9,0,137000,2705.0
138,1000,360.0,9.391,28,,1000,0,4,15,380,0.5567,782.8,0,138000,2724.6
139,1000,330.0,1.729,28,,897,0,3,13,564,0.6528,757.5,0,139000,2744.5
140,1000,360.0,8.673,28,,897,0,4,18,313,0.5285,829.5,0,140000,2764.3
141,1000,350.0,-0.243,27,,957,0,4,16,633,0.5587,780.5,0,141000,2784.1
142,1000,350.0,9.437,30,,938,0,3,12,398,0.613,798.0,0,142000,2803.7
143,1000,370.0,4.468,32,,976,0,3,15,519,0.6498,814.3,0,143000,2823.9
144,1000,350.0,0.624,27,,953,0,4,13,516,0.582,846.1,0,144000,2843.1
145,1000,350.0,9.976,30,,895,0,3,18,265,0.6242,793.1,0,145000,2862.5
146,1000,350.0,3.453,27,,975,0,4,11,538,0.5897,737.8,0,146000,2880.9
147,1000,340.0,9.724,26,,975,0,4,13,427,0.6185,730.2,0,147000,2898.8
148,1000,390.0,7.974,34,,911,0,3,14,358,0.64,842.4,0,148000,2918.4
149,1000,390.0,5.562,31,,891,0,4,17,568,0.6278,813.3,0,149000,2937.5
150,1000,330.0,-9.445,28,,801,0,3,15,1056,0.6102,994.6,0,150000,2956.6
151,1000,390.0,4.192,31,,874,0,4,16,603,0.622,924.8,0,151000,3029.1
152,1000,350.0,13.209,30,,899,0,3,18,306,0.5835,774.2,0,152000,3048.9
153,1000,290.0,-10.121,27,,861,0,2,13,1095,0.6505,1001.4,0,153000,3068.9
154,1000,320.0,3.047,27,,983,0,3,12,336,0.5855,758.1,0,154000,3089.2
155,1000,410.0,0.03,33,,905,0,4,16,651,0.5867,909.4,0,155000,3109.0
156,1000,390.0,4.436,31,,910,0,4,14,432,0.5978,756.4,0,156000,3129.0
157,1000,300.0,2.519,25,,997,0,3,10,388,0.5493,706.5,0,157000,3149.6
158,1000,340.0,-2.285,29,,906,0,3,17,796,0.655,794.7,0,158000,3169.4
159,1000,360.0,4.955,28,,1000,0,4,15,360,0.5593,783.1,0,159000,3188.8
160,1000,360.0,3.476,28,,1000,0,4,16,544,0.5515,821.6,0,160000,3208.9
161,1000,380.0,4.982,30,,905,0,4,15,502,0.5553,798.7,0,161000,3228.7
162,1000,370.0,11.666,29,,923,0,4,22,234,0.592,867.9,0,162000,3248.0
163,1000,450.0,7.393,34,,925,0,5,16,523,0.593,1005.5,0,163000,3269.0
164,1000,320.0,9.123,27,,906,0,3,11,218,0.5687,775.0,0,164000,3289.0
165,1000,360.0,9.14,31,,991,0,3,10,241,0.6045,948.7,0,165000,3309.2
166,1000,310.0,6.097,26,,820,0,3,12,381,0.6068,952.1,0,166000,3331.4
167,1000,370.0,13.365,29,,973,0,4,16,271,0.596,739.7,0,167000,3351.4
168,1000,370.0,-14.05,29,,884,0,4,12,1135,0.636,1031.8,0,168000,3370.9
169,1000,360.0,0.794,28,,926,0,4,12,575,0.6195,844.9,0,169000,3390.5
170,1000,310.0,4.101,29,,988,0,2,15,502,0.5597,740.3,0,170000,3409.9
171,1000,330.0,13.421,28,,901,0,3,13,120,0.634,751.8,0,171000,3429.9
172,1000,300.0,5.188,25,,931,0,3,12,355,0.6355,727.6,0,172000,3449.6
173,1000,400.0,-3.194,32,,944,0,4,12,643,0.6315,957.6,0,173000,3469.5
174,1000,340.0,-0.227,29,,947,0,3,9,574,0.62,797.3,0,174000,3490.1
175,1000,360.0,-2.517,31,,869,0,3,12,651,0.5867,977.7,0,175000,3510.5
176,1000,300.0,1.427,25,,905,0,3,9,452,0.5857,735.2,0,176000,3531.6
177,1000,300.0,-8.2,25,,867,0,3,13,930,0.657,974.8,0,177000,3552.3
178,1000,290.0,-11.971,27,,814,0,2,8,856,0.6508,1048.2,0,178000,3571.8
179,1000,160.0,-49.524,20,,407,0,0,10,2124,0.7063,1027.6,0,179000,3592.9
180,1000,330.0,-7.494,28,,908,0,3,13,644,0.6372,760.1,0,180000,3612.9
181,1000,390.0,11.918,31,,993,0,4,17,274,0.6135,953.3,0,181000,3632.6
182,1000,380.0,8.613,27,,928,0,5,16,576,0.6102,739.6,0,182000,3651.8
183,1000,260.0,4.832,21,,751,0,3,12,272,0.538,766.8,0,183000,3671.8
184,1000,340.0,2.626,29,,999,0,3,15,506,0.6235,797.9,0,184000,3692.1
185,1000,300.0,7.707,25,,996,0,3,12,282,0.529,786.7,0,185000,3711.9
186,1000,390.0,9.923,31,,984,0,4,15,505,0.6028,796.7,0,186000,3730.5
187,1000,300.0,4.923,25,,977,0,3,15,443,0.6025,739.8,0,187000,3749.8
188,1000,310.0,6.673,26,,881,0,3,16,514,0.5965,748.7,0,188000,3770.2
189,1000,200.0,11.139,18,,580,0,2,10,244,0.6322,692.1,0,189000,3790.6
190,1000,320.0,6.865,27,,915,0,3,14,324,0.6102,770.2,0,190000,3810.7
191,1000,270.0,-0.61,25,,796,0,2,19,592,0.5995,723.6,0,191000,3831.4
192,1000,470.0,16.123,33,,971,0,6,20,420,0.5667,849.7,0,192000,3850.7
193,1000,380.0,12.629,30,,977,0,4,13,401,0.6232,753.2,0,193000,3869.4
194,1000,310.0,6.844,26,,985,0,3,13,405,0.5825,863.5,0,194000,3889.4
195,1000,350.0,10.226,27,,599,0,4,10,389,0.6152,669.3,0,195000,3908.9
196,1000,400.0,4.602,32,,883,0,4,21,735,0.609,1073.5,0,196000,3929.1
197,1000,300.0,-2.608,25,,912,0,3,14,723,0.6348,813.7,0,197000,3948.8
198,1000,410.0,10.009,30,,816,0,5,17,429,0.5695,990.0,0,198000,3968.4
199,1000,370.0,6.019,29,,929,0,4,16,530,0.616,977.6,0,199000,3987.9
200,1000,310.0,0.278,26,,941,0,3,10,516,0.6228,734.1,0,200000,4007.7
201,1000,300.0,13.199,25,,715,0,3,20,573,0.62,816.0,0,201000,4072.1
202,1000,430.0,16.488,32,,994,0,5,16,310,0.5473,815.6,0,202000,4091.4
203,1000,330.0,-2.472,28,,991,0,3,14,691,0.6478,1045.0,0,203000,4111.4
204,1000,350.0,5.082,30,,871,0,3,25,754,0.611,968.9,0,204000,4130.7
205,1000,430.0,17.903,32,,992,0,5,22,454,0.5863,880.4,0,205000,4150.7
206,1000,240.0,7.595,25,,906,0,1,12,171,0.5082,654.9,0,206000,4170.8
207,1000,360.0,6.817,28,,991,0,4,16,421,0.6138,821.1,0,207000,4190.6
208,1000,370.0,6.786,29,,959,0,4,12,483,0.5357,785.1,0,208000,4210.3
209,1000,290.0,2.189,27,,914,0,2,10,267,0.5737,789.8,0,209000,4229.4
210,1000,420.0,4.34,31,,979,0,5,16,543,0.594,862.4,0,210000,4250.0
211,1000,340.0,10.354,29,,942,0,3,15,363,0.6288,864.3,0,211000,4270.0
212,1000,320.0,5.085,27,,939,0,3,14,484,0.5935,783.7,0,212000,4289.9
213,1000,310.0,-4.102,29,,910,0,2,12,584,0.6475,806.1,0,213000,4310.3
214,1000,280.0,6.537,26,,958,0,2,11,337,0.5885,693.0,0,214000,4330.5
215,1000,290.0,-13.176,24,,984,0,3,13,1048,0.6175,741.0,0,215000,4350.5
216,1000,280.0,4.12,26,,972,0,2,13,623,0.6195,884.3,0,216000,4369.3
217,1000,410.0,9.47,33,,992,0,4,21,401,0.5635,816.8,0,217000,4388.4
218,1000,330.0,5.298,28,,784,0,3,15,317,0.6175,740.8,0,218000,4408.1
219,1000,400.0,5.679,32,,972,0,4,13,593,0.6155,841.7,0,219000,4428.1
220,1000,280.0,9.868,23,,711,0,3,13,356,0.5885,958.9,0,220000,4447.6
221,1000,370.0,9.996,32,,998,0,3,15,373,0.6138,838.3,0,221000,4466.9
222,1000,350.0,7.76,30,,994,0,3,18,546,0.5865,957.5,0,222000,4487.3
223,1000,320.0,9.461,27,,795,0,3,18,271,0.6052,780.0,0,223000,4508.4
224,1000,350.0,13.926,27,,910,0,4,18,342,0.61,800.5,0,224000,4528.9
225,1000,310.0,0.159,26,,955,0,3,17,798,0.572,734.3,0,225000,4548.6
226,1000,450.0,15.955,34,,962,0,5,18,328,0.5827,798.5,0,226000,4568.1
227,1000,350.0,5.271,27,,996,0,4,13,353,0.61,745.5,0,227000,4588.0
228,1000,330.0,8.326,28,,952,0,3,15,328,0.621,756.3,0,228000,4608.0
229,1000,390.0,6.273,28,,696,0,5,14,442,0.6138,827.3,0,229000,4627.7
230,1000,340.0,9.081,29,,909,0,3,17,471,0.6115,722.4,0,230000,4647.9
231,1000,350.0,2.221,27,,880,0,4,11,468,0.6015,798.1,0,231000,4668.1
232,1000,340.0,12.941,29,,995,0,3,18,330,0.6472,715.5,0,232000,4687.7
233,1000,380.0,12.031,30,,1000,0,4,21,438,0.6075,760.2,0,233000,4707.9
234,1000,380.0,10.85,27,,789,0,5,20,499,0.579,822.1,0,234000,4727.6
235,1000,310.0,13.903,26,,957,0,3,18,258,0.5833,747.4,0,235000,4747.1
236,1000,340.0,5.721,29,,949,0,3,14,523,0.591,952.4,0,236000,4766.8
237,1000,310.0,0.72,29,,982,0,2,12,508,0.6508,915.2,0,237000,4787.9
238,1000,430.0,17.056,32,,952,0,5,17,395,0.5958,824.2,0,238000,4808.3
239,1000,340.0,7.718,26,,985,0,4,16,417,0.6205,863.4,0,239000,4827.8
240,1000,350.0,5.23,30,,975,0,3,15,631,0.6342,756.3,0,240000,4848.3
241,1000,340.0,12.488,29,,991,0,3,17,348,0.573,776.5,0,241000,4867.7
242,1000,310.0,13.265,26,,989,0,3,17,224,0.6278,782.8,0,242000,4887.0
243,1000,360.0,5.771,31,,967,0,3,14,459,0.636,758.4,0,243000,4906.8
244,1000,400.0,15.153,32,,1000,0,4,21,388,0.624,864.0,0,244000,4926.1
245,1000,410.0,11.801,30,,981,0,5,18,291,0.5723,804.9,0,245000,4945.9
246,1000,380.0,6.122,33,,942,0,3,17,542,0.5745,824.9,0,246000,4966.0
247,1000,440.0,6.818,33,,829,0,5,16,513,0.6285,891.8,0,247000,4984.9
248,1000,430.0,6.063,32,,997,0,5,19,591,0.6028,981.9,0,248000,5005.9
249,1000,320.0,5.497,27,,899,0,3,15,470,0.589,756.5,0,249000,5024.6
250,1000,370.0,5.726,32,,974,0,3,16,516,0.628,819.7,0,250000,5043.7
251,1000,420.0,14.154,31,,970,0,5,23,510,0.6258,884.7,0,251000,5115.8
252,1000,270.0,6.542,25,,984,0,2,13,292,0.584,816.3,0,252000,5135.8
253,1000,290.0,0.343,24,,881,0,3,15,594,0.5797,733.6,0,253000,5156.0
254,1000,390.0,6.274,31,,950,0,4,18,461,0.6025,951.7,0,254000,5176.0
255,1000,420.0,5.828,31,,889,0,5,12,573,0.5615,797.5,0,255000,5195.8
256,1000,350.0,3.276,30,,924,0,3,20,510,0.5847,1028.7,0,256000,5216.0
257,1000,390.0,5.251,31,,922,0,4,15,537,0.6028,823.8,0,257000,5236.1
258,1000,430.0,8.438,32,,994,0,5,18,400,0.5298,875.4,0,258000,5255.4
