episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
23,1000,95.7574,13,0.26,,0,2,4,0.8292,0,1251,0.345,776.1,997,0,0.058723,3.081188,-9.985952,23000,257.5
24,1000,129.1302,16,0.32,,0,2,5,1.2247,0,773,0.3827,1034.2,968,0,0.05846,3.47304,-10.022617,24000,270.6
25,1000,122.3035,16,0.32,,0,3,5,1.0,0,1242,0.596,743.5,976,0,0.057379,2.431749,-10.538301,25000,284.0
26,1000,150.3473,18,0.36,,0,4,5,0.5,0,326,0.3905,1040.8,593,0,0.059907,5.891843,-10.850882,26000,297.4
27,1000,88.4836,12,0.24,,1,0,5,1.8708,0,669,0.4903,847.4,831,0,0.05965,4.35919,-10.870198,27000,311.1
28,1000,115.8348,14,0.28,,0,1,5,1.6583,0,279,0.3907,990.8,739,0,0.057457,2.909651,-11.883142,28000,325.5
29,1000,161.0113,19,0.38,,0,4,5,0.433,0,830,0.5793,1073.5,888,0,0.057228,3.210427,-11.450375,29000,338.8
30,1000,129.2934,15,0.3,,0,2,5,1.299,0,408,0.3255,916.4,974,0,0.063269,3.716316,-11.443083,30000,352.6
31,1000,134.6293,16,0.32,,0,2,5,1.2247,0,1075,0.3698,692.7,473,0,0.062059,4.837148,-13.96794,31000,366.8
32,1000,142.9045,17,0.34,,0,2,5,1.299,0,471,0.52,1018.2,882,0,0.056955,3.041291,-11.774311,32000,380.7
33,1000,123.3867,15,0.3,,0,3,5,0.8292,0,367,0.239,760.5,988,0,0.054217,6.741705,-14.045612,33000,395.1
34,1000,125.762,15,0.3,,0,2,5,1.299,0,1053,0.388,945.2,392,0,0.05402,3.696292,-13.399824,34000,408.9
35,1000,68.6751,12,0.24,,0,1,5,1.5811,0,1795,0.6118,902.3,868,0,0.053482,4.508873,-13.363916,35000,422.4
36,1000,153.3931,18,0.36,,0,3,5,0.866,0,406,0.4365,962.2,726,0,0.053848,2.905879,-14.881172,36000,435.5
37,1000,125.5168,15,0.3,,0,2,5,1.299,0,442,0.5383,1016.3,870,0,0.052513,4.668297,-14.366829,37000,448.8
38,1000,142.2047,13,0.26,,0,1,5,1.7854,1,545,0.3797,841.9,488,0,0.049893,6.313028,-14.145973,38000,462.2
39,1000,191.4117,18,0.36,,0,2,9,2.6926,1,465,0.4047,812.2,855,0,0.048856,4.769436,-14.326447,39000,476.5
40,1000,138.5301,17,0.34,,0,3,5,0.8292,0,570,0.439,974.7,693,0,0.048955,2.66225,-14.540529,40000,490.0
