/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e2_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 133 | Step 1000 | R   107.64 | 배송 12/50 | 미활동 1 | 2홉+ 0.31 | 도달  988 | 차단  234
Ep 134 | Step 1000 | R    42.67 | 배송  6/50 | 미활동 1 | 2홉+ 0.37 | 도달  856 | 차단  299
Ep 135 | Step 1000 | R   110.50 | 배송 14/50 | 미활동 1 | 2홉+ 0.30 | 도달  951 | 차단  756
Ep 136 | Step 1000 | R    51.99 | 배송  8/50 | 미활동 0 | 2홉+ 0.21 | 도달  714 | 차단  483
Ep 137 | Step 1000 | R    75.23 | 배송 11/50 | 미활동 1 | 2홉+ 0.07 | 도달  522 | 차단  501
Ep 138 | Step 1000 | R   100.59 | 배송 12/50 | 미활동 1 | 2홉+ 0.10 | 도달  646 | 차단   75
Ep 139 | Step 1000 | R    61.75 | 배송 10/50 | 미활동 0 | 2홉+ 0.24 | 도달  879 | 차단  766
Ep 140 | Step 1000 | R    98.26 | 배송 12/50 | 미활동 1 | 2홉+ 0.21 | 도달  760 | 차단  276
Ep 141 | Step 1000 | R   117.63 | 배송 14/50 | 미활동 0 | 2홉+ 0.25 | 도달  765 | 차단  230
Ep 142 | Step 1000 | R   102.72 | 배송 12/50 | 미활동 1 | 2홉+ 0.39 | 도달  881 | 차단  231
Ep 143 | Step 1000 | R    71.94 | 배송 10/50 | 미활동 1 | 2홉+ 0.20 | 도달  668 | 차단  610
Ep 144 | Step 1000 | R    88.50 | 배송 12/50 | 미활동 1 | 2홉+ 0.24 | 도달  923 | 차단  287
Ep 145 | Step 1000 | R   100.43 | 배송 12/50 | 미활동 1 | 2홉+ 0.31 | 도달  818 | 차단  732
Ep 146 | Step 1000 | R    46.28 | 배송  7/50 | 미활동 2 | 2홉+ 0.27 | 도달  716 | 차단  267
Ep 147 | Step 1000 | R    66.13 | 배송  9/50 | 미활동 1 | 2홉+ 0.29 | 도달  751 | 차단  457
Ep 148 | Step 1000 | R    70.12 | 배송 10/50 | 미활동 1 | 2홉+ 0.39 | 도달  813 | 차단 1540
Ep 149 | Step 1000 | R    79.70 | 배송 10/50 | 미활동 1 | 2홉+ 0.34 | 도달  857 | 차단  255
Ep 150 | Step 1000 | R    84.38 | 배송 11/50 | 미활동 0 | 2홉+ 0.32 | 도달 1051 | 차단  187
  [홀드아웃] 배송 7.8±2.1 미활동 0.83 2홉+ 0.38 도달 665 | 최고 12.8@ep100 | 정체 1/15
Ep 151 | Step 1000 | R    88.31 | 배송 12/50 | 미활동 0 | 2홉+ 0.50 | 도달  850 | 차단 1297
Ep 152 | Step 1000 | R    77.16 | 배송 10/50 | 미활동 1 | 2홉+ 0.28 | 도달  778 | 차단  737
Ep 153 | Step 1000 | R    90.89 | 배송 13/50 | 미활동 0 | 2홉+ 0.28 | 도달  922 | 차단  440
Ep 154 | Step 1000 | R   103.12 | 배송 12/50 | 미활동 1 | 2홉+ 0.36 | 도달  942 | 차단  252
Ep 155 | Step 1000 | R    42.60 | 배송  7/50 | 미활동 1 | 2홉+ 0.23 | 도달  929 | 차단  302
Ep 156 | Step 1000 | R    72.62 | 배송 11/50 | 미활동 0 | 2홉+ 0.23 | 도달  763 | 차단  786
Ep 157 | Step 1000 | R   100.45 | 배송 12/50 | 미활동 0 | 2홉+ 0.31 | 도달  804 | 차단  630
Ep 158 | Step 1000 | R    95.40 | 배송 11/50 | 미활동 0 | 2홉+ 0.38 | 도달  888 | 차단  211
Ep 159 | Step 1000 | R    57.46 | 배송  9/50 | 미활동 1 | 2홉+ 0.26 | 도달  789 | 차단 1249
Ep 160 | Step 1000 | R     6.35 | 배송  5/50 | 미활동 1 | 2홉+ 0.39 | 도달  782 | 차단 1905
Ep 161 | Step 1000 | R   123.01 | 배송 15/50 | 미활동 1 | 2홉+ 0.32 | 도달  886 | 차단  170
Ep 162 | Step 1000 | R   108.26 | 배송 13/50 | 미활동 0 | 2홉+ 0.39 | 도달  951 | 차단  518
Ep 163 | Step 1000 | R    71.30 | 배송 10/50 | 미활동 1 | 2홉+ 0.38 | 도달  801 | 차단  905
