/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 55 | Step 1000 | R   119.93 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달 1034 | 차단 1401
Ep 56 | Step 1000 | R   163.77 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1026 | 차단 1455
Ep 57 | Step 1000 | R   118.23 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1773
Ep 58 | Step 1000 | R   127.43 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달 1014 | 차단 1624
Ep 59 | Step 1000 | R   123.83 | 배송 16/50 | 미활동 0 | 2홉+ 0.69 | 도달  860 | 차단 1781
Ep 60 | Step 1000 | R   106.80 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  999 | 차단 2315
Ep 61 | Step 1000 | R   111.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달 1056 | 차단 1962
Ep 62 | Step 1000 | R    93.40 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달  836 | 차단 2351
Ep 63 | Step 1000 | R   141.65 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  991 | 차단 1675
Ep 64 | Step 1000 | R   134.07 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  883 | 차단 2000
Ep 65 | Step 1000 | R   113.45 | 배송 15/50 | 미활동 0 | 2홉+ 0.67 | 도달 1042 | 차단 1308
Ep 66 | Step 1000 | R    99.19 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달 1006 | 차단  972
Ep 67 | Step 1000 | R   145.31 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달 1016 | 차단 1590
Ep 68 | Step 1000 | R   132.13 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  915 | 차단 1256
Ep 69 | Step 1000 | R   129.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  975 | 차단 1283
Ep 70 | Step 1000 | R   137.62 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  924 | 차단 1587
Ep 71 | Step 1000 | R   109.97 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1057 | 차단 1152
Ep 72 | Step 1000 | R   113.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달  845 | 차단 1852
Ep 73 | Step 1000 | R   148.05 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  905 | 차단 1511
Ep 74 | Step 1000 | R   137.35 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1503
Ep 75 | Step 1000 | R   126.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달 1005 | 차단 1351
Ep 76 | Step 1000 | R   106.03 | 배송 15/50 | 미활동 0 | 2홉+ 0.64 | 도달 1074 | 차단 1964
Ep 77 | Step 1000 | R   131.44 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1025 | 차단 1514
Ep 78 | Step 1000 | R    95.86 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달  948 | 차단 1128
Ep 79 | Step 1000 | R   123.55 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  908 | 차단 1586
Ep 80 | Step 1000 | R   134.09 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  937 | 차단 1434
Ep 81 | Step 1000 | R   160.39 | 배송 20/50 | 미활동 0 | 2홉+ 0.71 | 도달  985 | 차단 1410
Ep 82 | Step 1000 | R    37.42 | 배송  8/50 | 미활동 1 | 2홉+ 0.71 | 도달  742 | 차단 1524
Ep 83 | Step 1000 | R    84.51 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  820 | 차단 2005
Ep 84 | Step 1000 | R    33.41 | 배송  7/50 | 미활동 1 | 2홉+ 0.70 | 도달  785 | 차단 2057
Ep 85 | Step 1000 | R   110.89 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  868 | 차단 1822
Ep 86 | Step 1000 | R   113.28 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  937 | 차단  995
Ep 87 | Step 1000 | R   127.44 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  909 | 차단  696
Ep 88 | Step 1000 | R   152.39 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달 1004 | 차단 1228
Ep 89 | Step 1000 | R   117.98 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1428
Ep 90 | Step 1000 | R   131.26 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1188
Ep 91 | Step 1000 | R    95.22 | 배송 13/50 | 미활동 0 | 2홉+ 0.55 | 도달  853 | 차단 2214
Ep 92 | Step 1000 | R   131.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1025 | 차단  928
Ep 93 | Step 1000 | R    92.14 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  619 | 차단 1954
Ep 94 | Step 1000 | R    94.85 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  898 | 차단 1303
Ep 95 | Step 1000 | R   105.78 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달 1019 | 차단 1236
Ep 96 | Step 1000 | R   127.38 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  963 | 차단 1493
Ep 97 | Step 1000 | R   140.24 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  970 | 차단 2006
Ep 98 | Step 1000 | R   101.80 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  844 | 차단 1326
Ep 99 | Step 1000 | R    65.44 | 배송 10/50 | 미활동 1 | 2홉+ 0.72 | 도달  762 | 차단 2154
Ep 100 | Step 1000 | R   118.30 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달  884 | 차단 1870
  [홀드아웃] 배송 5.7±1.6 미활동 1.00 2홉+ 0.60 도달 726 | 최고 11.2@ep50 | 정체 1/15
Ep 101 | Step 1000 | R    59.56 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  788 | 차단 2629
