/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 125 | Step 1000 | R   124.25 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  987 | 차단 1992
Ep 126 | Step 1000 | R     5.07 | 배송  7/50 | 미활동 2 | 2홉+ 0.73 | 도달  966 | 차단 2834
Ep 127 | Step 1000 | R   108.93 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달  848 | 차단 2133
Ep 128 | Step 1000 | R   108.35 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  955 | 차단 1835
Ep 129 | Step 1000 | R    27.74 | 배송 10/50 | 미활동 0 | 2홉+ 0.71 | 도달  999 | 차단 2770
Ep 130 | Step 1000 | R   161.42 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  880 | 차단 1850
Ep 131 | Step 1000 | R    -5.37 | 배송  8/50 | 미활동 0 | 2홉+ 0.48 | 도달  600 | 차단 3312
Ep 132 | Step 1000 | R    77.17 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1014 | 차단 2512
Ep 133 | Step 1000 | R   108.69 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  927 | 차단 2491
Ep 134 | Step 1000 | R   112.89 | 배송 16/50 | 미활동 0 | 2홉+ 0.57 | 도달  811 | 차단 1797
Ep 135 | Step 1000 | R    64.50 | 배송 11/50 | 미활동 0 | 2홉+ 0.55 | 도달  675 | 차단 1769
Ep 136 | Step 1000 | R    60.42 | 배송 13/50 | 미활동 0 | 2홉+ 0.61 | 도달  721 | 차단 2818
Ep 137 | Step 1000 | R    86.67 | 배송 14/50 | 미활동 0 | 2홉+ 0.57 | 도달  847 | 차단 2245
Ep 138 | Step 1000 | R   122.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달  670 | 차단 1620
Ep 139 | Step 1000 | R   136.57 | 배송 18/50 | 미활동 0 | 2홉+ 0.60 | 도달  769 | 차단 1892
Ep 140 | Step 1000 | R   103.14 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  958 | 차단 2837
Ep 141 | Step 1000 | R    53.49 | 배송 13/50 | 미활동 0 | 2홉+ 0.66 | 도달  855 | 차단 3120
Ep 142 | Step 1000 | R   193.57 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  905 | 차단 1620
Ep 143 | Step 1000 | R   138.48 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  809 | 차단 1663
Ep 144 | Step 1000 | R   158.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  732 | 차단 2368
Ep 145 | Step 1000 | R   139.55 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  882 | 차단 1879
Ep 146 | Step 1000 | R   162.03 | 배송 17/50 | 미활동 0 | 2홉+ 0.46 | 도달  707 | 차단 1726
Ep 147 | Step 1000 | R   150.50 | 배송 19/50 | 미활동 0 | 2홉+ 0.72 | 도달  814 | 차단 1747
Ep 148 | Step 1000 | R   228.00 | 배송 23/50 | 미활동 0 | 2홉+ 0.65 | 도달  773 | 차단 1440
Ep 149 | Step 1000 | R   121.28 | 배송 18/50 | 미활동 0 | 2홉+ 0.62 | 도달  991 | 차단 2395
Ep 150 | Step 1000 | R   189.59 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  933 | 차단 1604
  [홀드아웃] 배송 4.8±2.2 미활동 1.50 2홉+ 0.57 도달 601 | 최고 6.8@ep50 | 정체 2/15
Ep 151 | Step 1000 | R   330.98 | 배송 26/50 | 미활동 0 | 2홉+ 0.65 | 도달  793 | 차단 1296
Ep 152 | Step 1000 | R   200.41 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  824 | 차단 1388
Ep 153 | Step 1000 | R   163.90 | 배송 20/50 | 미활동 0 | 2홉+ 0.71 | 도달  940 | 차단 1784
Ep 154 | Step 1000 | R   318.80 | 배송 24/50 | 미활동 0 | 2홉+ 0.61 | 도달  821 | 차단 1180
Ep 155 | Step 1000 | R   120.96 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  829 | 차단 2709
Ep 156 | Step 1000 | R   203.17 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  852 | 차단 1386
Ep 157 | Step 1000 | R   108.99 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  868 | 차단 1915
Ep 158 | Step 1000 | R   287.03 | 배송 22/50 | 미활동 0 | 2홉+ 0.62 | 도달  898 | 차단 1448
Ep 159 | Step 1000 | R    26.23 | 배송  9/50 | 미활동 0 | 2홉+ 0.51 | 도달  605 | 차단 2849
Ep 160 | Step 1000 | R   269.86 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  788 | 차단 1634
Ep 161 | Step 1000 | R    54.09 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  591 | 차단 2499
Ep 162 | Step 1000 | R    68.17 | 배송 14/50 | 미활동 1 | 2홉+ 0.72 | 도달  812 | 차단 3115
Ep 163 | Step 1000 | R    99.00 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  966 | 차단 2711
Ep 164 | Step 1000 | R     9.95 | 배송  7/50 | 미활동 1 | 2홉+ 0.49 | 도달  794 | 차단 2274
Ep 165 | Step 1000 | R   131.16 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  881 | 차단 2345
Ep 166 | Step 1000 | R   128.55 | 배송 20/50 | 미활동 0 | 2홉+ 0.70 | 도달 1018 | 차단 2166
Ep 167 | Step 1000 | R   140.22 | 배송 15/50 | 미활동 0 | 2홉+ 0.53 | 도달  851 | 차단 2078
Ep 168 | Step 1000 | R   180.75 | 배송 19/50 | 미활동 0 | 2홉+ 0.60 | 도달  955 | 차단 2029
Ep 169 | Step 1000 | R   102.76 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  959 | 차단 1938
Ep 170 | Step 1000 | R   241.57 | 배송 20/50 | 미활동 0 | 2홉+ 0.53 | 도달  866 | 차단 1327
Ep 171 | Step 1000 | R   270.54 | 배송 22/50 | 미활동 0 | 2홉+ 0.63 | 도달  779 | 차단 1078
Ep 172 | Step 1000 | R   169.12 | 배송 18/50 | 미활동 0 | 2홉+ 0.47 | 도달  725 | 차단 2058
Ep 173 | Step 1000 | R   157.29 | 배송 19/50 | 미활동 0 | 2홉+ 0.65 | 도달 1058 | 차단 1794
Ep 174 | Step 1000 | R   110.91 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  687 | 차단 2549
Ep 175 | Step 1000 | R   292.28 | 배송 22/50 | 미활동 0 | 2홉+ 0.54 | 도달  784 | 차단 1207
Ep 176 | Step 1000 | R    85.50 | 배송 14/50 | 미활동 0 | 2홉+ 0.56 | 도달  738 | 차단 2392
Ep 177 | Step 1000 | R   151.76 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  925 | 차단 2126
Ep 178 | Step 1000 | R   128.48 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  855 | 차단 2307
Ep 179 | Step 1000 | R   306.60 | 배송 23/50 | 미활동 0 | 2홉+ 0.59 | 도달  873 | 차단 1369
Ep 180 | Step 1000 | R   264.15 | 배송 23/50 | 미활동 0 | 2홉+ 0.62 | 도달  908 | 차단 1533
Ep 181 | Step 1000 | R   260.38 | 배송 22/50 | 미활동 0 | 2홉+ 0.53 | 도달  833 | 차단 1452
Ep 182 | Step 1000 | R   242.06 | 배송 20/50 | 미활동 0 | 2홉+ 0.57 | 도달  834 | 차단 1001
Ep 183 | Step 1000 | R   352.41 | 배송 29/50 | 미활동 0 | 2홉+ 0.64 | 도달  893 | 차단 1607
Ep 184 | Step 1000 | R   108.65 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  807 | 차단 2069
Ep 185 | Step 1000 | R   181.26 | 배송 19/50 | 미활동 0 | 2홉+ 0.59 | 도달  780 | 차단 1625
Ep 186 | Step 1000 | R   357.44 | 배송 24/50 | 미활동 0 | 2홉+ 0.46 | 도달  874 | 차단 1002
Ep 187 | Step 1000 | R   270.23 | 배송 20/50 | 미활동 0 | 2홉+ 0.60 | 도달  758 | 차단 1527
Ep 188 | Step 1000 | R   339.95 | 배송 23/50 | 미활동 0 | 2홉+ 0.54 | 도달  871 | 차단  910
Ep 189 | Step 1000 | R   316.01 | 배송 25/50 | 미활동 0 | 2홉+ 0.66 | 도달  818 | 차단 1510
Ep 190 | Step 1000 | R    93.34 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1005 | 차단 2282
Ep 191 | Step 1000 | R   310.54 | 배송 23/50 | 미활동 0 | 2홉+ 0.57 | 도달  696 | 차단  941
Ep 192 | Step 1000 | R   257.81 | 배송 21/50 | 미활동 0 | 2홉+ 0.63 | 도달  762 | 차단 1149
Ep 193 | Step 1000 | R   134.99 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  947 | 차단 1538
