episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
16,1000,63.8342,11,0.22,,1,0,5,2.2776,0,702,0.64,927.0,592,0,0.06854,1.194894,-11.479268,16000,155.2
17,1000,69.3031,10,0.2,,2,0,5,2.5,0,42,0.6062,1073.5,229,0,0.065393,2.906127,-11.999059,17000,168.1
18,1000,95.3357,13,0.26,,1,0,5,2.0463,0,717,0.523,1070.2,619,0,0.061532,1.848385,-12.657372,18000,182.7
19,1000,86.4717,13,0.26,,0,1,5,1.7854,0,1569,0.526,1022.6,787,0,0.06004,6.07719,-13.937316,19000,195.7
20,1000,121.839,13,0.26,,1,0,8,3.1125,1,1289,0.5005,922.1,979,0,0.06188,2.547914,-12.501701,20000,209.0
21,1000,115.3863,15,0.3,,0,1,5,1.6394,0,620,0.5513,963.3,852,0,0.059021,1.883061,-13.007925,21000,222.6
22,1000,78.1253,12,0.24,,0,2,5,1.2247,0,391,0.364,860.1,326,0,0.053958,2.299653,-14.538534,22000,236.3
23,1000,119.4805,15,0.3,,0,3,5,0.8292,0,395,0.4313,793.9,669,0,0.050979,2.42338,-12.954825,23000,249.1
24,1000,41.2334,9,0.18,,0,1,4,1.0897,0,1981,0.436,999.5,670,0,0.0507,3.090281,-13.608311,24000,262.3
25,1000,101.0899,14,0.28,,0,1,5,1.6583,0,1296,0.4213,918.8,932,0,0.048892,2.705599,-14.16671,25000,275.8
26,1000,91.5506,13,0.26,,0,1,5,1.479,0,1276,0.6132,1073.5,767,0,0.04688,4.625179,-15.277845,26000,289.3
27,1000,90.8624,13,0.26,,1,0,5,1.9203,0,569,0.6607,1073.5,692,0,0.046497,1.764341,-15.250266,27000,302.6
28,1000,100.9118,13,0.26,,1,0,5,2.0463,0,374,0.4685,1073.5,558,0,0.046135,3.501036,-15.704678,28000,315.8
29,1000,69.0174,11,0.22,,0,1,5,1.479,0,990,0.6315,1073.5,933,0,0.045676,2.336246,-15.24195,29000,328.8
30,1000,134.5436,17,0.34,,0,3,5,0.8292,0,1275,0.6643,1073.5,296,0,0.047894,2.618383,-18.390282,30000,342.3
31,1000,168.561,19,0.38,,0,4,5,0.433,0,663,0.6185,1073.5,853,0,0.047893,2.546653,-16.174282,31000,355.6
32,1000,142.9798,18,0.36,,0,4,5,0.5,0,1031,0.6082,910.8,982,0,0.045722,1.933892,-15.921324,32000,368.9
33,1000,143.843,18,0.36,,0,4,5,0.5,0,1214,0.5072,997.5,634,0,0.044463,2.429568,-16.892662,33000,382.6
34,1000,173.9041,20,0.4,,0,5,5,0.0,0,624,0.6795,1062.6,493,0,0.043118,3.484656,-17.015743,34000,395.9
35,1000,158.239,19,0.38,,0,4,5,0.433,0,253,0.5703,1041.7,674,0,0.041917,2.889275,-17.589062,35000,408.8
36,1000,116.8153,16,0.32,,0,3,5,1.0,0,330,0.6935,1009.3,874,0,0.042579,2.368231,-17.245901,36000,422.0
37,1000,94.6253,15,0.3,,0,2,5,1.299,0,1572,0.7005,1032.7,331,0,0.044441,3.24338,-16.894873,37000,436.1
38,1000,92.4935,14,0.28,,0,2,5,1.5,0,2004,0.6727,1004.9,933,0,0.045457,2.53095,-18.496876,38000,449.3
39,1000,128.0127,16,0.32,,0,2,5,1.2247,0,1042,0.5202,980.5,934,0,0.044852,2.498559,-19.772463,39000,463.1
