/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 64 | Step 1000 | R    71.48 | 배송  9/50 | 미활동 0 | 2홉+ 0.45 | 도달  938 | 차단  881
Ep 65 | Step 1000 | R   157.29 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단 1100
Ep 66 | Step 1000 | R    87.37 | 배송 11/50 | 미활동 0 | 2홉+ 0.50 | 도달 1045 | 차단  835
Ep 67 | Step 1000 | R   119.55 | 배송 15/50 | 미활동 0 | 2홉+ 0.53 | 도달 1002 | 차단  962
Ep 68 | Step 1000 | R   151.86 | 배송 18/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  823
Ep 69 | Step 1000 | R   142.32 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달  973 | 차단  543
Ep 70 | Step 1000 | R   136.33 | 배송 16/50 | 미활동 0 | 2홉+ 0.40 | 도달 1014 | 차단  260
Ep 71 | Step 1000 | R   156.15 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달 1074 | 차단  560
Ep 72 | Step 1000 | R    84.00 | 배송 12/50 | 미활동 0 | 2홉+ 0.44 | 도달  817 | 차단  523
Ep 73 | Step 1000 | R   148.71 | 배송 18/50 | 미활동 0 | 2홉+ 0.60 | 도달 1074 | 차단  778
Ep 74 | Step 1000 | R   119.25 | 배송 15/50 | 미활동 0 | 2홉+ 0.48 | 도달 1070 | 차단  717
Ep 75 | Step 1000 | R   122.22 | 배송 16/50 | 미활동 0 | 2홉+ 0.55 | 도달 1071 | 차단  800
Ep 76 | Step 1000 | R   143.19 | 배송 17/50 | 미활동 0 | 2홉+ 0.52 | 도달  893 | 차단  467
Ep 77 | Step 1000 | R   135.77 | 배송 16/50 | 미활동 0 | 2홉+ 0.46 | 도달  969 | 차단  594
Ep 78 | Step 1000 | R   150.15 | 배송 17/50 | 미활동 0 | 2홉+ 0.59 | 도달 1004 | 차단  274
Ep 79 | Step 1000 | R   141.50 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달 1013 | 차단  471
Ep 80 | Step 1000 | R    58.22 | 배송 11/50 | 미활동 0 | 2홉+ 0.57 | 도달  963 | 차단  654
Ep 81 | Step 1000 | R   152.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.44 | 도달  996 | 차단  704
Ep 82 | Step 1000 | R   129.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.51 | 도달 1024 | 차단  438
Ep 83 | Step 1000 | R   161.14 | 배송 19/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  654
Ep 84 | Step 1000 | R   154.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.40 | 도달 1058 | 차단  382
Ep 85 | Step 1000 | R   155.47 | 배송 17/50 | 미활동 0 | 2홉+ 0.34 | 도달 1074 | 차단  907
Ep 86 | Step 1000 | R   143.34 | 배송 16/50 | 미활동 0 | 2홉+ 0.44 | 도달  903 | 차단  649
Ep 87 | Step 1000 | R   163.00 | 배송 20/50 | 미활동 0 | 2홉+ 0.60 | 도달 1074 | 차단  897
Ep 88 | Step 1000 | R   107.76 | 배송 13/50 | 미활동 0 | 2홉+ 0.59 | 도달 1056 | 차단  244
Ep 89 | Step 1000 | R   134.55 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달 1042 | 차단  591
Ep 90 | Step 1000 | R    82.13 | 배송 12/50 | 미활동 1 | 2홉+ 0.34 | 도달 1022 | 차단  770
Ep 91 | Step 1000 | R   175.66 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  275
Ep 92 | Step 1000 | R   127.44 | 배송 16/50 | 미활동 0 | 2홉+ 0.43 | 도달 1017 | 차단  503
Ep 93 | Step 1000 | R   137.60 | 배송 18/50 | 미활동 0 | 2홉+ 0.52 | 도달 1074 | 차단  201
Ep 94 | Step 1000 | R   132.55 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달 1050 | 차단  835
Ep 95 | Step 1000 | R   101.55 | 배송 13/50 | 미활동 1 | 2홉+ 0.35 | 도달  863 | 차단  340
Ep 96 | Step 1000 | R   111.14 | 배송 14/50 | 미활동 0 | 2홉+ 0.59 | 도달  967 | 차단  226
Ep 97 | Step 1000 | R   138.58 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달 1074 | 차단  321
Ep 98 | Step 1000 | R   141.56 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달 1014 | 차단  121
Ep 99 | Step 1000 | R   177.27 | 배송 20/50 | 미활동 0 | 2홉+ 0.36 | 도달  976 | 차단  215
Ep 100 | Step 1000 | R   137.26 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달 1001 | 차단  474
