/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 67 |  5280스텝 | 배송 42/50 | 재적재  7 | 정지 0.31 교착최장  41 | no_progress
Ep 68 |  4110스텝 | 배송 42/50 | 재적재  6 | 정지 0.28 교착최장  16 | no_progress
Ep 69 |  2624스텝 | 배송 36/50 | 재적재  6 | 정지 0.17 교착최장  15 | no_progress
Ep 70 |  3175스텝 | 배송 36/50 | 재적재  5 | 정지 0.20 교착최장  17 | no_progress
Ep 71 |  4042스텝 | 배송 43/50 | 재적재  7 | 정지 0.22 교착최장  17 | no_progress
Ep 72 |  4076스텝 | 배송 41/50 | 재적재  7 | 정지 0.22 교착최장  19 | no_progress
Ep 73 |  3206스텝 | 배송 38/50 | 재적재  6 | 정지 0.18 교착최장  15 | no_progress
Ep 74 |  3680스텝 | 배송 42/50 | 재적재  6 | 정지 0.18 교착최장  21 | no_progress
Ep 75 |  3758스텝 | 배송 43/50 | 재적재  8 | 정지 0.22 교착최장  32 | no_progress
Ep 76 |  3162스텝 | 배송 38/50 | 재적재  6 | 정지 0.18 교착최장  31 | no_progress
Ep 77 |  2365스텝 | 배송 33/50 | 재적재  4 | 정지 0.18 교착최장  20 | no_progress
Ep 78 |  3629스텝 | 배송 39/50 | 재적재  7 | 정지 0.22 교착최장  23 | no_progress
Ep 79 |  3783스텝 | 배송 42/50 | 재적재  7 | 정지 0.27 교착최장  35 | no_progress
Ep 80 |  2905스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장  12 | no_progress
Ep 81 |  2693스텝 | 배송 34/50 | 재적재  5 | 정지 0.18 교착최장  10 | no_progress
Ep 82 |  3613스텝 | 배송 44/50 | 재적재  7 | 정지 0.21 교착최장  18 | no_progress
Ep 83 |  3123스텝 | 배송 40/50 | 재적재  6 | 정지 0.17 교착최장  20 | no_progress
Ep 84 |  4358스텝 | 배송 43/50 | 재적재  7 | 정지 0.17 교착최장  14 | no_progress
Ep 85 |  4430스텝 | 배송 40/50 | 재적재  6 | 정지 0.22 교착최장  20 | no_progress
Ep 86 |  5395스텝 | 배송 44/50 | 재적재  7 | 정지 0.28 교착최장  37 | no_progress
Ep 87 |  3014스텝 | 배송 42/50 | 재적재  6 | 정지 0.19 교착최장  12 | no_progress
Ep 88 |  3135스텝 | 배송 40/50 | 재적재  6 | 정지 0.19 교착최장  16 | no_progress
Ep 89 |  4057스텝 | 배송 43/50 | 재적재  8 | 정지 0.24 교착최장  18 | no_progress
Ep 90 |  3542스텝 | 배송 41/50 | 재적재  7 | 정지 0.24 교착최장  17 | no_progress
Ep 91 |  4230스텝 | 배송 42/50 | 재적재  7 | 정지 0.29 교착최장  24 | no_progress
Ep 92 |  3830스텝 | 배송 39/50 | 재적재  7 | 정지 0.18 교착최장  30 | no_progress
Ep 93 |  3985스텝 | 배송 41/50 | 재적재  6 | 정지 0.25 교착최장  21 | no_progress
Ep 94 |  3526스텝 | 배송 38/50 | 재적재  6 | 정지 0.23 교착최장  52 | no_progress
Ep 95 |  3646스텝 | 배송 40/50 | 재적재  6 | 정지 0.15 교착최장  14 | no_progress
Ep 96 |  6014스텝 | 배송 43/50 | 재적재  8 | 정지 0.31 교착최장  58 | no_progress
Ep 97 |  5599스텝 | 배송 44/50 | 재적재  7 | 정지 0.23 교착최장  33 | no_progress
Ep 98 |  2692스텝 | 배송 40/50 | 재적재  7 | 정지 0.23 교착최장  30 | no_progress
Ep 99 |  3774스텝 | 배송 41/50 | 재적재  7 | 정지 0.26 교착최장  21 | no_progress
Ep 100 |  3477스텝 | 배송 43/50 | 재적재  8 | 정지 0.25 교착최장  40 | no_progress
  [홀드아웃] 배송 22.3±4.5 재적재 2.4 2홉+ 0.57 | 최고 25.2@ep50 정체 1/15
Ep 101 |  6128스텝 | 배송 47/50 | 재적재  8 | 정지 0.27 교착최장  26 | no_progress
Ep 102 |  3863스텝 | 배송 43/50 | 재적재  7 | 정지 0.20 교착최장 100 | deadlock
Ep 103 |  4164스텝 | 배송 41/50 | 재적재  7 | 정지 0.25 교착최장  19 | no_progress
Ep 104 |  2848스텝 | 배송 33/50 | 재적재  4 | 정지 0.19 교착최장  71 | no_progress
Ep 105 |  3205스텝 | 배송 41/50 | 재적재  7 | 정지 0.24 교착최장  18 | no_progress
Ep 106 |  3429스텝 | 배송 42/50 | 재적재  6 | 정지 0.18 교착최장  20 | no_progress
Ep 107 |  5188스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  20 | no_progress
Ep 108 |  4289스텝 | 배송 39/50 | 재적재  6 | 정지 0.22 교착최장  30 | no_progress
Ep 109 |  4220스텝 | 배송 41/50 | 재적재  7 | 정지 0.23 교착최장  19 | no_progress
