episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
115,1000,153.1965,20,0.4,,0,5,5,0.0,0,892,0,0.013977,1.083958,-16.358969,115000,667.0
116,1000,114.3522,16,0.32,,0,1,5,1.7321,0,816,0,0.013877,0.770673,-17.82827,116000,673.0
117,1000,141.9044,20,0.4,,0,5,5,0.0,0,1129,0,0.013898,0.312455,-16.915762,117000,678.8
118,1000,130.1644,18,0.36,,0,3,5,0.866,0,998,0,0.013907,1.016277,-15.433603,118000,684.9
119,1000,160.8915,20,0.4,,0,5,5,0.0,0,998,0,0.014,0.534168,-16.606131,119000,690.9
120,1000,113.7094,15,0.3,,0,1,5,1.6394,0,384,0,0.014054,0.659381,-17.400291,120000,696.9
121,1000,122.4941,17,0.34,,0,2,5,1.299,0,533,0,0.014247,0.963383,-17.65694,121000,702.8
122,1000,169.0461,20,0.4,,0,5,5,0.0,0,129,0,0.014146,0.492396,-16.601604,122000,708.7
123,1000,111.5537,15,0.3,,1,0,5,2.1651,0,334,0,0.014053,0.690181,-17.008659,123000,714.8
124,1000,61.7816,12,0.24,,0,1,5,1.4142,0,1327,0,0.014045,0.498355,-17.600098,124000,721.0
125,1000,78.46,13,0.26,,0,1,5,1.7854,0,782,0,0.014009,0.967521,-17.553169,125000,726.9
126,1000,157.7194,20,0.4,,0,5,5,0.0,0,351,0,0.01346,0.842488,-17.090364,126000,732.6
127,1000,116.2804,16,0.32,,0,2,5,1.2247,0,834,0,0.013423,0.484807,-17.138741,127000,738.5
128,1000,102.9135,15,0.3,,1,0,5,2.1651,0,630,0,0.013472,0.834625,-16.715561,128000,744.4
129,1000,100.1088,15,0.3,,0,2,5,1.299,0,626,0,0.013394,0.919642,-17.444073,129000,750.5
130,1000,166.7201,20,0.4,,0,5,5,0.0,0,271,0,0.013053,1.242375,-17.186499,130000,756.6
131,1000,111.0264,18,0.36,,0,3,5,0.866,0,1251,0,0.013084,0.47968,-16.723835,131000,762.8
132,1000,156.4236,18,0.36,,0,3,5,0.866,0,329,0,0.01327,0.704436,-17.17828,132000,768.9
133,1000,108.8692,16,0.32,,0,1,5,1.7321,0,1371,0,0.013518,1.306978,-17.012558,133000,774.8
134,1000,114.149,17,0.34,,0,2,5,1.299,0,1314,0,0.01354,0.252153,-18.005663,134000,780.7
135,1000,158.5111,20,0.4,,0,5,5,0.0,0,141,0,0.013309,0.431285,-17.973513,135000,786.7
136,1000,152.4331,19,0.38,,0,4,5,0.433,0,693,0,0.01302,0.450382,-16.973789,136000,792.6
137,1000,163.1541,19,0.38,,0,4,5,0.433,0,427,0,0.013137,0.694218,-17.281113,137000,798.4
138,1000,127.7386,17,0.34,,0,3,5,0.8292,0,866,0,0.013405,0.498169,-16.950233,138000,804.3
139,1000,138.5784,17,0.34,,0,2,5,1.299,0,299,0,0.01363,0.308911,-16.728172,139000,810.3
140,1000,154.7565,19,0.38,,0,4,5,0.433,0,302,0,0.013584,0.394937,-16.086597,140000,816.3
141,1000,81.3152,13,0.26,,0,1,5,1.7854,0,800,0,0.013773,0.713889,-15.350924,141000,822.3
142,1000,132.6529,17,0.34,,0,2,5,1.299,0,903,0,0.01387,0.39075,-15.559872,142000,828.2
143,1000,160.3112,19,0.38,,0,4,5,0.433,0,204,0,0.01368,0.478834,-16.16655,143000,834.0
144,1000,130.5786,16,0.32,,0,1,5,1.7321,0,243,0,0.013697,0.930929,-16.829058,144000,839.8
145,1000,176.5311,20,0.4,,0,5,5,0.0,0,522,0,0.013869,0.349768,-14.268425,145000,845.6
146,1000,106.776,16,0.32,,0,2,5,1.2247,0,1328,0,0.01396,0.360076,-15.107798,146000,851.6
147,1000,152.0116,20,0.4,,0,5,5,0.0,0,707,0,0.014103,0.846211,-15.707188,147000,857.8
148,1000,162.5086,19,0.38,,0,4,5,0.433,0,683,0,0.014073,0.840758,-17.718658,148000,863.8
149,1000,120.5399,16,0.32,,0,1,5,1.7321,0,493,0,0.013939,0.388866,-16.196043,149000,869.8
150,1000,101.2197,16,0.32,,0,2,5,1.2247,0,1762,0,0.013757,1.294987,-16.745182,150000,875.6
151,1000,97.8338,13,0.26,,0,1,5,1.7854,0,262,0,0.013647,0.447919,-15.809346,151000,881.5
152,1000,171.7083,19,0.38,,0,4,5,0.433,0,285,0,0.013496,0.331557,-15.185257,152000,887.4
153,1000,172.3976,18,0.36,,0,3,5,0.866,0,137,0,0.013835,0.434857,-16.033056,153000,893.3
154,1000,106.7154,14,0.28,,0,2,5,1.5,0,201,0,0.013599,0.672603,-15.862761,154000,899.2
155,1000,143.1668,17,0.34,,0,2,5,1.299,0,351,0,0.013745,0.357728,-16.377527,155000,905.3
156,1000,115.3746,15,0.3,,1,0,5,2.1651,0,584,0,0.014063,0.412612,-15.130949,156000,911.2
157,1000,121.7318,17,0.34,,0,2,5,1.299,0,1399,0,0.014371,0.630246,-15.933018,157000,917.3
158,1000,177.0877,20,0.4,,0,5,5,0.0,0,277,0,0.014246,0.291938,-14.966566,158000,923.2
159,1000,165.8726,19,0.38,,0,4,5,0.433,0,509,0,0.014309,0.650292,-15.178282,159000,929.1
160,1000,152.5383,19,0.38,,0,4,5,0.433,0,648,0,0.014473,0.482588,-15.850786,160000,934.9
161,1000,128.6281,18,0.36,,0,3,5,0.866,0,1295,0,0.014467,0.548901,-14.660076,161000,940.8
162,1000,135.8877,17,0.34,,0,3,5,0.8292,0,492,0,0.014826,0.479837,-15.253242,162000,946.6
163,1000,174.5659,19,0.38,,0,4,5,0.433,0,122,0,0.014566,0.589479,-16.273861,163000,952.3
164,1000,113.4725,15,0.3,,0,2,5,1.299,0,650,0,0.014939,0.374069,-13.75781,164000,958.1
165,1000,105.8245,14,0.28,,1,0,5,2.0616,0,603,0,0.014819,0.600543,-14.679257,165000,963.9
166,1000,134.0381,16,0.32,,0,2,5,1.2247,0,167,0,0.014684,0.434526,-15.207314,166000,969.6
167,1000,117.6051,16,0.32,,0,1,5,1.7321,0,156,0,0.014752,0.413885,-14.204368,167000,975.3
168,1000,142.7711,17,0.34,,0,2,5,1.299,0,82,0,0.014419,0.447529,-14.247194,168000,981.1
169,1000,167.397,19,0.38,,0,4,5,0.433,0,84,0,0.014392,0.612686,-13.938065,169000,986.9
170,1000,163.7984,19,0.38,,0,4,5,0.433,0,336,0,0.014157,0.351196,-15.451537,170000,992.6
171,1000,154.8867,18,0.36,,0,3,5,0.866,0,327,0,0.014112,0.295182,-12.99544,171000,998.3
172,1000,141.601,17,0.34,,0,2,5,1.299,0,119,0,0.014054,0.789774,-15.489938,172000,1004.3
173,1000,154.3524,18,0.36,,0,3,5,0.866,0,276,0,0.014115,0.499463,-13.583315,173000,1010.3
174,1000,123.1426,16,0.32,,0,2,5,1.2247,0,804,0,0.014204,0.447391,-13.499345,174000,1016.3
175,1000,139.0964,18,0.36,,0,3,5,0.866,0,551,0,0.014079,0.553527,-14.280581,175000,1022.2
176,1000,113.7466,15,0.3,,0,2,5,1.299,0,447,0,0.014296,0.911675,-16.326797,176000,1028.1
177,1000,193.8655,17,0.34,,0,2,5,1.299,1,143,0,0.014441,0.222718,-14.036606,177000,1034.2
178,1000,135.3944,17,0.34,,0,3,5,0.8292,0,290,0,0.014555,0.526493,-14.582598,178000,1040.3
179,1000,134.7791,19,0.38,,0,4,5,0.433,0,297,0,0.014505,0.432902,-15.046198,179000,1046.5
180,1000,167.1181,19,0.38,,0,4,5,0.433,0,132,0,0.014486,0.390624,-13.524141,180000,1052.5
181,1000,162.2709,18,0.36,,0,3,5,0.866,0,377,0,0.01442,0.467523,-14.569915,181000,1058.5
182,1000,128.9944,18,0.36,,0,3,5,0.866,0,1530,0,0.014557,0.220047,-14.677048,182000,1064.4
183,1000,156.7083,19,0.38,,0,4,5,0.433,0,414,0,0.014415,0.678339,-12.777812,183000,1070.1
184,1000,174.3115,20,0.4,,0,5,5,0.0,0,8,0,0.014431,0.507023,-14.432807,184000,1076.1
185,1000,149.457,18,0.36,,0,3,5,0.866,0,389,0,0.01429,0.584312,-12.703455,185000,1082.1
186,1000,136.1581,17,0.34,,0,3,5,0.8292,0,510,0,0.014108,0.479877,-12.747546,186000,1088.2
187,1000,133.2973,18,0.36,,0,3,5,0.866,0,257,0,0.013957,0.408278,-13.318147,187000,1094.2
188,1000,127.1501,16,0.32,,0,1,5,1.7321,0,411,0,0.013973,0.217882,-12.915605,188000,1100.2
189,1000,150.8244,19,0.38,,0,4,5,0.433,0,370,0,0.014081,0.4883,-13.023889,189000,1106.4
190,1000,148.8846,18,0.36,,0,3,5,0.866,0,508,0,0.014184,0.475987,-12.354376,190000,1112.5
191,1000,144.8193,19,0.38,,0,4,5,0.433,0,851,0,0.013988,0.688252,-12.928854,191000,1118.6
192,1000,174.8569,20,0.4,,0,5,5,0.0,0,461,0,0.013946,0.235607,-12.580785,192000,1124.5
193,1000,196.2858,18,0.36,,0,3,5,0.866,1,80,0,0.013877,0.369667,-12.259485,193000,1130.6
194,1000,170.25,20,0.4,,0,5,5,0.0,0,615,0,0.013878,0.500877,-12.199808,194000,1136.9
195,1000,125.3638,17,0.34,,0,2,5,1.299,0,1171,0,0.013673,0.564082,-12.658401,195000,1143.2
196,1000,114.8591,16,0.32,,0,3,5,1.0,0,1262,0,0.013878,0.713914,-12.467312,196000,1149.4
197,1000,168.1482,19,0.38,,0,4,5,0.433,0,268,0,0.014065,0.337337,-12.225645,197000,1155.6
198,1000,167.6771,20,0.4,,0,5,5,0.0,0,625,0,0.013958,0.429343,-11.254709,198000,1161.7
199,1000,151.3527,17,0.34,,0,2,5,1.299,0,382,0,0.013836,0.503818,-11.779732,199000,1167.7
200,1000,54.5674,11,0.22,,0,1,5,1.7854,0,774,0,0.01386,0.536163,-11.504757,200000,1173.9
