/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 64 | Step 1000 | R   119.97 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  884 | 단절 0
Ep 65 | Step 1000 | R    69.64 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 이동차단  351 | 단절 0
Ep 66 | Step 1000 | R   113.40 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1130 | 단절 0
Ep 67 | Step 1000 | R   142.02 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  256 | 단절 0
Ep 68 | Step 1000 | R    56.74 | 배송 10/50 | 미활동드론 0 | 재적재 0 | 이동차단  885 | 단절 0
Ep 69 | Step 1000 | R   149.13 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  493 | 단절 0
Ep 70 | Step 1000 | R   137.53 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  344 | 단절 0
Ep 71 | Step 1000 | R   137.08 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  510 | 단절 0
Ep 72 | Step 1000 | R   166.13 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  282 | 단절 0
Ep 73 | Step 1000 | R   115.79 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1343 | 단절 0
Ep 74 | Step 1000 | R   148.23 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  594 | 단절 0
Ep 75 | Step 1000 | R    87.18 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 이동차단  866 | 단절 0
Ep 76 | Step 1000 | R   139.30 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  518 | 단절 0
Ep 77 | Step 1000 | R   128.07 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  167 | 단절 0
Ep 78 | Step 1000 | R   111.46 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  449 | 단절 0
Ep 79 | Step 1000 | R   134.98 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단   44 | 단절 0
