/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=800 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 82 |  3699스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장   7 | no_progress
Ep 83 |  4590스텝 | 배송 45/50 | 재적재  7 | 정지 0.14 교착최장  24 | no_progress
Ep 84 |  4766스텝 | 배송 43/50 | 재적재  8 | 정지 0.21 교착최장  20 | no_progress
Ep 85 |  3186스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  10 | no_progress
Ep 86 |  3313스텝 | 배송 39/50 | 재적재  7 | 정지 0.15 교착최장  22 | no_progress
Ep 87 |  3860스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  98 | no_progress
Ep 88 |  2502스텝 | 배송 33/50 | 재적재  5 | 정지 0.12 교착최장   9 | no_progress
Ep 89 |  2929스텝 | 배송 33/50 | 재적재  5 | 정지 0.21 교착최장  27 | no_progress
Ep 90 |  4856스텝 | 배송 46/50 | 재적재  7 | 정지 0.18 교착최장  11 | no_progress
Ep 91 |  5431스텝 | 배송 46/50 | 재적재  8 | 정지 0.13 교착최장  15 | no_progress
Ep 92 |  3472스텝 | 배송 36/50 | 재적재  5 | 정지 0.14 교착최장  16 | no_progress
Ep 93 |  6228스텝 | 배송 50/50 | 재적재  8 | 정지 0.24 교착최장  32 | complete
Ep 94 |  3900스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  18 | no_progress
Ep 95 |  4192스텝 | 배송 40/50 | 재적재  5 | 정지 0.20 교착최장  18 | no_progress
Ep 96 |  2955스텝 | 배송 34/50 | 재적재  5 | 정지 0.17 교착최장  27 | no_progress
Ep 97 |  2978스텝 | 배송 35/50 | 재적재  6 | 정지 0.16 교착최장   8 | no_progress
Ep 98 |  4327스텝 | 배송 43/50 | 재적재  7 | 정지 0.22 교착최장  16 | no_progress
Ep 99 |  4057스텝 | 배송 40/50 | 재적재  6 | 정지 0.19 교착최장  37 | no_progress
Ep 100 |  5509스텝 | 배송 46/50 | 재적재  8 | 정지 0.15 교착최장  13 | no_progress
  [홀드아웃] 배송 21.4±12.0 재적재 2.2 2홉+ 0.38 | 최고 21.4@ep100 정체 0/15  ← 갱신
Ep 101 |  5954스텝 | 배송 45/50 | 재적재  7 | 정지 0.17 교착최장  33 | no_progress
Ep 102 |  2764스텝 | 배송 39/50 | 재적재  7 | 정지 0.10 교착최장   5 | no_progress
Ep 103 |  2876스텝 | 배송 36/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 104 |  4662스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장  29 | no_progress
Ep 105 |  2917스텝 | 배송 38/50 | 재적재  5 | 정지 0.29 교착최장  59 | no_progress
Ep 106 |  4508스텝 | 배송 41/50 | 재적재  7 | 정지 0.22 교착최장  45 | no_progress
Ep 107 |  5729스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  14 | no_progress
Ep 108 |  3548스텝 | 배송 41/50 | 재적재  6 | 정지 0.19 교착최장  17 | no_progress
Ep 109 |  5325스텝 | 배송 45/50 | 재적재  8 | 정지 0.13 교착최장  13 | no_progress
Ep 110 |  4309스텝 | 배송 34/50 | 재적재  5 | 정지 0.16 교착최장  18 | no_progress
Ep 111 |  5048스텝 | 배송 45/50 | 재적재  9 | 정지 0.11 교착최장  12 | no_progress
Ep 112 |  2723스텝 | 배송 38/50 | 재적재  6 | 정지 0.12 교착최장   9 | no_progress
Ep 113 |  2354스텝 | 배송 31/50 | 재적재  4 | 정지 0.16 교착최장  12 | no_progress
Ep 114 |  3792스텝 | 배송 40/50 | 재적재  6 | 정지 0.14 교착최장  27 | no_progress
Ep 115 |  5599스텝 | 배송 40/50 | 재적재  8 | 정지 0.16 교착최장   9 | no_progress
Ep 116 |  3178스텝 | 배송 35/50 | 재적재  5 | 정지 0.16 교착최장  15 | no_progress
Ep 117 |  3845스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  14 | no_progress
Ep 118 |  4635스텝 | 배송 43/50 | 재적재  8 | 정지 0.16 교착최장  66 | no_progress
Ep 119 |  5490스텝 | 배송 42/50 | 재적재  8 | 정지 0.12 교착최장   8 | no_progress
Ep 120 |  6084스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  15 | no_progress
Ep 121 |  5093스텝 | 배송 43/50 | 재적재  8 | 정지 0.16 교착최장  33 | no_progress
Ep 122 |  3059스텝 | 배송 37/50 | 재적재  7 | 정지 0.14 교착최장  16 | no_progress
Ep 123 |  4419스텝 | 배송 43/50 | 재적재  8 | 정지 0.24 교착최장  24 | no_progress
Ep 124 |  3086스텝 | 배송 31/50 | 재적재  4 | 정지 0.12 교착최장  11 | no_progress
Ep 125 |  5376스텝 | 배송 45/50 | 재적재  8 | 정지 0.16 교착최장  29 | no_progress
Ep 126 |  5154스텝 | 배송 44/50 | 재적재  8 | 정지 0.16 교착최장  18 | no_progress
Ep 127 |  4511스텝 | 배송 38/50 | 재적재  6 | 정지 0.21 교착최장  14 | no_progress
