/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.999 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 136 | 드론4 목적지38 | 1000스텝 | 배송 34/38 | 재적재  5 | 중계율 0.05 | alpha 5.979 | step_limit
Ep 137 | 드론8 목적지37 |  421스텝 | 배송 37/37 | 재적재  4 | 중계율 0.04 | alpha 5.984 | complete
Ep 138 | 드론6 목적지68 |  944스텝 | 배송 68/68 | 재적재 12 | 중계율 0.04 | alpha 6.000 | complete
Ep 139 | 드론3 목적지63 | 1000스텝 | 배송 53/63 | 재적재 10 | 중계율 0.05 | alpha 5.988 | step_limit
Ep 140 | 드론7 목적지64 |  861스텝 | 배송 64/64 | 재적재 11 | 중계율 0.05 | alpha 5.987 | complete
Ep 141 | 드론5 목적지48 | 1000스텝 | 배송 47/48 | 재적재  8 | 중계율 0.05 | alpha 6.018 | step_limit
Ep 142 | 드론7 목적지69 |  687스텝 | 배송 69/69 | 재적재 11 | 중계율 0.04 | alpha 6.063 | complete
Ep 143 | 드론3 목적지58 | 1000스텝 | 배송 49/58 | 재적재  9 | 중계율 0.07 | alpha 6.069 | step_limit
Ep 144 | 드론8 목적지55 |  797스텝 | 배송 55/55 | 재적재  8 | 중계율 0.05 | alpha 6.044 | complete
Ep 145 | 드론3 목적지39 | 1000스텝 | 배송 33/39 | 재적재  6 | 중계율 0.09 | alpha 6.082 | step_limit
Ep 146 | 드론4 목적지60 |  878스텝 | 배송 60/60 | 재적재 10 | 중계율 0.04 | alpha 6.075 | complete
Ep 147 | 드론4 목적지44 | 1000스텝 | 배송 39/44 | 재적재  6 | 중계율 0.04 | alpha 6.039 | step_limit
Ep 148 | 드론8 목적지50 |  793스텝 | 배송 50/50 | 재적재  7 | 중계율 0.05 | alpha 6.045 | complete
Ep 149 | 드론3 목적지36 | 1000스텝 | 배송 31/36 | 재적재  5 | 중계율 0.06 | alpha 6.043 | step_limit
Ep 150 | 드론6 목적지78 |  857스텝 | 배송 78/78 | 재적재 13 | 중계율 0.04 | alpha 6.042 | complete
  [홀드아웃] 배송 42.4±4.7 완주 0.00 스텝 1000 점수 42.4 재적재 6.9 2홉+ 0.61 | 최고 43.2@ep100 정체 1/15
Ep 151 | 드론4 목적지64 | 1000스텝 | 배송 59/64 | 재적재  9 | 중계율 0.02 | alpha 6.003 | step_limit
Ep 152 | 드론8 목적지21 |  269스텝 | 배송 21/21 | 재적재  0 | 중계율 0.12 | alpha 6.016 | complete
Ep 153 | 드론6 목적지76 | 1000스텝 | 배송 74/76 | 재적재 13 | 중계율 0.05 | alpha 6.050 | step_limit
Ep 154 | 드론3 목적지40 | 1000스텝 | 배송 32/40 | 재적재  5 | 중계율 0.06 | alpha 6.063 | step_limit
Ep 155 | 드론5 목적지64 | 1000스텝 | 배송 60/64 | 재적재 10 | 중계율 0.05 | alpha 6.071 | step_limit
Ep 156 | 드론6 목적지50 |  829스텝 | 배송 50/50 | 재적재  8 | 중계율 0.08 | alpha 6.119 | complete
Ep 157 | 드론4 목적지56 | 1000스텝 | 배송 55/56 | 재적재 10 | 중계율 0.04 | alpha 6.140 | step_limit
Ep 158 | 드론8 목적지67 |  586스텝 | 배송 67/67 | 재적재 12 | 중계율 0.04 | alpha 6.114 | complete
Ep 159 | 드론6 목적지78 |  917스텝 | 배송 78/78 | 재적재 13 | 중계율 0.05 | alpha 6.126 | complete
Ep 160 | 드론7 목적지23 |  707스텝 | 배송 23/23 | 재적재  1 | 중계율 0.07 | alpha 6.081 | complete
Ep 161 | 드론8 목적지73 |  785스텝 | 배송 73/73 | 재적재 11 | 중계율 0.05 | alpha 6.004 | complete
Ep 162 | 드론5 목적지49 |  995스텝 | 배송 49/49 | 재적재  8 | 중계율 0.07 | alpha 6.051 | complete
Ep 163 | 드론7 목적지36 |  624스텝 | 배송 36/36 | 재적재  5 | 중계율 0.05 | alpha 6.040 | complete
Ep 164 | 드론7 목적지54 |  988스텝 | 배송 54/54 | 재적재  8 | 중계율 0.05 | alpha 6.019 | complete
Ep 165 | 드론8 목적지47 |  651스텝 | 배송 47/47 | 재적재  6 | 중계율 0.03 | alpha 6.018 | complete
Ep 166 | 드론6 목적지63 |  832스텝 | 배송 63/63 | 재적재 10 | 중계율 0.07 | alpha 6.073 | complete
Ep 167 | 드론6 목적지38 |  583스텝 | 배송 38/38 | 재적재  5 | 중계율 0.06 | alpha 6.064 | complete
Ep 168 | 드론6 목적지44 |  837스텝 | 배송 44/44 | 재적재  6 | 중계율 0.08 | alpha 6.052 | complete
Ep 169 | 드론7 목적지45 |  535스텝 | 배송 45/45 | 재적재  5 | 중계율 0.06 | alpha 6.007 | complete
Ep 170 | 드론5 목적지78 | 1000스텝 | 배송 72/78 | 재적재 12 | 중계율 0.05 | alpha 5.987 | step_limit
Ep 171 | 드론7 목적지34 | 1000스텝 | 배송 32/34 | 재적재  4 | 중계율 0.10 | alpha 5.951 | step_limit
Ep 172 | 드론4 목적지48 | 1000스텝 | 배송 46/48 | 재적재  7 | 중계율 0.05 | alpha 5.905 | step_limit
Ep 173 | 드론4 목적지64 | 1000스텝 | 배송 46/64 | 재적재  7 | 중계율 0.07 | alpha 5.929 | step_limit
Ep 174 | 드론7 목적지38 |  636스텝 | 배송 38/38 | 재적재  4 | 중계율 0.03 | alpha 5.972 | complete
Ep 175 | 드론4 목적지56 | 1000스텝 | 배송 48/56 | 재적재  9 | 중계율 0.07 | alpha 5.913 | step_limit
Ep 176 | 드론4 목적지68 | 1000스텝 | 배송 44/68 | 재적재  7 | 중계율 0.06 | alpha 5.881 | step_limit
