/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 113 | 배송 25/50 | 재적재 4 | 도착  31 | 2홉+ 0.53 | 도달  708 | 차단 1243
Ep 114 | 배송 38/50 | 재적재 5 | 도착  43 | 2홉+ 0.61 | 도달  899 | 차단  893
Ep 115 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.63 | 도달  863 | 차단  977
Ep 116 | 배송 35/50 | 재적재 5 | 도착  42 | 2홉+ 0.62 | 도달  780 | 차단  664
Ep 117 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.60 | 도달  912 | 차단  914
Ep 118 | 배송 32/50 | 재적재 5 | 도착  39 | 2홉+ 0.59 | 도달  780 | 차단 1305
Ep 119 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.63 | 도달  807 | 차단  992
Ep 120 | 배송 34/50 | 재적재 4 | 도착  39 | 2홉+ 0.61 | 도달  907 | 차단  968
Ep 121 | 배송 31/50 | 재적재 3 | 도착  37 | 2홉+ 0.56 | 도달  953 | 차단 1496
Ep 122 | 배송 25/50 | 재적재 3 | 도착  28 | 2홉+ 0.62 | 도달  838 | 차단 1861
Ep 123 | 배송 42/50 | 재적재 6 | 도착  43 | 2홉+ 0.61 | 도달  944 | 차단  895
Ep 124 | 배송 32/50 | 재적재 5 | 도착  38 | 2홉+ 0.55 | 도달  708 | 차단  906
Ep 125 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.56 | 도달  741 | 차단  892
Ep 126 | 배송 39/50 | 재적재 4 | 도착  46 | 2홉+ 0.64 | 도달  916 | 차단 1008
Ep 127 | 배송 43/50 | 재적재 7 | 도착  50 | 2홉+ 0.60 | 도달  934 | 차단 1095
Ep 128 | 배송 34/50 | 재적재 6 | 도착  40 | 2홉+ 0.60 | 도달  787 | 차단  832
Ep 129 | 배송 28/50 | 재적재 4 | 도착  35 | 2홉+ 0.59 | 도달  736 | 차단 1371
Ep 130 | 배송 28/50 | 재적재 4 | 도착  28 | 2홉+ 0.52 | 도달  743 | 차단 1015
Ep 131 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.53 | 도달  696 | 차단  929
Ep 132 | 배송 47/50 | 재적재 7 | 도착  54 | 2홉+ 0.60 | 도달  915 | 차단  966
Ep 133 | 배송 27/50 | 재적재 3 | 도착  33 | 2홉+ 0.65 | 도달  761 | 차단 1541
Ep 134 | 배송 31/50 | 재적재 6 | 도착  38 | 2홉+ 0.55 | 도달  715 | 차단 1225
Ep 135 | 배송 30/50 | 재적재 4 | 도착  33 | 2홉+ 0.63 | 도달  798 | 차단 1437
Ep 136 | 배송 23/50 | 재적재 3 | 도착  26 | 2홉+ 0.62 | 도달  697 | 차단 2077
Ep 137 | 배송 40/50 | 재적재 5 | 도착  44 | 2홉+ 0.63 | 도달  893 | 차단  938
