episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
92,1000,370.0,-19.698,29,,860,0,4,36,1738,0.6092,714.4,0,92000,875.4
93,1000,370.0,-16.969,29,,902,0,4,32,1699,0.5942,864.1,0,93000,884.5
94,1000,330.0,-29.858,25,,917,0,4,30,2065,0.573,672.4,0,94000,893.9
95,1000,410.0,-6.12,33,,986,0,4,41,1391,0.5817,803.4,0,95000,905.2
96,1000,550.0,14.587,38,,893,0,7,47,819,0.5948,843.8,0,96000,914.7
97,1000,480.0,-5.535,37,,993,0,5,44,1413,0.6185,856.5,0,97000,924.2
98,1000,460.0,2.9,35,,996,0,5,39,1090,0.6122,740.8,0,98000,933.3
99,1000,450.0,0.634,34,,944,0,5,39,1169,0.566,766.9,0,99000,944.6
100,1000,390.0,-10.685,31,,703,0,4,34,1478,0.6368,774.6,0,100000,953.8
101,1000,230.0,-23.255,21,,661,0,2,24,1499,0.4993,642.2,0,101000,975.6
102,1000,540.0,14.777,40,,912,0,6,45,888,0.5948,975.7,0,102000,984.4
103,1000,290.0,-27.773,24,,653,0,3,28,2006,0.4955,699.7,0,103000,993.4
104,1000,340.0,-24.172,29,,977,0,3,33,1825,0.6335,860.1,0,104000,1002.4
105,1000,330.0,-34.172,25,,874,0,4,30,2154,0.5497,731.6,0,105000,1013.4
106,1000,540.0,12.334,40,,987,0,6,51,992,0.6095,840.9,0,106000,1022.8
107,1000,490.0,4.247,35,,997,0,6,42,1118,0.5785,1033.1,0,107000,1031.8
108,1000,580.0,16.912,41,,911,0,7,49,906,0.6088,803.8,0,108000,1040.5
109,1000,360.0,-15.282,28,,964,0,4,30,1547,0.637,752.6,0,109000,1051.7
110,1000,450.0,7.896,34,,993,0,5,40,917,0.4748,792.6,0,110000,1060.5
111,1000,460.0,-6.184,35,,779,0,5,41,1467,0.605,766.7,0,111000,1069.3
112,1000,470.0,1.172,36,,955,0,5,39,1052,0.5803,816.0,0,112000,1080.2
113,1000,330.0,-9.463,25,,862,0,4,31,1243,0.532,708.4,0,113000,1089.2
114,1000,490.0,7.207,38,,933,0,5,43,893,0.6108,899.1,0,114000,1097.9
115,1000,470.0,4.68,36,,952,0,5,40,977,0.6272,862.7,0,115000,1106.5
116,1000,460.0,14.433,35,,941,0,5,42,664,0.616,780.1,0,116000,1117.5
117,1000,480.0,7.75,37,,989,0,5,42,914,0.6022,911.7,0,117000,1126.5
118,1000,430.0,-2.544,32,,758,0,5,39,1305,0.5925,780.0,0,118000,1135.6
119,1000,530.0,8.799,39,,985,0,6,45,992,0.627,806.5,0,119000,1147.5
120,1000,420.0,1.492,34,,988,0,4,39,968,0.6098,907.1,0,120000,1156.5
121,1000,360.0,-12.309,31,,969,0,3,37,1496,0.5607,953.4,0,121000,1165.2
122,1000,300.0,-28.211,25,,550,0,3,28,1861,0.625,838.4,0,122000,1175.0
123,1000,560.0,12.629,42,,979,0,6,43,895,0.6078,944.1,0,123000,1185.6
124,1000,430.0,6.258,32,,791,0,5,38,906,0.551,708.0,0,124000,1194.7
125,1000,390.0,1.159,31,,986,0,4,35,892,0.5647,740.6,0,125000,1203.7
126,1000,470.0,8.108,39,,930,0,4,46,1008,0.641,916.2,0,126000,1215.0
127,1000,600.0,12.707,43,,987,0,7,50,1095,0.5968,933.5,0,127000,1223.7
128,1000,480.0,9.429,34,,988,0,6,40,832,0.6002,786.7,0,128000,1232.4
129,1000,360.0,-12.909,28,,992,0,4,35,1371,0.5933,736.0,0,129000,1241.6
130,1000,360.0,-4.867,28,,875,0,4,28,1015,0.5185,742.8,0,130000,1252.7
131,1000,390.0,-0.012,31,,990,0,4,36,929,0.5268,696.4,0,131000,1261.3
132,1000,640.0,20.284,47,,980,0,7,54,966,0.605,915.0,0,132000,1269.9
133,1000,320.0,-18.27,27,,991,0,3,33,1541,0.6475,761.4,0,133000,1279.1
134,1000,450.0,-4.271,31,,995,0,6,38,1225,0.552,715.3,0,134000,1290.2
135,1000,380.0,-12.865,30,,982,0,4,33,1437,0.6275,798.2,0,135000,1299.2
136,1000,280.0,-34.391,23,,770,0,3,26,2077,0.6205,696.8,0,136000,1308.8
