/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 87 |  4877스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 88 |  5312스텝 | 배송 42/50 | 재적재  7 | 정지 0.14 교착최장  13 | no_progress
Ep 89 |  5252스텝 | 배송 41/50 | 재적재  8 | 정지 0.19 교착최장  10 | no_progress
Ep 90 |  3011스텝 | 배송 34/50 | 재적재  5 | 정지 0.13 교착최장  10 | no_progress
Ep 91 |  4783스텝 | 배송 39/50 | 재적재  6 | 정지 0.14 교착최장  43 | no_progress
Ep 92 |  6029스텝 | 배송 40/50 | 재적재  6 | 정지 0.17 교착최장  15 | no_progress
Ep 93 |  5469스텝 | 배송 41/50 | 재적재  7 | 정지 0.15 교착최장  21 | no_progress
Ep 94 |  6099스텝 | 배송 42/50 | 재적재  7 | 정지 0.13 교착최장   8 | no_progress
Ep 95 |  6743스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  18 | no_progress
Ep 96 |  5267스텝 | 배송 41/50 | 재적재  7 | 정지 0.22 교착최장  34 | no_progress
Ep 97 |  2939스텝 | 배송 28/50 | 재적재  5 | 정지 0.17 교착최장   9 | no_progress
Ep 98 |  4858스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  19 | no_progress
Ep 99 |  7052스텝 | 배송 42/50 | 재적재  7 | 정지 0.19 교착최장  21 | no_progress
Ep 100 |  6894스텝 | 배송 43/50 | 재적재  6 | 정지 0.22 교착최장  35 | no_progress
  [홀드아웃] 배송 6.3±9.2 재적재 0.3 2홉+ 0.13 | 최고 19.0@ep50 정체 1/15
Ep 101 |  3479스텝 | 배송 34/50 | 재적재  5 | 정지 0.13 교착최장   8 | no_progress
Ep 102 |  4534스텝 | 배송 40/50 | 재적재  6 | 정지 0.14 교착최장  18 | no_progress
Ep 103 |  4364스텝 | 배송 31/50 | 재적재  4 | 정지 0.15 교착최장  17 | no_progress
Ep 104 |  2779스텝 | 배송 37/50 | 재적재  5 | 정지 0.18 교착최장  23 | no_progress
Ep 105 |  5267스텝 | 배송 46/50 | 재적재  8 | 정지 0.16 교착최장  11 | no_progress
Ep 106 |  6717스텝 | 배송 42/50 | 재적재  7 | 정지 0.18 교착최장  34 | no_progress
Ep 107 |  3697스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장   9 | no_progress
Ep 108 |  5844스텝 | 배송 39/50 | 재적재  6 | 정지 0.16 교착최장  34 | no_progress
Ep 109 |  2769스텝 | 배송 35/50 | 재적재  5 | 정지 0.14 교착최장  10 | no_progress
Ep 110 |  4436스텝 | 배송 39/50 | 재적재  6 | 정지 0.11 교착최장   5 | no_progress
Ep 111 |  5614스텝 | 배송 38/50 | 재적재  5 | 정지 0.14 교착최장  12 | no_progress
Ep 112 |  6160스텝 | 배송 40/50 | 재적재  6 | 정지 0.26 교착최장  33 | no_progress
Ep 113 |  1562스텝 | 배송 15/50 | 재적재  0 | 정지 0.15 교착최장  10 | no_progress
Ep 114 |  5063스텝 | 배송 43/50 | 재적재  7 | 정지 0.11 교착최장  14 | no_progress
Ep 115 |  4808스텝 | 배송 43/50 | 재적재  8 | 정지 0.14 교착최장  17 | no_progress
Ep 116 |  1059스텝 | 배송  3/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 117 |  5070스텝 | 배송 45/50 | 재적재  8 | 정지 0.10 교착최장  15 | no_progress
Ep 118 |  6109스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 119 |  5394스텝 | 배송 43/50 | 재적재  7 | 정지 0.09 교착최장  17 | no_progress
Ep 120 |  4782스텝 | 배송 46/50 | 재적재  7 | 정지 0.13 교착최장  11 | no_progress
Ep 121 |  5060스텝 | 배송 41/50 | 재적재  8 | 정지 0.12 교착최장  12 | no_progress
Ep 122 |  4217스텝 | 배송 42/50 | 재적재  7 | 정지 0.12 교착최장  10 | no_progress
Ep 123 |  4889스텝 | 배송 43/50 | 재적재  8 | 정지 0.10 교착최장  10 | no_progress
Ep 124 |  6206스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장  11 | no_progress
Ep 125 |  3603스텝 | 배송 39/50 | 재적재  6 | 정지 0.12 교착최장  10 | no_progress
Ep 126 |  3510스텝 | 배송 35/50 | 재적재  5 | 정지 0.14 교착최장  10 | no_progress
Ep 127 |  4718스텝 | 배송 44/50 | 재적재  6 | 정지 0.17 교착최장  27 | no_progress
Ep 128 |  4776스텝 | 배송 46/50 | 재적재  7 | 정지 0.13 교착최장  14 | no_progress
Ep 129 |  4097스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  18 | no_progress
Ep 130 |  3535스텝 | 배송 39/50 | 재적재  6 | 정지 0.12 교착최장   9 | no_progress
Ep 131 |  4291스텝 | 배송 44/50 | 재적재  8 | 정지 0.15 교착최장  15 | no_progress
Ep 132 |  4926스텝 | 배송 42/50 | 재적재  6 | 정지 0.13 교착최장  12 | no_progress
Ep 133 |  3542스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  19 | no_progress
Ep 134 |  3466스텝 | 배송 38/50 | 재적재  6 | 정지 0.11 교착최장  13 | no_progress
Ep 135 |  4486스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  21 | no_progress
Ep 136 |  3181스텝 | 배송 36/50 | 재적재  6 | 정지 0.11 교착최장   8 | no_progress
Ep 137 |  3790스텝 | 배송 40/50 | 재적재  7 | 정지 0.19 교착최장  35 | no_progress
Ep 138 |  3858스텝 | 배송 41/50 | 재적재  7 | 정지 0.14 교착최장  17 | no_progress
Ep 139 |  4455스텝 | 배송 42/50 | 재적재  6 | 정지 0.15 교착최장  10 | no_progress
Ep 140 |  3501스텝 | 배송 41/50 | 재적재  7 | 정지 0.14 교착최장  11 | no_progress
Ep 141 |  3485스텝 | 배송 36/50 | 재적재  6 | 정지 0.12 교착최장  13 | no_progress
Ep 142 |  3656스텝 | 배송 31/50 | 재적재  5 | 정지 0.15 교착최장   8 | no_progress
Ep 143 |  6559스텝 | 배송 44/50 | 재적재  7 | 정지 0.22 교착최장  88 | no_progress
Ep 144 |  3480스텝 | 배송 40/50 | 재적재  7 | 정지 0.13 교착최장  17 | no_progress
Ep 145 |  4696스텝 | 배송 38/50 | 재적재  6 | 정지 0.14 교착최장   9 | no_progress
Ep 146 |  3295스텝 | 배송 33/50 | 재적재  5 | 정지 0.16 교착최장   9 | no_progress
Ep 147 |  4873스텝 | 배송 44/50 | 재적재  8 | 정지 0.19 교착최장  10 | no_progress
Ep 148 |  3754스텝 | 배송 38/50 | 재적재  6 | 정지 0.19 교착최장  17 | no_progress
Ep 149 |  6013스텝 | 배송 44/50 | 재적재  7 | 정지 0.17 교착최장  14 | no_progress
Ep 150 |  5675스텝 | 배송 38/50 | 재적재  5 | 정지 0.20 교착최장  32 | no_progress
  [홀드아웃] 배송 10.1±7.1 재적재 0.2 2홉+ 0.23 | 최고 19.0@ep50 정체 2/15
Ep 151 |  3488스텝 | 배송 33/50 | 재적재  5 | 정지 0.22 교착최장  24 | no_progress
Ep 152 |  3055스텝 | 배송 33/50 | 재적재  5 | 정지 0.12 교착최장   9 | no_progress
Ep 153 |  5160스텝 | 배송 38/50 | 재적재  6 | 정지 0.16 교착최장  21 | no_progress
Ep 154 |  3668스텝 | 배송 37/50 | 재적재  6 | 정지 0.12 교착최장   9 | no_progress
Ep 155 |  6624스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  60 | no_progress
Ep 156 |  3774스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  14 | no_progress
Ep 157 |  5117스텝 | 배송 42/50 | 재적재  7 | 정지 0.19 교착최장  51 | no_progress
Ep 158 |  4140스텝 | 배송 39/50 | 재적재  7 | 정지 0.16 교착최장  42 | no_progress
