episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
21,1000,71.9401,11,0.22,,1,0,5,2.2776,0,1291,0.7045,585.7,460,0,0.052464,0.806186,-6.100464,21000,186.1
22,1000,88.8686,11,0.22,,0,1,5,1.479,0,692,0.437,548.2,827,0,0.050996,0.778755,-7.54695,22000,196.7
23,1000,115.0705,14,0.28,,0,1,5,1.6583,0,934,0.679,752.0,914,0,0.049926,2.129563,-7.371427,23000,207.3
24,1000,121.0733,12,0.24,,1,0,5,2.1213,1,1480,0.5835,626.3,647,0,0.048219,1.710115,-7.799665,24000,218.3
25,1000,120.5976,16,0.32,,0,2,5,1.2247,0,1640,0.7067,742.3,314,0,0.045638,1.900335,-7.244938,25000,230.1
26,1000,145.3367,18,0.36,,0,4,5,0.5,0,1142,0.6843,876.8,885,0,0.043639,1.120041,-8.322829,26000,241.3
27,1000,89.4203,14,0.28,,0,2,5,1.5,0,2387,0.6757,839.1,661,0,0.044258,2.296666,-8.388217,27000,252.1
28,1000,87.8108,12,0.24,,1,0,5,2.1213,0,1577,0.6687,799.5,464,0,0.043152,1.219231,-8.291591,28000,262.9
29,1000,102.0482,14,0.28,,0,1,5,1.6583,0,1548,0.6945,803.8,764,0,0.042272,2.123409,-8.235776,29000,273.8
30,1000,110.9505,14,0.28,,0,2,5,1.118,0,1402,0.6555,967.8,974,0,0.042727,2.463293,-9.778009,30000,285.2
31,1000,119.3034,15,0.3,,0,2,5,1.299,0,1000,0.6075,940.1,779,0,0.043311,1.515572,-9.746155,31000,299.5
32,1000,104.6563,15,0.3,,0,2,5,1.299,0,1872,0.6923,978.0,665,0,0.043118,6.466836,-11.10054,32000,315.4
33,1000,126.5693,16,0.32,,0,2,5,1.2247,0,1577,0.648,682.6,676,0,0.04278,2.759472,-10.244986,33000,331.8
34,1000,117.2286,14,0.28,,1,0,5,2.0616,0,1220,0.6953,785.1,778,0,0.043104,1.186531,-10.64523,34000,348.5
35,1000,61.496,10,0.2,,1,0,4,1.5,0,2388,0.6933,708.4,237,0,0.043317,3.230627,-11.485811,35000,364.8
36,1000,113.3746,15,0.3,,1,0,5,2.1651,0,1718,0.6783,1072.0,474,0,0.043754,3.167372,-12.201013,36000,381.2
37,1000,105.5253,15,0.3,,1,0,5,2.1651,0,1916,0.6945,1048.0,225,0,0.044634,1.570891,-11.524707,37000,397.6
38,1000,72.4646,11,0.22,,0,1,5,1.7854,0,1652,0.6727,963.6,897,0,0.044939,1.637836,-12.65877,38000,413.9
39,1000,120.3417,15,0.3,,1,0,5,2.1651,0,1259,0.7045,1022.6,924,0,0.044663,1.09944,-11.874065,39000,430.4
