/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 136 | Step 1000 | R    90.21 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  858 | 차단 1509
Ep 137 | Step 1000 | R   158.33 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달  737 | 차단 1509
Ep 138 | Step 1000 | R   116.10 | 배송 15/50 | 미활동 1 | 2홉+ 0.69 | 도달  858 | 차단  763
Ep 139 | Step 1000 | R   117.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  920 | 차단 1907
Ep 140 | Step 1000 | R   145.65 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  951 | 차단  918
Ep 141 | Step 1000 | R    78.20 | 배송 12/50 | 미활동 1 | 2홉+ 0.69 | 도달  852 | 차단 1841
Ep 142 | Step 1000 | R   176.32 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달  814 | 차단  751
Ep 143 | Step 1000 | R    97.45 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  898 | 차단 1619
Ep 144 | Step 1000 | R   157.29 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  884 | 차단  623
Ep 145 | Step 1000 | R   144.84 | 배송 17/50 | 미활동 0 | 2홉+ 0.59 | 도달  889 | 차단 1239
Ep 146 | Step 1000 | R   111.05 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  697 | 차단 1235
Ep 147 | Step 1000 | R   115.14 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  697 | 차단 1248
Ep 148 | Step 1000 | R   137.07 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달  777 | 차단 1577
Ep 149 | Step 1000 | R   167.82 | 배송 19/50 | 미활동 0 | 2홉+ 0.39 | 도달  645 | 차단 1221
Ep 150 | Step 1000 | R   152.33 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  772 | 차단  832
  [홀드아웃] 배송 11.5±2.4 미활동 0.17 2홉+ 0.71 도달 633 | 최고 11.5@ep150 | 정체 0/15  ← 최고 갱신
Ep 151 | Step 1000 | R   131.08 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  893 | 차단 1580
Ep 152 | Step 1000 | R   137.86 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달  741 | 차단 1019
Ep 153 | Step 1000 | R    83.03 | 배송 12/50 | 미활동 0 | 2홉+ 0.60 | 도달  886 | 차단 1586
Ep 154 | Step 1000 | R   130.14 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  975 | 차단 1144
Ep 155 | Step 1000 | R   180.48 | 배송 17/50 | 미활동 0 | 2홉+ 0.57 | 도달  746 | 차단  924
Ep 156 | Step 1000 | R   131.19 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1053 | 차단 1206
Ep 157 | Step 1000 | R   119.09 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  995 | 차단 1271
Ep 158 | Step 1000 | R   127.95 | 배송 16/50 | 미활동 0 | 2홉+ 0.58 | 도달  802 | 차단 1192
Ep 159 | Step 1000 | R   118.36 | 배송 12/50 | 미활동 0 | 2홉+ 0.61 | 도달  657 | 차단  636
Ep 160 | Step 1000 | R   108.62 | 배송 15/50 | 미활동 0 | 2홉+ 0.65 | 도달  817 | 차단  783
Ep 161 | Step 1000 | R    89.30 | 배송 11/50 | 미활동 1 | 2홉+ 0.70 | 도달  685 | 차단  482
Ep 162 | Step 1000 | R   146.65 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  892 | 차단  833
Ep 163 | Step 1000 | R   149.51 | 배송 17/50 | 미활동 0 | 2홉+ 0.42 | 도달  602 | 차단  461
Ep 164 | Step 1000 | R   160.46 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  859 | 차단  888
Ep 165 | Step 1000 | R    96.28 | 배송 12/50 | 미활동 0 | 2홉+ 0.53 | 도달  645 | 차단 1630
Ep 166 | Step 1000 | R   139.48 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  956 | 차단  577
Ep 167 | Step 1000 | R   109.08 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  803 | 차단 1688
Ep 168 | Step 1000 | R    47.58 | 배송  9/50 | 미활동 1 | 2홉+ 0.49 | 도달  587 | 차단 1845
Ep 169 | Step 1000 | R   151.84 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  874 | 차단  738
