/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 67 |  3669스텝 | 배송 35/50 | 재적재  5 | 정지 0.13 교착최장   7 | no_progress
Ep 68 |  3712스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  15 | no_progress
Ep 69 |  5043스텝 | 배송 46/50 | 재적재  9 | 정지 0.13 교착최장  22 | no_progress
Ep 70 |  4361스텝 | 배송 44/50 | 재적재  7 | 정지 0.23 교착최장  22 | no_progress
Ep 71 |  4787스텝 | 배송 42/50 | 재적재  8 | 정지 0.16 교착최장   8 | no_progress
Ep 72 |  2912스텝 | 배송 39/50 | 재적재  7 | 정지 0.16 교착최장  31 | no_progress
Ep 73 |  2456스텝 | 배송 38/50 | 재적재  6 | 정지 0.16 교착최장  14 | no_progress
Ep 74 |  1797스텝 | 배송 33/50 | 재적재  4 | 정지 0.22 교착최장 100 | deadlock
Ep 75 |  3672스텝 | 배송 40/50 | 재적재  7 | 정지 0.16 교착최장  15 | no_progress
Ep 76 |  3153스텝 | 배송 33/50 | 재적재  4 | 정지 0.15 교착최장   8 | no_progress
Ep 77 |  3769스텝 | 배송 40/50 | 재적재  6 | 정지 0.22 교착최장   9 | no_progress
Ep 78 |  3187스텝 | 배송 37/50 | 재적재  5 | 정지 0.13 교착최장   6 | no_progress
Ep 79 |  4761스텝 | 배송 41/50 | 재적재  8 | 정지 0.15 교착최장  17 | no_progress
Ep 80 |  1081스텝 | 배송  6/50 | 재적재  0 | 정지 0.00 교착최장   0 | no_progress
Ep 81 |  1131스텝 | 배송  6/50 | 재적재  0 | 정지 0.03 교착최장   2 | no_progress
Ep 82 |  4676스텝 | 배송 39/50 | 재적재  7 | 정지 0.17 교착최장   7 | no_progress
Ep 83 |  3681스텝 | 배송 44/50 | 재적재  8 | 정지 0.08 교착최장  13 | no_progress
Ep 84 |  3820스텝 | 배송 42/50 | 재적재  7 | 정지 0.12 교착최장  19 | no_progress
Ep 85 |  4566스텝 | 배송 42/50 | 재적재  8 | 정지 0.15 교착최장  14 | no_progress
Ep 86 |  4111스텝 | 배송 42/50 | 재적재  8 | 정지 0.13 교착최장  11 | no_progress
Ep 87 |  4075스텝 | 배송 42/50 | 재적재  6 | 정지 0.16 교착최장  10 | no_progress
Ep 88 |  4875스텝 | 배송 41/50 | 재적재  8 | 정지 0.15 교착최장  14 | no_progress
Ep 89 |  4535스텝 | 배송 40/50 | 재적재  7 | 정지 0.18 교착최장  52 | no_progress
Ep 90 |  3279스텝 | 배송 39/50 | 재적재  5 | 정지 0.14 교착최장  18 | no_progress
Ep 91 |  4410스텝 | 배송 41/50 | 재적재  7 | 정지 0.21 교착최장  16 | no_progress
Ep 92 |  4755스텝 | 배송 41/50 | 재적재  8 | 정지 0.09 교착최장   8 | no_progress
Ep 93 |  4725스텝 | 배송 44/50 | 재적재  8 | 정지 0.10 교착최장  11 | no_progress
Ep 94 |  3814스텝 | 배송 46/50 | 재적재  8 | 정지 0.12 교착최장  11 | no_progress
Ep 95 |  4685스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  16 | no_progress
Ep 96 |  4363스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  29 | no_progress
Ep 97 |  5046스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  14 | no_progress
Ep 98 |  5603스텝 | 배송 40/50 | 재적재  6 | 정지 0.27 교착최장  29 | no_progress
Ep 99 |  5170스텝 | 배송 45/50 | 재적재  9 | 정지 0.14 교착최장  13 | no_progress
Ep 100 |  3283스텝 | 배송 34/50 | 재적재  6 | 정지 0.16 교착최장  17 | no_progress
  [홀드아웃] 배송 17.0±5.3 재적재 1.0 2홉+ 0.47 | 최고 19.0@ep50 정체 1/15
Ep 101 |  5330스텝 | 배송 43/50 | 재적재  7 | 정지 0.20 교착최장  36 | no_progress
Ep 102 |  5055스텝 | 배송 43/50 | 재적재  7 | 정지 0.14 교착최장  23 | no_progress
Ep 103 |  4617스텝 | 배송 44/50 | 재적재  6 | 정지 0.17 교착최장  19 | no_progress
Ep 104 |  6926스텝 | 배송 43/50 | 재적재  6 | 정지 0.18 교착최장  29 | no_progress
Ep 105 |  5443스텝 | 배송 39/50 | 재적재  6 | 정지 0.20 교착최장  23 | no_progress
Ep 106 |  6334스텝 | 배송 41/50 | 재적재  8 | 정지 0.15 교착최장  14 | no_progress
Ep 107 |  6356스텝 | 배송 41/50 | 재적재  8 | 정지 0.17 교착최장  73 | no_progress
Ep 108 |  4497스텝 | 배송 40/50 | 재적재  6 | 정지 0.15 교착최장  16 | no_progress
Ep 109 |  5191스텝 | 배송 42/50 | 재적재  8 | 정지 0.15 교착최장  16 | no_progress
Ep 110 |  5464스텝 | 배송 41/50 | 재적재  7 | 정지 0.18 교착최장  24 | no_progress
Ep 111 |  3966스텝 | 배송 36/50 | 재적재  4 | 정지 0.24 교착최장  33 | no_progress
