/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 73 | 배송 25/50 | 재적재 2 | 도착  17 | 2홉+ 0.61 | 도달  794 | 차단  706
Ep 74 | 배송 23/50 | 재적재 4 | 도착  19 | 2홉+ 0.43 | 도달  609 | 차단  353
Ep 75 | 배송 23/50 | 재적재 3 | 도착  14 | 2홉+ 0.53 | 도달  691 | 차단  324
Ep 76 | 배송 27/50 | 재적재 4 | 도착  12 | 2홉+ 0.60 | 도달  766 | 차단  671
Ep 77 | 배송 30/50 | 재적재 4 | 도착  14 | 2홉+ 0.50 | 도달  796 | 차단  371
Ep 78 | 배송 25/50 | 재적재 2 | 도착  22 | 2홉+ 0.52 | 도달  669 | 차단  548
Ep 79 | 배송 27/50 | 재적재 4 | 도착  17 | 2홉+ 0.49 | 도달  739 | 차단  380
Ep 80 | 배송 27/50 | 재적재 3 | 도착  59 | 2홉+ 0.48 | 도달  849 | 차단  391
Ep 81 | 배송 29/50 | 재적재 4 | 도착  26 | 2홉+ 0.51 | 도달  809 | 차단  473
Ep 82 | 배송 22/50 | 재적재 2 | 도착  66 | 2홉+ 0.36 | 도달  709 | 차단  411
Ep 83 | 배송 22/50 | 재적재 2 | 도착  21 | 2홉+ 0.42 | 도달  737 | 차단  266
Ep 84 | 배송 26/50 | 재적재 4 | 도착  11 | 2홉+ 0.59 | 도달  743 | 차단 1037
Ep 85 | 배송 29/50 | 재적재 5 | 도착  12 | 2홉+ 0.53 | 도달  733 | 차단  360
Ep 86 | 배송 27/50 | 재적재 3 | 도착  13 | 2홉+ 0.52 | 도달  721 | 차단  512
Ep 87 | 배송 19/50 | 재적재 2 | 도착  15 | 2홉+ 0.52 | 도달  699 | 차단  439
Ep 88 | 배송 23/50 | 재적재 3 | 도착  25 | 2홉+ 0.50 | 도달  634 | 차단  312
Ep 89 | 배송 18/50 | 재적재 1 | 도착  19 | 2홉+ 0.53 | 도달  563 | 차단  364
Ep 90 | 배송 22/50 | 재적재 2 | 도착  25 | 2홉+ 0.41 | 도달  717 | 차단  448
Ep 91 | 배송 20/50 | 재적재 1 | 도착  11 | 2홉+ 0.37 | 도달  715 | 차단  389
Ep 92 | 배송 25/50 | 재적재 4 | 도착  13 | 2홉+ 0.52 | 도달  788 | 차단  387
Ep 93 | 배송 21/50 | 재적재 2 | 도착  12 | 2홉+ 0.41 | 도달  634 | 차단  493
Ep 94 | 배송 24/50 | 재적재 3 | 도착  18 | 2홉+ 0.44 | 도달  710 | 차단  236
Ep 95 | 배송 20/50 | 재적재 2 | 도착  24 | 2홉+ 0.40 | 도달  645 | 차단  372
Ep 96 | 배송 20/50 | 재적재 1 | 도착   8 | 2홉+ 0.26 | 도달  562 | 차단   60
Ep 97 | 배송 23/50 | 재적재 2 | 도착  19 | 2홉+ 0.39 | 도달  703 | 차단  353
Ep 98 | 배송 23/50 | 재적재 4 | 도착  15 | 2홉+ 0.54 | 도달  683 | 차단  504
Ep 99 | 배송 22/50 | 재적재 2 | 도착  24 | 2홉+ 0.56 | 도달  735 | 차단  343
Ep 100 | 배송 20/50 | 재적재 2 | 도착  15 | 2홉+ 0.37 | 도달  584 | 차단  159
  [홀드아웃] 배송 16.2±6.2 재적재 1.2 2홉+ 0.39 | 최고 26.8@ep50 정체 1/15
Ep 101 | 배송 23/50 | 재적재 3 | 도착  13 | 2홉+ 0.57 | 도달  713 | 차단  349
Ep 102 | 배송 22/50 | 재적재 2 | 도착   7 | 2홉+ 0.56 | 도달  713 | 차단  460
Ep 103 | 배송 19/50 | 재적재 1 | 도착  28 | 2홉+ 0.39 | 도달  632 | 차단  431
Ep 104 | 배송 24/50 | 재적재 3 | 도착  27 | 2홉+ 0.46 | 도달  698 | 차단  262
Ep 105 | 배송 24/50 | 재적재 2 | 도착  13 | 2홉+ 0.47 | 도달  666 | 차단  205
Ep 106 | 배송 23/50 | 재적재 4 | 도착  12 | 2홉+ 0.53 | 도달  790 | 차단  356
Ep 107 | 배송 19/50 | 재적재 2 | 도착  35 | 2홉+ 0.28 | 도달  581 | 차단   76
Ep 108 | 배송 24/50 | 재적재 4 | 도착  15 | 2홉+ 0.58 | 도달  738 | 차단  479
Ep 109 | 배송 20/50 | 재적재 2 | 도착  13 | 2홉+ 0.43 | 도달  695 | 차단  224
Ep 110 | 배송 22/50 | 재적재 3 | 도착  19 | 2홉+ 0.36 | 도달  616 | 차단  245
Ep 111 | 배송 20/50 | 재적재 3 | 도착  14 | 2홉+ 0.51 | 도달  699 | 차단  338
Ep 112 | 배송 23/50 | 재적재 2 | 도착  13 | 2홉+ 0.44 | 도달  599 | 차단  316
Ep 113 | 배송 21/50 | 재적재 3 | 도착  26 | 2홉+ 0.47 | 도달  747 | 차단  381
Ep 114 | 배송 18/50 | 재적재 2 | 도착  16 | 2홉+ 0.36 | 도달  618 | 차단  280
Ep 115 | 배송 24/50 | 재적재 2 | 도착  22 | 2홉+ 0.36 | 도달  711 | 차단  128
Ep 116 | 배송 22/50 | 재적재 2 | 도착  11 | 2홉+ 0.47 | 도달  638 | 차단  281
Ep 117 | 배송 17/50 | 재적재 1 | 도착  18 | 2홉+ 0.29 | 도달  569 | 차단  426
Ep 118 | 배송 18/50 | 재적재 3 | 도착  24 | 2홉+ 0.30 | 도달  669 | 차단   60
Ep 119 | 배송 13/50 | 재적재 0 | 도착  16 | 2홉+ 0.19 | 도달  593 | 차단   72
Ep 120 | 배송 10/50 | 재적재 0 | 도착  17 | 2홉+ 0.10 | 도달  598 | 차단   92
Ep 121 | 배송 18/50 | 재적재 1 | 도착  13 | 2홉+ 0.17 | 도달  624 | 차단  105
Ep 122 | 배송 16/50 | 재적재 1 | 도착  16 | 2홉+ 0.22 | 도달  604 | 차단   74
Ep 123 | 배송 15/50 | 재적재 1 | 도착  34 | 2홉+ 0.20 | 도달  554 | 차단  163
Ep 124 | 배송 20/50 | 재적재 2 | 도착  11 | 2홉+ 0.45 | 도달  643 | 차단  319
Ep 125 | 배송 14/50 | 재적재 1 | 도착  19 | 2홉+ 0.22 | 도달  656 | 차단  335
Ep 126 | 배송 22/50 | 재적재 2 | 도착  11 | 2홉+ 0.41 | 도달  706 | 차단  123
Ep 127 | 배송 18/50 | 재적재 2 | 도착  12 | 2홉+ 0.33 | 도달  647 | 차단   88
Ep 128 | 배송 13/50 | 재적재 1 | 도착  12 | 2홉+ 0.25 | 도달  600 | 차단  242
Ep 129 | 배송 25/50 | 재적재 3 | 도착  20 | 2홉+ 0.52 | 도달  707 | 차단  217
Ep 130 | 배송 12/50 | 재적재 0 | 도착  22 | 2홉+ 0.23 | 도달  493 | 차단  138
Ep 131 | 배송 12/50 | 재적재 1 | 도착  44 | 2홉+ 0.22 | 도달  500 | 차단  213
Ep 132 | 배송 19/50 | 재적재 1 | 도착  52 | 2홉+ 0.29 | 도달  739 | 차단  321
Ep 133 | 배송 16/50 | 재적재 1 | 도착  41 | 2홉+ 0.25 | 도달  609 | 차단  258
Ep 134 | 배송 16/50 | 재적재 2 | 도착  33 | 2홉+ 0.36 | 도달  682 | 차단  258
Ep 135 | 배송 21/50 | 재적재 3 | 도착  54 | 2홉+ 0.42 | 도달  861 | 차단  655
Ep 136 | 배송 13/50 | 재적재 1 | 도착  79 | 2홉+ 0.17 | 도달  520 | 차단  130
Ep 137 | 배송 13/50 | 재적재 0 | 도착  53 | 2홉+ 0.23 | 도달  545 | 차단  208
Ep 138 | 배송 12/50 | 재적재 1 | 도착  46 | 2홉+ 0.19 | 도달  638 | 차단  133
