episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,comm_loss,env_steps,wall_sec
106,1000,310.0,4.404,23,,888,0,4,12,356,0.53,790.1,0,106000,1407.3
107,1000,210.0,16.7,19,,937,0,2,35,76,0.2782,581.5,0,107000,1420.6
108,1000,320.0,3.997,24,,830,0,4,15,479,0.5807,738.2,0,108000,1434.1
109,1000,220.0,11.14,20,,645,0,2,13,224,0.4325,694.6,0,109000,1447.4
110,1000,270.0,11.121,22,,909,0,3,19,245,0.3588,616.2,0,110000,1460.8
111,1000,250.0,4.547,20,,857,0,3,14,338,0.5122,698.6,0,111000,1474.1
112,1000,250.0,9.018,23,,944,0,2,13,316,0.4412,599.0,0,112000,1487.4
113,1000,260.0,10.636,21,,976,0,3,26,381,0.4713,746.5,0,113000,1500.6
114,1000,200.0,16.017,18,,999,0,2,16,280,0.3593,618.5,0,114000,1514.3
115,1000,260.0,15.057,24,,982,0,2,22,128,0.3613,710.9,0,115000,1527.7
116,1000,240.0,5.486,22,,906,0,2,11,281,0.467,637.7,0,116000,1541.0
117,1000,160.0,1.284,17,,892,0,1,18,426,0.2863,569.1,0,117000,1554.3
118,1000,230.0,14.894,18,,806,0,3,24,60,0.302,669.0,0,118000,1567.6
119,1000,90.0,9.013,13,,977,0,0,16,72,0.1903,592.8,0,119000,1581.0
120,1000,60.0,3.901,10,,985,0,0,17,92,0.1,598.1,0,120000,1594.4
121,1000,170.0,9.163,18,,956,0,1,13,105,0.165,623.7,0,121000,1607.9
122,1000,150.0,8.756,16,,958,0,1,16,74,0.223,604.1,0,122000,1621.4
123,1000,140.0,12.702,15,,997,0,1,34,163,0.2028,554.2,0,123000,1634.8
124,1000,220.0,1.107,20,,876,0,2,11,319,0.4537,643.4,0,124000,1648.3
125,1000,130.0,5.17,14,,990,0,1,19,335,0.2188,655.7,0,125000,1661.5
126,1000,240.0,12.88,22,,997,0,2,11,123,0.407,706.0,0,126000,1674.9
127,1000,200.0,4.079,18,,875,0,2,12,88,0.3277,647.4,0,127000,1688.1
128,1000,120.0,2.417,13,,957,0,1,12,242,0.2462,599.5,0,128000,1701.4
129,1000,300.0,11.79,25,,993,0,3,20,217,0.5205,706.7,0,129000,1714.7
130,1000,80.0,7.27,12,,846,0,0,22,138,0.226,492.8,0,130000,1728.0
131,1000,110.0,13.855,12,,987,0,1,44,213,0.218,499.8,0,131000,1741.3
132,1000,180.0,11.772,19,,992,0,1,52,321,0.2868,738.9,0,132000,1754.8
133,1000,150.0,5.162,16,,989,0,1,41,258,0.254,609.0,0,133000,1768.4
134,1000,180.0,5.766,16,,952,0,2,33,258,0.36,681.6,0,134000,1781.8
