/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=10
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 79 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.53 | 도달  779 | 차단  261
Ep 80 | 배송 24/50 | 재적재 2 | 도착  10 | 2홉+ 0.55 | 도달  737 | 차단  157
Ep 81 | 배송 28/50 | 재적재 2 | 도착   8 | 2홉+ 0.61 | 도달  960 | 차단  787
Ep 82 | 배송 23/50 | 재적재 2 | 도착   8 | 2홉+ 0.57 | 도달  742 | 차단  231
Ep 83 | 배송 20/50 | 재적재 2 | 도착  12 | 2홉+ 0.67 | 도달 1052 | 차단 1130
Ep 84 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.54 | 도달  816 | 차단  350
Ep 85 | 배송 29/50 | 재적재 3 | 도착  10 | 2홉+ 0.64 | 도달  868 | 차단  323
Ep 86 | 배송 21/50 | 재적재 3 | 도착  12 | 2홉+ 0.60 | 도달  718 | 차단  318
Ep 87 | 배송 27/50 | 재적재 4 | 도착  14 | 2홉+ 0.53 | 도달  860 | 차단  301
Ep 88 | 배송 20/50 | 재적재 0 | 도착   9 | 2홉+ 0.64 | 도달  771 | 차단  437
Ep 89 | 배송 31/50 | 재적재 3 | 도착  15 | 2홉+ 0.65 | 도달  874 | 차단  313
Ep 90 | 배송 25/50 | 재적재 2 | 도착  10 | 2홉+ 0.61 | 도달  723 | 차단  505
Ep 91 | 배송 27/50 | 재적재 3 | 도착  13 | 2홉+ 0.64 | 도달  861 | 차단  443
Ep 92 | 배송 27/50 | 재적재 4 | 도착  14 | 2홉+ 0.59 | 도달  664 | 차단  212
Ep 93 | 배송 29/50 | 재적재 4 | 도착  11 | 2홉+ 0.57 | 도달  818 | 차단  266
Ep 94 | 배송 30/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  767 | 차단  380
Ep 95 | 배송 33/50 | 재적재 4 | 도착  15 | 2홉+ 0.64 | 도달 1012 | 차단 1071
Ep 96 | 배송 28/50 | 재적재 4 | 도착   9 | 2홉+ 0.62 | 도달  828 | 차단  219
Ep 97 | 배송 27/50 | 재적재 3 | 도착   7 | 2홉+ 0.61 | 도달  762 | 차단  335
Ep 98 | 배송 25/50 | 재적재 3 | 도착  15 | 2홉+ 0.60 | 도달  718 | 차단  317
Ep 99 | 배송 25/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  781 | 차단  250
Ep 100 | 배송 19/50 | 재적재 2 | 도착   8 | 2홉+ 0.55 | 도달  713 | 차단  393
  [홀드아웃] 배송 24.0±5.7 재적재 2.3 2홉+ 0.59 | 최고 24.0@ep100 정체 0/15  ← 갱신
Ep 101 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.62 | 도달  846 | 차단  421
Ep 102 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달  795 | 차단  507
Ep 103 | 배송 30/50 | 재적재 4 | 도착  15 | 2홉+ 0.61 | 도달  754 | 차단  439
Ep 104 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  788 | 차단  252
Ep 105 | 배송 20/50 | 재적재 0 | 도착   7 | 2홉+ 0.65 | 도달  721 | 차단  505
Ep 106 | 배송 24/50 | 재적재 2 | 도착  11 | 2홉+ 0.57 | 도달  762 | 차단  534
Ep 107 | 배송 28/50 | 재적재 4 | 도착  12 | 2홉+ 0.61 | 도달  732 | 차단  315
Ep 108 | 배송 36/50 | 재적재 4 | 도착  17 | 2홉+ 0.63 | 도달  963 | 차단  532
Ep 109 | 배송 30/50 | 재적재 3 | 도착  13 | 2홉+ 0.64 | 도달  900 | 차단  683
Ep 110 | 배송 28/50 | 재적재 4 | 도착  12 | 2홉+ 0.63 | 도달  786 | 차단  506
Ep 111 | 배송 28/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  968 | 차단  431
Ep 112 | 배송 27/50 | 재적재 3 | 도착   8 | 2홉+ 0.60 | 도달  941 | 차단  533
Ep 113 | 배송 31/50 | 재적재 4 | 도착  14 | 2홉+ 0.64 | 도달  854 | 차단  306
Ep 114 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.60 | 도달  782 | 차단  265
Ep 115 | 배송 25/50 | 재적재 2 | 도착  10 | 2홉+ 0.64 | 도달  794 | 차단  429
Ep 116 | 배송 24/50 | 재적재 3 | 도착  12 | 2홉+ 0.60 | 도달  762 | 차단  391
Ep 117 | 배송 30/50 | 재적재 5 | 도착  10 | 2홉+ 0.61 | 도달  970 | 차단  518
Ep 118 | 배송 27/50 | 재적재 2 | 도착  12 | 2홉+ 0.68 | 도달 1074 | 차단  975
Ep 119 | 배송 24/50 | 재적재 2 | 도착  12 | 2홉+ 0.61 | 도달 1023 | 차단  663
Ep 120 | 배송 23/50 | 재적재 3 | 도착   8 | 2홉+ 0.53 | 도달  651 | 차단  344
Ep 121 | 배송 22/50 | 재적재 4 | 도착  13 | 2홉+ 0.61 | 도달  821 | 차단  552
Ep 122 | 배송 28/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  820 | 차단  372
Ep 123 | 배송 30/50 | 재적재 4 | 도착  10 | 2홉+ 0.57 | 도달  878 | 차단  446
Ep 124 | 배송 29/50 | 재적재 4 | 도착  14 | 2홉+ 0.64 | 도달  729 | 차단  486
Ep 125 | 배송 29/50 | 재적재 4 | 도착  13 | 2홉+ 0.60 | 도달  899 | 차단  428
Ep 126 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.57 | 도달  673 | 차단  276
Ep 127 | 배송 17/50 | 재적재 0 | 도착   7 | 2홉+ 0.71 | 도달 1041 | 차단 2687
Ep 128 | 배송 22/50 | 재적재 2 | 도착  11 | 2홉+ 0.56 | 도달  743 | 차단  117
Ep 129 | 배송 27/50 | 재적재 3 | 도착  12 | 2홉+ 0.61 | 도달  767 | 차단  444
Ep 130 | 배송 31/50 | 재적재 4 | 도착  17 | 2홉+ 0.61 | 도달  869 | 차단  436
Ep 131 | 배송 32/50 | 재적재 4 | 도착  16 | 2홉+ 0.61 | 도달  740 | 차단  378
Ep 132 | 배송 27/50 | 재적재 3 | 도착  15 | 2홉+ 0.64 | 도달  941 | 차단  690
Ep 133 | 배송 30/50 | 재적재 4 | 도착   9 | 2홉+ 0.61 | 도달  852 | 차단  388
Ep 134 | 배송 26/50 | 재적재 2 | 도착  14 | 2홉+ 0.64 | 도달  824 | 차단  611
Ep 135 | 배송 30/50 | 재적재 4 | 도착  14 | 2홉+ 0.64 | 도달  869 | 차단  320
Ep 136 | 배송 34/50 | 재적재 4 | 도착  14 | 2홉+ 0.58 | 도달  850 | 차단  410
Ep 137 | 배송 30/50 | 재적재 5 | 도착  17 | 2홉+ 0.58 | 도달  821 | 차단  389
Ep 138 | 배송 30/50 | 재적재 4 | 도착  18 | 2홉+ 0.65 | 도달  867 | 차단  670
Ep 139 | 배송 28/50 | 재적재 3 | 도착  12 | 2홉+ 0.55 | 도달  964 | 차단  559
Ep 140 | 배송 24/50 | 재적재 3 | 도착  12 | 2홉+ 0.58 | 도달  703 | 차단  277
Ep 141 | 배송 28/50 | 재적재 4 | 도착  13 | 2홉+ 0.58 | 도달  845 | 차단  209
Ep 142 | 배송 29/50 | 재적재 3 | 도착  12 | 2홉+ 0.62 | 도달  838 | 차단  567
