/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 134 | 드론6 목적지22 |  181스텝 | 배송 22/22 | 재적재  0 | 중계율 0.09 | complete
Ep 135 | 드론3 목적지20 | 1000스텝 | 배송 14/20 | 재적재  1 | 중계율 0.08 | step_limit
Ep 136 | 드론8 목적지57 |  491스텝 | 배송 57/57 | 재적재  6 | 중계율 0.16 | complete
Ep 137 | 드론4 목적지24 |  489스텝 | 배송 24/24 | 재적재  3 | 중계율 0.20 | complete
Ep 138 | 드론6 목적지35 |  341스텝 | 배송 35/35 | 재적재  4 | 중계율 0.13 | complete
Ep 139 | 드론5 목적지29 |  565스텝 | 배송 29/29 | 재적재  4 | 중계율 0.07 | complete
Ep 140 | 드론3 목적지32 | 1000스텝 | 배송 18/32 | 재적재  2 | 중계율 0.14 | step_limit
Ep 141 | 드론4 목적지54 | 1000스텝 | 배송 27/54 | 재적재  4 | 중계율 0.13 | step_limit
Ep 142 | 드론3 목적지42 | 1000스텝 | 배송 26/42 | 재적재  4 | 중계율 0.05 | step_limit
Ep 143 | 드론4 목적지23 | 1000스텝 | 배송 18/23 | 재적재  2 | 중계율 0.15 | step_limit
Ep 144 | 드론5 목적지61 | 1000스텝 | 배송 56/61 | 재적재  8 | 중계율 0.13 | step_limit
Ep 145 | 드론5 목적지64 |  750스텝 | 배송 64/64 | 재적재 11 | 중계율 0.13 | complete
Ep 146 | 드론3 목적지71 | 1000스텝 | 배송 35/71 | 재적재  6 | 중계율 0.17 | step_limit
Ep 147 | 드론4 목적지48 |  923스텝 | 배송 48/48 | 재적재  7 | 중계율 0.17 | complete
Ep 148 | 드론6 목적지36 |  436스텝 | 배송 36/36 | 재적재  5 | 중계율 0.11 | complete
Ep 149 | 드론7 목적지40 |  259스텝 | 배송 40/40 | 재적재  4 | 중계율 0.13 | complete
Ep 150 | 드론5 목적지26 |  614스텝 | 배송 26/26 | 재적재  3 | 중계율 0.15 | complete
  [홀드아웃] 배송 27.8±6.4 완주 0.00 재적재 3.8 2홉+ 0.62 | 최고 37.8@ep50 정체 2/15
Ep 151 | 드론6 목적지70 |  972스텝 | 배송 70/70 | 재적재 13 | 중계율 0.16 | complete
Ep 152 | 드론8 목적지48 |  388스텝 | 배송 48/48 | 재적재  6 | 중계율 0.13 | complete
Ep 153 | 드론8 목적지57 |  456스텝 | 배송 57/57 | 재적재  8 | 중계율 0.19 | complete
Ep 154 | 드론8 목적지34 |  200스텝 | 배송 34/34 | 재적재  2 | 중계율 0.15 | complete
Ep 155 | 드론8 목적지80 |  849스텝 | 배송 80/80 | 재적재 13 | 중계율 0.13 | complete
Ep 156 | 드론7 목적지59 |  722스텝 | 배송 59/59 | 재적재  9 | 중계율 0.13 | complete
Ep 157 | 드론4 목적지42 |  711스텝 | 배송 42/42 | 재적재  7 | 중계율 0.15 | complete
Ep 158 | 드론6 목적지76 |  900스텝 | 배송 76/76 | 재적재 13 | 중계율 0.13 | complete
Ep 159 | 드론8 목적지47 |  336스텝 | 배송 47/47 | 재적재  6 | 중계율 0.14 | complete
Ep 160 | 드론3 목적지62 |  821스텝 | 배송 12/62 | 재적재  0 | 중계율 0.05 | no_progress
Ep 161 | 드론4 목적지31 | 1000스텝 | 배송 21/31 | 재적재  2 | 중계율 0.16 | step_limit
Ep 162 | 드론5 목적지26 |  541스텝 | 배송 26/26 | 재적재  3 | 중계율 0.19 | complete
Ep 163 | 드론7 목적지21 |  215스텝 | 배송 21/21 | 재적재  0 | 중계율 0.15 | complete
Ep 164 | 드론8 목적지79 |  660스텝 | 배송 79/79 | 재적재 13 | 중계율 0.12 | complete
Ep 165 | 드론8 목적지47 |  405스텝 | 배송 47/47 | 재적재  7 | 중계율 0.15 | complete
Ep 166 | 드론5 목적지77 | 1000스텝 | 배송 69/77 | 재적재 11 | 중계율 0.22 | step_limit
Ep 167 | 드론6 목적지77 | 1000스텝 | 배송 60/77 | 재적재  9 | 중계율 0.13 | step_limit
Ep 168 | 드론8 목적지29 |  237스텝 | 배송 29/29 | 재적재  3 | 중계율 0.16 | complete
Ep 169 | 드론8 목적지59 |  428스텝 | 배송 59/59 | 재적재  8 | 중계율 0.13 | complete
Ep 170 | 드론4 목적지74 | 1000스텝 | 배송 22/74 | 재적재  2 | 중계율 0.13 | step_limit
Ep 171 | 드론6 목적지34 |  479스텝 | 배송 34/34 | 재적재  6 | 중계율 0.17 | complete
Ep 172 | 드론3 목적지43 | 1000스텝 | 배송 22/43 | 재적재  3 | 중계율 0.06 | step_limit
Ep 173 | 드론5 목적지35 | 1000스텝 | 배송 31/35 | 재적재  3 | 중계율 0.10 | step_limit
Ep 174 | 드론8 목적지43 |  283스텝 | 배송 43/43 | 재적재  5 | 중계율 0.10 | complete
Ep 175 | 드론8 목적지30 |  326스텝 | 배송 30/30 | 재적재  1 | 중계율 0.15 | complete
Ep 176 | 드론8 목적지29 |  247스텝 | 배송 29/29 | 재적재  1 | 중계율 0.15 | complete
Ep 177 | 드론3 목적지45 | 1000스텝 | 배송 28/45 | 재적재  4 | 중계율 0.11 | step_limit
Ep 178 | 드론4 목적지20 | 1000스텝 | 배송 12/20 | 재적재  0 | 중계율 0.08 | step_limit
Ep 179 | 드론8 목적지66 |  729스텝 | 배송 66/66 | 재적재 10 | 중계율 0.11 | complete
Ep 180 | 드론7 목적지22 |  252스텝 | 배송 22/22 | 재적재  0 | 중계율 0.10 | complete
Ep 181 | 드론8 목적지77 |  762스텝 | 배송 77/77 | 재적재 12 | 중계율 0.13 | complete
Ep 182 | 드론5 목적지74 | 1000스텝 | 배송 56/74 | 재적재 10 | 중계율 0.13 | step_limit
Ep 183 | 드론7 목적지40 |  327스텝 | 배송 40/40 | 재적재  5 | 중계율 0.11 | complete
Ep 184 | 드론5 목적지77 | 1000스텝 | 배송 75/77 | 재적재 12 | 중계율 0.12 | step_limit
Ep 185 | 드론6 목적지72 |  965스텝 | 배송 72/72 | 재적재 12 | 중계율 0.13 | complete
Ep 186 | 드론6 목적지74 |  575스텝 | 배송 74/74 | 재적재 12 | 중계율 0.14 | complete
Ep 187 | 드론3 목적지65 |  975스텝 | 배송 24/65 | 재적재  3 | 중계율 0.08 | no_progress
Ep 188 | 드론3 목적지80 | 1000스텝 | 배송 21/80 | 재적재  2 | 중계율 0.16 | step_limit
Ep 189 | 드론7 목적지55 |  764스텝 | 배송 55/55 | 재적재  7 | 중계율 0.13 | complete
Ep 190 | 드론5 목적지36 |  846스텝 | 배송 36/36 | 재적재  6 | 중계율 0.11 | complete
Ep 191 | 드론3 목적지28 | 1000스텝 | 배송 13/28 | 재적재  1 | 중계율 0.05 | step_limit
Ep 192 | 드론7 목적지74 |  600스텝 | 배송 74/74 | 재적재 12 | 중계율 0.08 | complete
Ep 193 | 드론5 목적지61 | 1000스텝 | 배송 39/61 | 재적재  6 | 중계율 0.13 | step_limit
Ep 194 | 드론8 목적지73 |  502스텝 | 배송 73/73 | 재적재 11 | 중계율 0.11 | complete
Ep 195 | 드론6 목적지69 | 1000스텝 | 배송 65/69 | 재적재  9 | 중계율 0.18 | step_limit
Ep 196 | 드론5 목적지47 |  694스텝 | 배송 47/47 | 재적재  7 | 중계율 0.18 | complete
Ep 197 | 드론6 목적지27 |  466스텝 | 배송 27/27 | 재적재  1 | 중계율 0.10 | complete
Ep 198 | 드론4 목적지56 |  938스텝 | 배송 56/56 | 재적재  9 | 중계율 0.12 | complete
Ep 199 | 드론4 목적지57 | 1000스텝 | 배송 29/57 | 재적재  3 | 중계율 0.13 | step_limit
Ep 200 | 드론8 목적지64 |  443스텝 | 배송 64/64 | 재적재  7 | 중계율 0.11 | complete
  [홀드아웃] 배송 25.9±7.0 완주 0.00 재적재 3.0 2홉+ 0.64 | 최고 37.8@ep50 정체 3/15
Ep 201 | 드론7 목적지38 |  971스텝 | 배송 38/38 | 재적재  4 | 중계율 0.16 | complete
Ep 202 | 드론3 목적지32 | 1000스텝 | 배송 10/32 | 재적재  0 | 중계율 0.05 | step_limit
Ep 203 | 드론5 목적지23 |  419스텝 | 배송 23/23 | 재적재  1 | 중계율 0.10 | complete
Ep 204 | 드론5 목적지38 |  415스텝 | 배송 38/38 | 재적재  5 | 중계율 0.10 | complete
Ep 205 | 드론5 목적지27 |  349스텝 | 배송 27/27 | 재적재  4 | 중계율 0.10 | complete
Ep 206 | 드론3 목적지58 | 1000스텝 | 배송 40/58 | 재적재  7 | 중계율 0.11 | step_limit
Ep 207 | 드론5 목적지52 | 1000스텝 | 배송 50/52 | 재적재  7 | 중계율 0.10 | step_limit
Ep 208 | 드론5 목적지60 | 1000스텝 | 배송 51/60 | 재적재  8 | 중계율 0.13 | step_limit
Ep 209 | 드론3 목적지72 | 1000스텝 | 배송 18/72 | 재적재  1 | 중계율 0.25 | step_limit
