/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 58 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  7 | 중계율 0.16 | step_limit
Ep 59 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  6 | 중계율 0.18 | step_limit
Ep 60 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  7 | 중계율 0.22 | step_limit
Ep 61 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  5 | 중계율 0.11 | step_limit
Ep 62 | 드론4 목적지50 | 1000스텝 | 배송 38/50 | 재적재  5 | 중계율 0.15 | step_limit
Ep 63 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  4 | 중계율 0.10 | step_limit
Ep 64 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.23 | step_limit
Ep 65 | 드론4 목적지50 | 1000스텝 | 배송 31/50 | 재적재  4 | 중계율 0.10 | step_limit
Ep 66 | 드론4 목적지50 | 1000스텝 | 배송 35/50 | 재적재  5 | 중계율 0.16 | step_limit
Ep 67 | 드론4 목적지50 | 1000스텝 | 배송 48/50 | 재적재  8 | 중계율 0.16 | step_limit
Ep 68 | 드론4 목적지50 | 1000스텝 | 배송 31/50 | 재적재  6 | 중계율 0.10 | step_limit
Ep 69 | 드론4 목적지50 | 1000스텝 | 배송 31/50 | 재적재  3 | 중계율 0.18 | step_limit
Ep 70 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  7 | 중계율 0.19 | step_limit
Ep 71 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  4 | 중계율 0.18 | step_limit
Ep 72 | 드론4 목적지50 | 1000스텝 | 배송 25/50 | 재적재  3 | 중계율 0.15 | step_limit
Ep 73 | 드론4 목적지50 | 1000스텝 | 배송 30/50 | 재적재  5 | 중계율 0.12 | step_limit
Ep 74 | 드론4 목적지50 | 1000스텝 | 배송 40/50 | 재적재  7 | 중계율 0.14 | step_limit
Ep 75 | 드론4 목적지50 | 1000스텝 | 배송 42/50 | 재적재  6 | 중계율 0.14 | step_limit
Ep 76 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  6 | 중계율 0.20 | step_limit
Ep 77 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  6 | 중계율 0.19 | step_limit
Ep 78 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.15 | step_limit
Ep 79 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.11 | step_limit
Ep 80 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  5 | 중계율 0.12 | step_limit
Ep 81 | 드론4 목적지50 | 1000스텝 | 배송 34/50 | 재적재  4 | 중계율 0.18 | step_limit
Ep 82 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  6 | 중계율 0.14 | step_limit
Ep 83 | 드론4 목적지50 | 1000스텝 | 배송 37/50 | 재적재  7 | 중계율 0.12 | step_limit
