/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=150 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 61 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.80 교착최장 171 | step_limit
Ep 62 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.64 교착최장  79 | step_limit
Ep 63 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.75 교착최장 131 | step_limit
Ep 64 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.77 교착최장 124 | step_limit
Ep 65 |  1000스텝 | 배송 21/50 | 재적재  1 | 정지 0.81 교착최장 299 | step_limit
Ep 66 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.76 교착최장 186 | step_limit
Ep 67 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.61 교착최장 140 | step_limit
Ep 68 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.72 교착최장 218 | step_limit
Ep 69 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.74 교착최장 221 | step_limit
Ep 70 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.68 교착최장 111 | step_limit
Ep 71 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.73 교착최장 156 | step_limit
Ep 72 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.77 교착최장 168 | step_limit
Ep 73 |   960스텝 | 배송 11/50 | 재적재  0 | 정지 0.91 교착최장 499 | no_progress
Ep 74 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.68 교착최장  67 | step_limit
Ep 75 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.65 교착최장 149 | step_limit
Ep 76 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.66 교착최장 107 | step_limit
Ep 77 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.58 교착최장 122 | step_limit
Ep 78 |  1000스텝 | 배송 18/50 | 재적재  1 | 정지 0.82 교착최장 289 | step_limit
Ep 79 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.80 교착최장 276 | step_limit
Ep 80 |   571스텝 | 배송  6/50 | 재적재  0 | 정지 0.90 교착최장 227 | no_progress
Ep 81 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.65 교착최장 159 | step_limit
Ep 82 |  1000스텝 | 배송 31/50 | 재적재  3 | 정지 0.73 교착최장 123 | step_limit
Ep 83 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.68 교착최장 194 | step_limit
Ep 84 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.69 교착최장 305 | step_limit
Ep 85 |  1000스텝 | 배송 40/50 | 재적재  7 | 정지 0.63 교착최장 150 | step_limit
Ep 86 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.73 교착최장 149 | step_limit
Ep 87 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.74 교착최장 123 | step_limit
Ep 88 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.66 교착최장 293 | step_limit
Ep 89 |  1000스텝 | 배송 20/50 | 재적재  1 | 정지 0.81 교착최장 109 | step_limit
Ep 90 |   893스텝 | 배송 20/50 | 재적재  2 | 정지 0.76 교착최장 274 | no_progress
Ep 91 |  1000스텝 | 배송 16/50 | 재적재  0 | 정지 0.88 교착최장 455 | step_limit
Ep 92 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.74 교착최장 240 | step_limit
Ep 93 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.70 교착최장 148 | step_limit
Ep 94 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.62 교착최장 160 | step_limit
Ep 95 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.73 교착최장 121 | step_limit
Ep 96 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.75 교착최장 144 | step_limit
Ep 97 |  1000스텝 | 배송 16/50 | 재적재  1 | 정지 0.81 교착최장 170 | step_limit
Ep 98 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.75 교착최장 155 | step_limit
Ep 99 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.70 교착최장 216 | step_limit
Ep 100 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.67 교착최장 151 | step_limit
  [홀드아웃] 배송 28.7±8.4 재적재 4.1 2홉+ 0.64 | 최고 28.7@ep100 정체 0/15  ← 갱신
Ep 101 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.81 교착최장 187 | step_limit
Ep 102 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.76 교착최장 132 | step_limit
Ep 103 |  1000스텝 | 배송 21/50 | 재적재  4 | 정지 0.77 교착최장 129 | step_limit
Ep 104 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.76 교착최장 336 | step_limit
Ep 105 |  1000스텝 | 배송 25/50 | 재적재  4 | 정지 0.78 교착최장 311 | step_limit
Ep 106 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.70 교착최장 127 | step_limit
Ep 107 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.65 교착최장 130 | step_limit
Ep 108 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.67 교착최장 118 | step_limit
Ep 109 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.66 교착최장 158 | step_limit
Ep 110 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.75 교착최장 153 | step_limit
Ep 111 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.74 교착최장 192 | step_limit
Ep 112 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.78 교착최장 455 | step_limit
Ep 113 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.64 교착최장 130 | step_limit
Ep 114 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.66 교착최장 143 | step_limit
Ep 115 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.71 교착최장 124 | step_limit
Ep 116 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.75 교착최장 192 | step_limit
Ep 117 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.57 교착최장 136 | step_limit
Ep 118 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.71 교착최장 182 | step_limit
Ep 119 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.73 교착최장 145 | step_limit
Ep 120 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.72 교착최장 149 | step_limit
Ep 121 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.73 교착최장 147 | step_limit
Ep 122 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.75 교착최장 149 | step_limit
Ep 123 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.76 교착최장 171 | step_limit
Ep 124 |  1000스텝 | 배송 15/50 | 재적재  0 | 정지 0.90 교착최장 352 | step_limit
Ep 125 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.69 교착최장 170 | step_limit
Ep 126 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.72 교착최장 108 | step_limit
Ep 127 |  1000스텝 | 배송 23/50 | 재적재  2 | 정지 0.79 교착최장 205 | step_limit
Ep 128 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.76 교착최장 153 | step_limit
Ep 129 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.78 교착최장 198 | step_limit
Ep 130 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.75 교착최장 129 | step_limit
Ep 131 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.77 교착최장 183 | step_limit
Ep 132 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.62 교착최장 134 | step_limit
Ep 133 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.78 교착최장 149 | step_limit
Ep 134 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.71 교착최장 128 | step_limit
Ep 135 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.65 교착최장 154 | step_limit
Ep 136 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.72 교착최장 135 | step_limit
Ep 137 |  1000스텝 | 배송 21/50 | 재적재  1 | 정지 0.83 교착최장 257 | step_limit
