/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e1_alpha
설정: relay_w=0.0 alpha_min=0.05 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 59 | Step 1000 | R   160.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달  910 | 차단  617
Ep 60 | Step 1000 | R   180.12 | 배송 20/50 | 미활동 0 | 2홉+ 0.53 | 도달  984 | 차단  172
Ep 61 | Step 1000 | R   156.96 | 배송 19/50 | 미활동 0 | 2홉+ 0.51 | 도달  965 | 차단  567
Ep 62 | Step 1000 | R   158.85 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달  848 | 차단  976
Ep 63 | Step 1000 | R   181.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달 1074 | 차단  491
Ep 64 | Step 1000 | R   177.11 | 배송 20/50 | 미활동 0 | 2홉+ 0.48 | 도달  894 | 차단  585
Ep 65 | Step 1000 | R   133.39 | 배송 16/50 | 미활동 0 | 2홉+ 0.62 | 도달 1054 | 차단  331
Ep 66 | Step 1000 | R   141.23 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달  954 | 차단  694
Ep 67 | Step 1000 | R   175.41 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  999 | 차단  127
Ep 68 | Step 1000 | R   184.26 | 배송 20/50 | 미활동 0 | 2홉+ 0.56 | 도달 1022 | 차단   94
Ep 69 | Step 1000 | R   171.35 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달 1001 | 차단   66
Ep 70 | Step 1000 | R   151.98 | 배송 18/50 | 미활동 0 | 2홉+ 0.63 | 도달  984 | 차단  539
Ep 71 | Step 1000 | R   144.26 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  964 | 차단  441
Ep 72 | Step 1000 | R   145.28 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  970 | 차단  297
Ep 73 | Step 1000 | R   137.68 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달  981 | 차단  346
Ep 74 | Step 1000 | R   154.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.50 | 도달  929 | 차단  719
Ep 75 | Step 1000 | R   170.23 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단  127
Ep 76 | Step 1000 | R   162.74 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달  833 | 차단  523
Ep 77 | Step 1000 | R   146.11 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달 1054 | 차단  481
Ep 78 | Step 1000 | R   136.67 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달 1010 | 차단  262
Ep 79 | Step 1000 | R   183.21 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1022 | 차단  207
Ep 80 | Step 1000 | R   172.78 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달 1050 | 차단   64
Ep 81 | Step 1000 | R   177.93 | 배송 20/50 | 미활동 0 | 2홉+ 0.63 | 도달 1046 | 차단  318
Ep 82 | Step 1000 | R   173.35 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달 1000 | 차단  198
Ep 83 | Step 1000 | R   163.29 | 배송 18/50 | 미활동 0 | 2홉+ 0.54 | 도달 1013 | 차단  209
Ep 84 | Step 1000 | R   105.69 | 배송 14/50 | 미활동 0 | 2홉+ 0.54 | 도달 1074 | 차단  270
Ep 85 | Step 1000 | R   101.94 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달 1038 | 차단  107
Ep 86 | Step 1000 | R   156.92 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달 1032 | 차단   93
Ep 87 | Step 1000 | R    98.36 | 배송 14/50 | 미활동 0 | 2홉+ 0.67 | 도달  966 | 차단  257
Ep 88 | Step 1000 | R   183.70 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  856 | 차단  129
Ep 89 | Step 1000 | R   106.01 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달  842 | 차단  386
Ep 90 | Step 1000 | R   118.45 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  829 | 차단  565
Ep 91 | Step 1000 | R   128.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  992 | 차단  152
Ep 92 | Step 1000 | R   137.79 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달  905 | 차단  205
Ep 93 | Step 1000 | R   145.60 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달  941 | 차단  244
Ep 94 | Step 1000 | R   133.24 | 배송 15/50 | 미활동 1 | 2홉+ 0.67 | 도달  843 | 차단  228
Ep 95 | Step 1000 | R   164.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  805 | 차단  178
Ep 96 | Step 1000 | R   158.66 | 배송 18/50 | 미활동 0 | 2홉+ 0.55 | 도달 1059 | 차단  275
Ep 97 | Step 1000 | R   182.70 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  362
Ep 98 | Step 1000 | R   171.85 | 배송 18/50 | 미활동 0 | 2홉+ 0.51 | 도달 1042 | 차단   34
Ep 99 | Step 1000 | R   140.73 | 배송 16/50 | 미활동 0 | 2홉+ 0.61 | 도달  976 | 차단  278
Ep 100 | Step 1000 | R   159.64 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1013 | 차단  166
  [홀드아웃] 배송 11.5±2.8 미활동 0.00 2홉+ 0.69 도달 995 | 최고 15.8@ep50 | 정체 1/15
Ep 101 | Step 1000 | R   169.04 | 배송 18/50 | 미활동 0 | 2홉+ 0.62 | 도달  963 | 차단  288
Ep 102 | Step 1000 | R   160.67 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단    2
Ep 103 | Step 1000 | R   165.20 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달  917 | 차단  295
Ep 104 | Step 1000 | R   158.55 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  955 | 차단  109
Ep 105 | Step 1000 | R   161.56 | 배송 18/50 | 미활동 0 | 2홉+ 0.42 | 도달  921 | 차단  178
Ep 106 | Step 1000 | R   141.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.50 | 도달  980 | 차단  215
Ep 107 | Step 1000 | R   158.22 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  922 | 차단  170
Ep 108 | Step 1000 | R   121.95 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달  961 | 차단  476
Ep 109 | Step 1000 | R   137.82 | 배송 16/50 | 미활동 0 | 2홉+ 0.45 | 도달  917 | 차단  526
Ep 110 | Step 1000 | R   158.59 | 배송 18/50 | 미활동 0 | 2홉+ 0.63 | 도달  909 | 차단  535
Ep 111 | Step 1000 | R   155.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  972 | 차단  429
Ep 112 | Step 1000 | R   180.35 | 배송 19/50 | 미활동 0 | 2홉+ 0.64 | 도달 1031 | 차단  232
Ep 113 | Step 1000 | R   150.46 | 배송 17/50 | 미활동 0 | 2홉+ 0.54 | 도달  842 | 차단  170
Ep 114 | Step 1000 | R   165.36 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달  970 | 차단  422
Ep 115 | Step 1000 | R   171.76 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  956 | 차단   86
Ep 116 | Step 1000 | R   180.17 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달  915 | 차단  166
Ep 117 | Step 1000 | R   153.24 | 배송 18/50 | 미활동 0 | 2홉+ 0.57 | 도달 1043 | 차단  331
Ep 118 | Step 1000 | R   190.29 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달  934 | 차단   45
Ep 119 | Step 1000 | R   133.07 | 배송 15/50 | 미활동 0 | 2홉+ 0.67 | 도달  970 | 차단  133
Ep 120 | Step 1000 | R   166.32 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  972 | 차단  254
Ep 121 | Step 1000 | R   162.10 | 배송 18/50 | 미활동 0 | 2홉+ 0.60 | 도달 1055 | 차단  303
Ep 122 | Step 1000 | R   163.97 | 배송 18/50 | 미활동 0 | 2홉+ 0.52 | 도달 1005 | 차단  302
Ep 123 | Step 1000 | R   120.49 | 배송 14/50 | 미활동 1 | 2홉+ 0.68 | 도달  906 | 차단  457
Ep 124 | Step 1000 | R   179.86 | 배송 20/50 | 미활동 0 | 2홉+ 0.48 | 도달  809 | 차단  147
Ep 125 | Step 1000 | R   153.18 | 배송 18/50 | 미활동 0 | 2홉+ 0.59 | 도달 1074 | 차단  719
Ep 126 | Step 1000 | R   151.99 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달 1059 | 차단  335
Ep 127 | Step 1000 | R   120.01 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  923 | 차단  687
Ep 128 | Step 1000 | R   154.04 | 배송 18/50 | 미활동 0 | 2홉+ 0.53 | 도달  998 | 차단  505
Ep 129 | Step 1000 | R   153.72 | 배송 18/50 | 미활동 0 | 2홉+ 0.49 | 도달 1042 | 차단  609
Ep 130 | Step 1000 | R   169.96 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달  953 | 차단  197
Ep 131 | Step 1000 | R   162.74 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  960 | 차단  433
Ep 132 | Step 1000 | R   142.98 | 배송 16/50 | 미활동 0 | 2홉+ 0.48 | 도달  855 | 차단  164
Ep 133 | Step 1000 | R   172.45 | 배송 18/50 | 미활동 0 | 2홉+ 0.56 | 도달 1063 | 차단   75
Ep 134 | Step 1000 | R   171.78 | 배송 19/50 | 미활동 0 | 2홉+ 0.53 | 도달  932 | 차단    0
Ep 135 | Step 1000 | R   143.32 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  961 | 차단  305
Ep 136 | Step 1000 | R   169.45 | 배송 18/50 | 미활동 0 | 2홉+ 0.58 | 도달 1006 | 차단  161
Ep 137 | Step 1000 | R   136.70 | 배송 15/50 | 미활동 0 | 2홉+ 0.59 | 도달 1052 | 차단   66
Ep 138 | Step 1000 | R   146.28 | 배송 16/50 | 미활동 0 | 2홉+ 0.67 | 도달 1019 | 차단  193
Ep 139 | Step 1000 | R   149.23 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1028 | 차단  117
Ep 140 | Step 1000 | R   186.35 | 배송 20/50 | 미활동 0 | 2홉+ 0.68 | 도달  948 | 차단   88
Ep 141 | Step 1000 | R   171.75 | 배송 19/50 | 미활동 0 | 2홉+ 0.47 | 도달  978 | 차단  232
Ep 142 | Step 1000 | R   136.94 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달 1014 | 차단  519
Ep 143 | Step 1000 | R   189.78 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  999 | 차단   80
Ep 144 | Step 1000 | R   154.69 | 배송 17/50 | 미활동 0 | 2홉+ 0.53 | 도달 1074 | 차단   70
Ep 145 | Step 1000 | R   153.44 | 배송 17/50 | 미활동 0 | 2홉+ 0.49 | 도달  955 | 차단   31
Ep 146 | Step 1000 | R   148.19 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달 1026 | 차단  239
Ep 147 | Step 1000 | R   157.28 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달  941 | 차단  192
Ep 148 | Step 1000 | R   173.33 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달 1026 | 차단  193
Ep 149 | Step 1000 | R   174.67 | 배송 19/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  347
Ep 150 | Step 1000 | R   175.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달  902 | 차단  153
  [홀드아웃] 배송 13.8±2.7 미활동 0.17 2홉+ 0.65 도달 1026 | 최고 15.8@ep50 | 정체 2/15
Ep 151 | Step 1000 | R   157.49 | 배송 17/50 | 미활동 0 | 2홉+ 0.48 | 도달  997 | 차단  197
Ep 152 | Step 1000 | R   150.46 | 배송 17/50 | 미활동 0 | 2홉+ 0.67 | 도달 1074 | 차단  269
Ep 153 | Step 1000 | R   172.09 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  834 | 차단   95
Ep 154 | Step 1000 | R   182.66 | 배송 19/50 | 미활동 0 | 2홉+ 0.64 | 도달 1074 | 차단  207
Ep 155 | Step 1000 | R   180.96 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달 1013 | 차단  241
Ep 156 | Step 1000 | R   127.95 | 배송 16/50 | 미활동 0 | 2홉+ 0.38 | 도달  836 | 차단  108
Ep 157 | Step 1000 | R   151.81 | 배송 17/50 | 미활동 0 | 2홉+ 0.65 | 도달 1071 | 차단  154
Ep 158 | Step 1000 | R   173.54 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  846 | 차단   81
Ep 159 | Step 1000 | R   144.67 | 배송 17/50 | 미활동 0 | 2홉+ 0.51 | 도달 1061 | 차단  259
Ep 160 | Step 1000 | R   175.30 | 배송 19/50 | 미활동 0 | 2홉+ 0.59 | 도달  957 | 차단   63
Ep 161 | Step 1000 | R   173.54 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달  997 | 차단  455
Ep 162 | Step 1000 | R   161.54 | 배송 19/50 | 미활동 0 | 2홉+ 0.61 | 도달 1019 | 차단  138
Ep 163 | Step 1000 | R   175.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  867 | 차단   66
Ep 164 | Step 1000 | R   196.60 | 배송 20/50 | 미활동 0 | 2홉+ 0.63 | 도달 1054 | 차단   92
Ep 165 | Step 1000 | R   112.89 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달 1007 | 차단  414
Ep 166 | Step 1000 | R   169.18 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달 1032 | 차단  219
Ep 167 | Step 1000 | R   183.75 | 배송 17/50 | 미활동 0 | 2홉+ 0.59 | 도달 1039 | 차단  103
Ep 168 | Step 1000 | R   153.80 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달 1047 | 차단  112
Ep 169 | Step 1000 | R   175.72 | 배송 20/50 | 미활동 0 | 2홉+ 0.63 | 도달 1001 | 차단  114
Ep 170 | Step 1000 | R   180.59 | 배송 20/50 | 미활동 0 | 2홉+ 0.65 | 도달  902 | 차단   48
Ep 171 | Step 1000 | R   184.85 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  967 | 차단   15
Ep 172 | Step 1000 | R   207.79 | 배송 19/50 | 미활동 0 | 2홉+ 0.56 | 도달 1020 | 차단  182
Ep 173 | Step 1000 | R   169.84 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달  976 | 차단   56
Ep 174 | Step 1000 | R   165.60 | 배송 19/50 | 미활동 0 | 2홉+ 0.55 | 도달 1004 | 차단   24
Ep 175 | Step 1000 | R   161.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단   72
Ep 176 | Step 1000 | R   161.66 | 배송 18/50 | 미활동 0 | 2홉+ 0.43 | 도달  956 | 차단  279
Ep 177 | Step 1000 | R   157.35 | 배송 18/50 | 미활동 0 | 2홉+ 0.61 | 도달  834 | 차단  342
Ep 178 | Step 1000 | R   165.64 | 배송 20/50 | 미활동 0 | 2홉+ 0.57 | 도달  900 | 차단   93
Ep 179 | Step 1000 | R   184.22 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  965 | 차단  106
Ep 180 | Step 1000 | R   185.01 | 배송 20/50 | 미활동 0 | 2홉+ 0.45 | 도달  901 | 차단  191
Ep 181 | Step 1000 | R   158.89 | 배송 18/50 | 미활동 0 | 2홉+ 0.50 | 도달  990 | 차단  236
Ep 182 | Step 1000 | R   152.98 | 배송 18/50 | 미활동 0 | 2홉+ 0.37 | 도달 1074 | 차단  341
Ep 183 | Step 1000 | R   154.21 | 배송 19/50 | 미활동 0 | 2홉+ 0.62 | 도달  964 | 차단  212
Ep 184 | Step 1000 | R   165.32 | 배송 20/50 | 미활동 0 | 2홉+ 0.46 | 도달  815 | 차단   88
Ep 185 | Step 1000 | R   172.82 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  821 | 차단  114
Ep 186 | Step 1000 | R   172.48 | 배송 19/50 | 미활동 0 | 2홉+ 0.47 | 도달  893 | 차단  108
