/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 52 | Step 1000 | R    77.41 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 2260
Ep 53 | Step 1000 | R    65.12 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 3114
Ep 54 | Step 1000 | R   105.20 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  987 | 차단 2455
Ep 55 | Step 1000 | R    56.80 | 배송 12/50 | 미활동 1 | 2홉+ 0.72 | 도달 1074 | 차단 2439
Ep 56 | Step 1000 | R    29.52 | 배송 11/50 | 미활동 0 | 2홉+ 0.73 | 도달  714 | 차단 3093
Ep 57 | Step 1000 | R    44.58 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  711 | 차단 3182
Ep 58 | Step 1000 | R    67.82 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달  916 | 차단 2775
Ep 59 | Step 1000 | R   150.95 | 배송 20/50 | 미활동 0 | 2홉+ 0.73 | 도달 1064 | 차단 1914
Ep 60 | Step 1000 | R   134.33 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달  748 | 차단 2117
Ep 61 | Step 1000 | R   103.25 | 배송 17/50 | 미활동 0 | 2홉+ 0.73 | 도달  691 | 차단 2759
Ep 62 | Step 1000 | R    59.34 | 배송 13/50 | 미활동 1 | 2홉+ 0.73 | 도달  781 | 차단 2704
Ep 63 | Step 1000 | R   101.19 | 배송 16/50 | 미활동 0 | 2홉+ 0.73 | 도달  996 | 차단 2295
Ep 64 | Step 1000 | R     3.42 | 배송  9/50 | 미활동 0 | 2홉+ 0.73 | 도달  804 | 차단 3313
